Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
443,1080,1352,882,573,1460,1778
614,951,1470,891,523,1491,1783
626,914,1507,891,523,1493,1826
612,928,1507,891,482,1533,1841
613,928,1507,891,479,1533,1872
544,997,1507,891,464,1452,1883
624,997,1507,889,465,1449,2057
640,845,1659,889,465,1434,2057
688,746,1758,889,465,1355,1690
702,617,1805,985,421,1329,1871
816,557,1768,1082,421,1329,1902
821,511,1812,1090,421,1316,1787
829,497,1828,1090,385,1316,1792
906,325,2000,1042,345,1307,1719
917,310,2010,780,612,1292,1719
942,219,2055,716,722,1300,1715
942,219,2052,710,731,1315,1654
945,211,2060,533,908,1314,1464
938,234,2065,531,868,1166,1311
990,197,1789,839,873,1101,1217
1012,196,1767,839,896,1016,911
1013,196,1734,863,905,858,860
1013,196,1675,865,962,857,852
930,279,1675,749,1078,858,897
987,267,1683,715,1090,828,948
1003,256,1687,713,912,799,1015
895,328,1719,709,920,678,1006
960,328,1538,890,920,661,985
935,358,1292,1136,920,661,967
861,441,1286,1144,920,534,964
910,440,1218,1214,889,471,973
943,443,1080,1352,882,248,973
772,614,951,1470,891,218,968
760,626,914,1507,891,313,925
760,612,928,1507,891,338,941
759,613,928,1507,891,346,904
