Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
229,319,689,561,842,518,817
239,319,687,563,511,593,650
239,319,677,573,398,726,549
240,319,677,573,368,745,482
431,307,689,573,368,746,440
444,247,680,647,367,746,387
339,374,667,665,317,666,348
427,374,660,680,275,605,339
433,354,680,675,280,609,279
417,380,680,632,323,526,273
446,387,680,572,383,558,273
446,387,672,539,424,558,293
446,387,672,486,477,555,293
446,387,672,482,481,555,273
442,391,634,520,481,555,292
441,384,642,518,483,568,271
464,357,645,542,476,568,271
486,346,629,569,476,567,314
515,345,606,593,465,567,313
522,311,640,593,455,565,313
674,247,704,593,438,548,281
674,230,721,499,493,553,230
675,230,595,607,338,543,235
687,230,502,619,402,544,241
691,230,386,666,471,550,266
762,224,336,671,522,554,266
822,224,314,668,547,560,263
832,225,314,668,547,560,228
817,246,278,699,552,573,168
805,258,278,699,552,594,255
793,270,278,689,561,529,251
793,229,319,689,561,484,251
783,239,319,687,563,369,251
783,239,319,677,573,236,251
782,240,319,677,573,217,251
591,431,307,689,573,216,251
573,444,247,680,647,216,290
591,339,374,667,665,216,362
516,427,374,660,680,187,396
510,433,354,680,675,190,443
500,417,380,680,632,129,447
634,446,387,680,572,106,447
717,446,387,672,539,106,427
721,446,387,672,486,162,427
768,446,387,672,482,184,425
805,442,391,634,520,189,394
875,441,384,642,518,227,393
958,464,357,645,542,252,385
950,486,346,629,569,252,329
1056,515,345,606,593,252,329
1104,522,311,640,593,252,415
977,674,247,704,593,252,417
977,674,230,721,499,263,453
976,675,230,595,607,265,517
964,687,230,502,619,318,526
960,691,230,386,666,340,512
889,762,224,336,671,342,529
829,822,224,314,668,336,527
818,832,225,314,668,336,523
815,817,246,278,699,323,523
823,805,258,278,699,302,436
846,793,270,278,689,302,435
856,793,229,319,689,302,435
915,783,239,319,687,342,435
922,783,239,319,677,383,435
922,782,240,319,677,383,443
922,591,431,307,689,406,472
922,573,444,247,680,470,515
877,591,339,374,667,476,446
906,516,427,374,660,476,412
906,510,433,354,680,460,514
906,500,417,380,680,463,510
736,634,446,387,680,455,510
653,717,446,387,672,564,510
682,721,446,387,672,568,510
635,768,446,387,672,545,542
598,805,442,391,634,551,563
528,875,441,384,642,500,569
520,958,464,357,645,475,569
517,950,486,346,629,475,571
382,1056,515,345,606,475,571
327,1104,522,311,640,545,523
302,977,674,247,704,568,538
317,977,674,230,721,559,503
317,976,675,230,595,565,502
317,964,687,230,502,607,694
427,960,691,230,386,590,892
432,889,762,224,336,584,877
432,829,822,224,314,584,877
432,818,832,225,314,584,984
557,815,817,246,278,584,984
571,823,805,258,278,677,992
548,846,793,270,278,766,992
538,856,793,229,319,766,992
876,915,783,239,319,726,992
869,922,783,239,319,685,992
908,922,782,240,319,685,984
959,922,591,431,307,662,955
1144,922,573,444,247,723,873
