Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
561,367,711,433,1246,1171,517,535,515,904,711,893,1415,826,539,1659,331,158,77,707,1344
561,367,711,330,1349,1171,517,535,515,821,794,893,1412,792,539,1578,324,209,77,568,1320
564,351,727,271,1368,1211,517,535,515,784,782,909,1562,792,552,1496,363,209,77,568,1320
569,339,739,267,1260,1275,563,537,480,819,778,909,1588,792,552,1283,364,209,132,568,1129
571,333,745,267,1130,1382,586,537,480,819,745,909,1596,792,552,1189,359,209,132,608,748
571,322,756,267,1130,1380,573,552,479,541,1020,909,1758,792,544,1099,359,293,132,626,653
571,311,767,267,1080,1419,572,564,465,553,1022,885,1816,674,544,959,359,350,132,763,653
571,311,739,295,986,1435,650,493,535,552,1024,851,1837,580,526,863,359,358,142,900,653
547,330,711,328,960,1402,701,496,494,598,1024,851,1971,579,587,863,364,358,142,900,653
557,330,646,393,857,1469,650,547,512,616,1024,851,1971,554,587,848,351,358,185,1112,653
598,330,634,405,718,1491,767,508,551,616,1024,849,1971,494,549,866,342,358,276,1139,663
605,340,609,430,694,1457,777,496,611,616,1024,849,1934,494,560,866,321,358,352,1139,807
600,408,574,465,693,1448,642,609,631,529,1123,853,1703,494,603,870,247,324,352,1139,779
555,492,573,466,693,1448,487,763,631,530,1123,902,1703,510,604,801,232,300,352,1139,779
593,474,559,498,693,1448,487,681,713,530,1123,930,1461,523,605,546,187,285,352,1139,739
577,415,382,750,693,1445,490,598,796,495,1158,947,1434,561,605,543,116,285,352,1135,617
594,406,334,809,693,1444,491,582,788,519,1143,856,1425,354,605,538,131,285,352,1135,523
594,270,461,818,693,1444,491,569,801,444,1203,1001,1209,323,545,529,129,382,406,1135,523
596,270,461,818,668,1469,491,558,812,275,1372,1002,1205,332,544,529,129,443,395,1135,523
622,274,465,818,654,1479,495,514,856,228,1419,1003,949,392,531,529,105,443,394,1190,525
466,465,488,818,654,1433,541,472,898,227,1309,993,910,400,498,529,220,443,508,1140,464
469,449,504,818,654,1428,546,472,898,225,1241,992,898,400,481,529,258,436,569,1140,667
467,436,517,820,654,1382,592,472,844,247,1272,946,890,190,461,524,363,436,632,1086,573
373,524,523,820,654,1367,607,472,715,356,1114,666,781,190,365,524,438,436,632,1083,638
359,538,510,833,653,1105,870,472,562,502,1096,549,745,265,364,419,438,436,630,955,792
356,541,474,869,653,1050,925,472,559,505,1069,540,707,254,342,419,438,398,630,1028,792
356,539,476,841,585,1091,980,472,559,505,1039,589,694,326,255,419,438,398,630,1015,787
334,561,476,780,646,1059,1012,472,559,504,1034,551,694,326,151,292,438,386,647,1015,783
334,561,476,720,706,859,1212,472,536,527,1027,525,807,384,150,288,438,386,647,1014,789
363,561,367,827,708,855,1216,472,536,527,1025,458,967,384,150,237,438,386,852,862,849
371,561,367,771,530,1089,1181,507,535,520,901,455,1123,384,150,206,559,386,853,820,879
424,561,367,711,433,1246,1171,517,535,515,904,455,1123,373,228,206,606,386,853,795,849
427,561,367,711,330,1349,1171,517,535,515,821,455,1123,373,258,206,607,391,853,795,863
464,564,351,727,271,1368,1211,517,535,515,784,439,973,373,246,207,568,472,864,796,903
542,569,339,739,267,1260,1275,563,537,480,819,439,941,373,326,190,622,539,809,796,846
544,571,333,745,267,1130,1382,586,537,480,819,439,924,406,326,178,622,539,830,756,846
663,571,322,756,267,1130,1380,573,552,479,541,439,820,730,326,236,660,455,832,738,846
956,571,311,767,267,1080,1419,572,564,465,553,439,774,731,326,263,763,440,833,601,846
967,571,311,739,295,986,1435,650,493,535,552,439,754,731,326,401,804,439,829,457,846
1206,547,330,711,328,960,1402,701,496,494,598,439,620,731,263,416,846,474,829,457,916
1196,557,330,646,393,857,1469,650,547,512,616,454,620,731,263,473,900,474,786,245,921
1155,598,330,634,405,718,1491,767,508,551,616,469,620,731,263,416,902,474,695,218,1049
1138,605,340,609,430,694,1457,777,496,611,616,469,678,731,236,656,902,474,619,218,952
1075,600,408,574,465,693,1448,642,609,631,529,465,793,731,376,584,902,475,619,218,1108
1055,555,492,573,466,693,1448,487,763,631,530,527,794,715,486,583,902,581,619,242,1121
1043,593,474,559,498,693,1448,487,681,713,530,569,799,702,491,583,902,581,619,242,1159
1043,577,415,382,750,693,1445,490,598,796,495,535,799,664,534,583,902,656,630,245,1159
1024,594,406,334,809,693,1444,491,582,788,519,647,987,660,534,583,870,656,709,245,1159
1024,594,270,461,818,693,1444,491,569,801,444,519,982,645,598,586,860,620,689,269,1161
1022,596,270,461,818,668,1469,491,558,812,275,545,953,635,603,586,860,740,793,376,1161
989,622,274,465,818,654,1479,495,514,856,228,574,953,575,626,586,860,742,825,330,1159
1126,466,465,488,818,654,1433,541,472,898,227,568,953,567,654,586,738,780,877,418,1099
1123,469,449,504,818,654,1428,546,472,898,225,575,953,567,655,586,700,814,816,535,887
1123,467,436,517,820,654,1382,592,472,844,247,577,963,567,1015,651,678,820,832,546,871
1123,373,524,523,820,654,1367,607,472,715,356,709,963,567,1042,679,614,863,832,787,806
1123,359,538,510,833,653,1105,870,472,562,502,711,963,492,1138,679,624,863,953,801,695
1123,356,541,474,869,653,1050,925,472,559,505,794,966,567,1149,679,624,865,964,996,707
1123,356,539,476,841,585,1091,980,472,559,505,782,1150,495,1164,679,624,953,968,1001,707
1123,334,561,476,780,646,1059,1012,472,559,504,778,1162,546,1164,678,624,955,965,1001,707
1123,334,561,476,720,706,859,1212,472,536,527,745,1050,488,1164,657,624,956,1015,1001,701
1094,363,561,367,827,708,855,1216,472,536,527,1020,917,489,1164,657,624,956,900,1001,641
1086,371,561,367,771,530,1089,1181,507,535,520,1022,800,532,1164,657,569,956,950,1001,611
1033,424,561,367,711,433,1246,1171,517,535,515,1024,800,579,1086,657,526,956,951,1040,611
1144,427,561,367,711,330,1349,1171,517,535,515,1024,802,621,1056,657,525,873,951,1204,605
1112,464,564,351,727,271,1368,1211,517,535,515,1024,802,647,1055,656,521,792,940,1288,565
1029,542,569,339,739,267,1260,1275,563,537,480,1024,805,648,975,656,466,801,1086,1378,561
1060,544,571,333,745,267,1130,1382,586,537,480,1024,805,630,975,656,466,802,1067,1442,561
1025,663,571,322,756,267,1130,1380,573,552,479,1123,723,368,991,598,428,803,1065,1442,561
742,956,571,311,767,267,1080,1419,572,564,465,1123,713,380,1045,570,484,892,1064,1442,561
731,967,571,311,739,295,986,1435,650,493,535,1123,910,411,1107,432,443,885,1058,1442,568
492,1206,547,330,711,328,960,1402,701,496,494,1158,912,554,1109,417,395,850,1058,1442,498
492,1196,557,330,646,393,857,1469,650,547,512,1143,1092,688,1140,347,341,850,1058,1457,493
492,1155,598,330,634,405,718,1491,767,508,551,1203,1102,705,1140,346,801,902,1058,1509,369
492,1138,605,340,609,430,694,1457,777,496,611,1372,1062,813,1200,96,801,903,1058,1509,311
493,1075,600,408,574,465,693,1448,642,609,631,1419,947,838,1041,96,801,1132,1071,1512,161
474,1055,555,492,573,466,693,1448,487,763,631,1309,946,898,930,96,823,1042,1078,1513,148
502,1043,593,474,559,498,693,1448,487,681,713,1241,993,899,924,96,838,1079,1078,1933,110
515,1043,577,415,382,750,693,1445,490,598,796,1272,993,899,968,96,838,1006,1067,1967,207
515,1024,594,406,334,809,693,1444,491,582,788,1114,805,899,968,276,838,1008,988,1972,214
515,1024,594,270,461,818,693,1444,491,569,801,1096,979,933,918,355,838,947,915,1958,212
515,1022,596,270,461,818,668,1469,491,558,812,1069,1110,946,913,372,838,766,789,1923,212
514,989,622,274,465,818,654,1479,495,514,856,1039,1216,948,958,443,838,764,757,1917,212
319,1126,466,465,488,818,654,1433,541,472,898,1034,1221,952,976,558,838,726,591,1823,216
337,1123,469,449,504,818,654,1428,546,472,898,1027,1221,952,981,646,838,692,591,1741,201
340,1123,467,436,517,820,654,1382,592,472,844,1025,1211,952,621,601,755,685,512,1793,201
340,1123,373,524,523,820,654,1367,607,472,715,901,1211,952,665,597,744,642,512,1664,201
370,1123,359,538,510,833,653,1105,870,472,562,904,1259,952,573,684,743,642,391,1588,218
496,1123,356,541,474,869,653,1050,925,472,559,821,1263,873,562,689,763,640,380,1315,206
550,1123,356,539,476,841,585,1091,980,472,559,784,1079,873,578,689,807,552,376,1310,206
581,1123,334,561,476,780,646,1059,1012,472,559,819,1160,822,594,689,810,569,362,1310,206
