Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
633,1247,1326,900,539,208,476,1329,1106,1004,522
675,1247,1309,871,585,208,476,1316,906,997,433
675,1246,1269,841,639,219,482,1316,610,977,777
675,1079,1414,765,657,299,472,1307,459,980,777
675,1079,1372,805,654,304,471,1292,443,980,885
675,1079,1298,879,647,298,476,1300,438,854,1024
675,1079,1245,932,647,297,462,1315,437,725,1110
701,1079,1164,1012,646,299,462,1314,437,710,1225
888,1079,1164,1012,564,366,477,1166,437,705,1237
888,953,902,1400,525,404,423,1101,445,700,1237
888,316,1349,1590,499,430,423,1016,551,728,1237
587,607,1303,1646,370,559,423,858,551,714,1199
587,604,1305,1647,370,559,423,857,604,712,1196
574,646,1209,1745,370,559,421,858,605,718,1302
573,650,1194,1764,349,580,387,828,608,753,1326
523,702,1191,1767,300,629,373,799,608,805,1326
523,702,1155,1803,300,629,364,678,426,861,1474
482,740,1158,1603,500,626,367,661,394,822,1829
479,724,1170,1587,523,615,378,661,395,822,1722
464,645,1189,1658,527,561,432,534,357,822,1777
465,646,1178,1669,527,561,432,471,421,817,1787
465,646,1131,1649,594,561,421,248,397,817,1784
465,632,1145,1649,594,561,417,218,396,817,1784
421,509,1312,1649,594,473,408,313,396,811,1761
421,509,1312,1647,596,473,343,338,407,770,1761
421,509,1312,1647,596,473,335,346,296,639,1719
385,545,1312,1647,596,473,303,377,290,540,1658
345,633,1312,1637,606,473,283,397,287,579,1696
612,633,1312,1299,944,473,283,389,287,440,1877
722,633,1282,1296,977,473,275,395,281,401,1921
731,633,1247,1326,980,459,243,441,281,402,1922
908,633,1247,1326,900,539,208,476,281,656,1922
868,675,1247,1309,871,585,208,476,342,642,1882
873,675,1246,1269,841,639,219,482,383,651,1565
896,675,1079,1414,765,657,299,472,383,633,1565
905,675,1079,1372,805,654,304,471,390,633,1453
962,675,1079,1298,879,647,298,476,410,633,1379
1078,675,1079,1245,932,647,297,462,454,676,1376
1090,701,1079,1164,1012,646,299,462,454,734,1261
912,888,1079,1164,1012,564,366,477,454,753,1249
920,888,953,902,1400,525,404,423,446,753,1249
920,888,316,1349,1590,499,430,423,315,723,1249
920,587,607,1303,1646,370,559,423,335,723,1249
920,587,604,1305,1647,370,559,423,323,723,1247
889,574,646,1209,1745,370,559,421,322,698,1206
882,573,650,1194,1764,349,580,387,349,663,1386
891,523,702,1191,1767,300,629,373,418,599,1387
891,523,702,1155,1803,300,629,364,667,458,1212
891,482,740,1158,1603,500,626,367,728,458,858
