Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
1558,605,556,490,747,888,594,479,553,826,924
1538,639,556,490,747,888,594,473,508,1158,906
1549,684,455,591,747,888,594,473,561,1221,993
1473,761,455,552,786,888,594,473,654,1252,1105
1367,942,381,626,786,888,594,473,778,1270,1122
1388,771,396,816,786,888,594,473,848,1373,1128
1416,740,432,819,786,888,594,473,842,1403,1196
1408,806,458,819,776,898,592,475,841,1452,1279
1425,788,476,800,743,892,650,475,854,1500,1278
1467,845,476,800,704,896,685,475,743,1412,1278
1437,797,568,800,663,933,684,476,694,1394,1320
1438,671,694,631,832,888,661,540,644,1362,1292
1438,628,740,608,855,694,711,683,636,1362,1293
1437,629,740,608,810,655,757,721,641,1306,1213
1427,639,739,389,935,750,702,776,641,1296,1198
1424,642,646,482,935,750,702,776,637,1296,1242
1262,802,648,482,935,750,543,935,637,1296,1194
1107,955,650,482,935,366,879,983,643,1296,1186
1112,955,650,482,830,471,879,983,642,1296,1127
1119,955,650,482,811,490,874,945,661,1150,1045
1143,955,650,482,793,508,874,743,657,1144,947
1316,955,556,576,790,511,869,662,630,1106,918
1323,959,556,573,793,498,882,662,567,1106,892
1214,1143,558,573,735,508,889,703,557,1088,633
1217,1155,600,573,538,705,889,703,541,1088,606
1180,1187,605,573,516,727,889,703,541,1090,529
1209,1189,605,556,533,727,889,703,541,1047,527
1049,1349,605,556,533,711,905,703,541,1040,527
1079,1453,605,556,495,749,893,709,541,1108,502
1040,1547,605,556,495,749,892,639,541,1111,627
1127,1547,605,556,490,754,881,648,520,1108,705
1119,1558,605,556,490,747,888,594,444,989,803
1106,1538,639,556,490,747,888,594,436,657,832
1050,1549,684,455,591,747,888,594,383,610,757
1049,1473,761,455,552,786,888,594,290,580,714
974,1367,942,381,626,786,888,594,169,667,707
919,1388,771,396,816,786,888,594,99,588,777
886,1416,740,432,819,786,888,594,98,546,709
802,1408,806,458,819,776,898,592,98,497,704
798,1425,788,476,800,743,892,650,85,389,706
706,1467,845,476,800,704,896,685,84,367,735
692,1437,797,568,800,663,933,684,84,411,731
691,1438,671,694,631,832,888,661,84,430,698
709,1438,628,740,608,855,694,711,84,430,704
709,1437,629,740,608,810,655,757,88,434,712
709,1427,639,739,389,935,750,702,88,448,712
774,1424,642,646,482,935,750,702,88,534,668
845,1262,802,648,482,935,750,543,81,654,746
845,1107,955,650,482,935,366,879,263,683,904
840,1112,955,650,482,830,471,879,365,690,959
833,1119,955,650,482,811,490,874,356,694,1014
815,1143,955,650,482,793,508,874,354,748,1015
645,1316,955,556,576,790,511,869,381,803,1015
634,1323,959,556,573,793,498,882,750,803,1015
602,1214,1143,558,573,735,508,889,750,815,1015
549,1217,1155,600,573,538,705,889,750,815,1015
549,1180,1187,605,573,516,727,889,750,793,1015
519,1209,1189,605,556,533,727,889,750,792,1036
535,1049,1349,605,556,533,711,905,750,790,1036
468,1079,1453,605,556,495,749,893,750,722,1039
417,1040,1547,605,556,495,749,892,750,746,914
351,1127,1547,605,556,490,754,881,736,780,836
357,1119,1558,605,556,490,747,888,736,991,738
441,1106,1538,639,556,490,747,888,764,994,709
604,1050,1549,684,455,591,747,888,771,978,697
607,1049,1473,761,455,552,786,888,778,1049,628
644,974,1367,942,381,626,786,888,775,1086,622
644,919,1388,771,396,816,786,888,775,1304,591
641,886,1416,740,432,819,786,888,786,1243,601
641,802,1408,806,458,819,776,898,786,1240,707
628,798,1425,788,476,800,743,892,888,1200,706
621,706,1467,845,476,800,704,896,1042,1199,704
622,692,1437,797,568,800,663,933,1063,1145,801
622,691,1438,671,694,631,832,888,1083,1126,914
601,709,1438,628,740,608,855,694,1086,1126,930
620,709,1437,629,740,608,810,655,1077,1122,1066
627,709,1427,639,739,389,935,750,1080,1108,1066
562,774,1424,642,646,482,935,750,1148,1022,1066
517,845,1262,802,648,482,935,750,1139,902,988
556,845,1107,955,650,482,935,366,951,873,830
556,840,1112,955,650,482,830,471,848,866,775
556,833,1119,955,650,482,811,490,837,884,720
570,815,1143,955,650,482,793,508,837,830,732
574,645,1316,955,556,576,790,511,835,775,732
708,634,1323,959,556,573,793,498,485,775,777
708,602,1214,1143,558,573,735,508,485,763,880
