Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3
476,575,1087,1091,325,733,455,106,558,715,453,1421
465,586,1043,1134,326,624,564,106,558,713,473,1411
455,596,904,1273,326,563,568,162,555,753,471,1412
438,613,470,1657,376,563,545,184,555,753,517,1413
493,652,469,1456,334,796,551,189,555,695,703,1416
338,825,469,1398,392,796,500,227,568,713,671,1465
402,842,469,1334,456,796,475,252,568,766,647,1651
471,842,469,1285,505,796,475,252,567,839,640,1702
522,842,468,1286,505,796,475,252,567,848,640,1720
547,842,468,1252,493,772,545,252,565,795,629,1666
547,842,409,1297,507,749,568,252,548,834,558,1716
552,842,409,1045,759,740,559,263,553,828,403,1739
552,842,354,1055,772,758,565,265,543,810,366,1857
561,843,326,1007,848,660,607,318,544,842,366,1886
561,842,327,1007,848,649,590,340,550,852,365,2073
563,511,658,1007,848,649,584,342,554,852,363,2089
573,398,759,1019,848,649,584,336,560,854,381,2072
573,368,776,1032,848,649,584,336,560,843,381,2111
573,368,673,1135,848,649,584,323,573,811,418,2138
647,367,560,1249,848,556,677,302,594,789,418,2154
665,317,610,1249,847,468,766,302,529,715,496,2127
680,275,652,1249,847,468,766,302,484,651,555,2080
675,280,652,1249,847,468,726,342,369,742,561,2049
632,323,652,1139,957,468,685,383,236,733,563,2049
572,383,631,1160,957,468,685,383,217,594,563,2034
539,424,631,1093,1024,468,662,406,216,607,563,1984
486,477,631,1093,1024,343,723,470,216,619,565,1742
482,481,631,1093,1024,339,721,476,216,629,592,1731
520,481,629,1092,1027,338,722,476,187,592,592,1697
518,483,628,1044,1076,323,737,460,190,592,624,1406
542,476,575,1087,1093,323,734,463,129,616,673,1228
569,476,575,1087,1091,325,733,455,106,499,717,1123
593,465,586,1043,1134,326,624,564,106,481,695,1132
593,455,596,904,1273,326,563,568,162,440,680,1141
593,438,613,470,1657,376,563,545,184,438,678,1144
499,493,652,469,1456,334,796,551,189,457,501,1209
607,338,825,469,1398,392,796,500,227,452,492,1188
619,402,842,469,1334,456,796,475,252,399,432,1005
666,471,842,469,1285,505,796,475,252,326,409,953
671,522,842,468,1286,505,796,475,252,317,409,935
668,547,842,468,1252,493,772,545,252,317,409,935
668,547,842,409,1297,507,749,568,252,275,409,872
699,552,842,409,1045,759,740,559,263,275,409,849
699,552,842,354,1055,772,758,565,265,274,409,731
689,561,843,326,1007,848,660,607,318,228,409,702
689,561,842,327,1007,848,649,590,340,218,415,515
687,563,511,658,1007,848,649,584,342,218,433,504
677,573,398,759,1019,848,649,584,336,216,549,504
677,573,368,776,1032,848,649,584,336,216,648,469
689,573,368,673,1135,848,649,584,323,216,612,479
680,647,367,560,1249,848,556,677,302,272,612,437
667,665,317,610,1249,847,468,766,302,356,534,338
660,680,275,652,1249,847,468,766,302,440,475,331
680,675,280,652,1249,847,468,726,342,344,477,331
680,632,323,652,1139,957,468,685,383,344,574,387
680,572,383,631,1160,957,468,685,383,344,587,412
672,539,424,631,1093,1024,468,662,406,346,587,511
672,486,477,631,1093,1024,343,723,470,365,608,509
672,482,481,631,1093,1024,339,721,476,402,581,524
634,520,481,629,1092,1027,338,722,476,419,585,530
642,518,483,628,1044,1076,323,737,460,419,553,572
645,542,476,575,1087,1093,323,734,463,395,588,619
629,569,476,575,1087,1091,325,733,455,411,567,624
606,593,465,586,1043,1134,326,624,564,411,567,758
640,593,455,596,904,1273,326,563,568,411,565,841
704,593,438,613,470,1657,376,563,545,433,521,875
721,499,493,652,469,1456,334,796,551,441,521,1048
595,607,338,825,469,1398,392,796,500,428,522,1354
502,619,402,842,469,1334,456,796,475,433,522,1398
386,666,471,842,469,1285,505,796,475,433,522,1532
336,671,522,842,468,1286,505,796,475,485,538,1532
314,668,547,842,468,1252,493,772,545,485,576,1532
314,668,547,842,409,1297,507,749,568,486,577,1532
278,699,552,842,409,1045,759,740,559,517,660,1532
278,699,552,842,354,1055,772,758,565,517,683,1532
278,689,561,843,326,1007,848,660,607,532,703,1532
319,689,561,842,327,1007,848,649,590,538,901,1532
319,687,563,511,658,1007,848,649,584,578,1050,1527
319,677,573,398,759,1019,848,649,584,578,1017,1528
319,677,573,368,776,1032,848,649,584,578,985,1521
307,689,573,368,673,1135,848,649,584,578,1026,1493
247,680,647,367,560,1249,848,556,677,522,1079,1489
374,667,665,317,610,1249,847,468,766,515,1118,1489
374,660,680,275,652,1249,847,468,766,513,1127,1489
354,680,675,280,652,1249,847,468,726,506,1179,1517
380,680,632,323,652,1139,957,468,685,650,1086,1506
387,680,572,383,631,1160,957,468,685,650,1073,1500
387,672,539,424,631,1093,1024,468,662,635,1073,1372
387,672,486,477,631,1093,1024,343,723,608,1050,1371
387,672,482,481,631,1093,1024,339,721,562,1072,1332
391,634,520,481,629,1092,1027,338,722,545,1080,1318
384,642,518,483,628,1044,1076,323,737,545,1102,1241
357,645,542,476,575,1087,1093,323,734,545,1026,1213
346,629,569,476,575,1087,1091,325,733,530,1016,1279
345,606,593,465,586,1043,1134,326,624,528,1017,1151
311,640,593,455,596,904,1273,326,563,530,1017,1058
247,704,593,438,613,470,1657,376,563,525,1049,1020
230,721,499,493,652,469,1456,334,796,500,1091,782
230,595,607,338,825,469,1398,392,796,516,1091,550
230,502,619,402,842,469,1334,456,796,513,1091,564
230,386,666,471,842,469,1285,505,796,513,1091,437
224,336,671,522,842,468,1286,505,796,461,1075,438
224,314,668,547,842,468,1252,493,772,461,1042,438
225,314,668,547,842,409,1297,507,749,460,1082,443
246,278,699,552,842,409,1045,759,740,429,1059,445
258,278,699,552,842,354,1055,772,758,429,1036,445
270,278,689,561,843,326,1007,848,660,479,1021,445
229,319,689,561,842,327,1007,848,649,518,817,445
239,319,687,563,511,658,1007,848,649,593,650,445
239,319,677,573,398,759,1019,848,649,726,549,443
240,319,677,573,368,776,1032,848,649,745,482,443
431,307,689,573,368,673,1135,848,649,746,440,434
444,247,680,647,367,560,1249,848,556,746,387,434
339,374,667,665,317,610,1249,847,468,666,348,434
427,374,660,680,275,652,1249,847,468,605,339,434
433,354,680,675,280,652,1249,847,468,609,279,406
417,380,680,632,323,652,1139,957,468,526,273,361
446,387,680,572,383,631,1160,957,468,558,273,342
446,387,672,539,424,631,1093,1024,468,558,293,314
446,387,672,486,477,631,1093,1024,343,555,293,312
446,387,672,482,481,631,1093,1024,339,555,273,312
442,391,634,520,481,629,1092,1027,338,555,292,312
441,384,642,518,483,628,1044,1076,323,568,271,286
464,357,645,542,476,575,1087,1093,323,568,271,267
486,346,629,569,476,575,1087,1091,325,567,314,198
515,345,606,593,465,586,1043,1134,326,567,313,324
522,311,640,593,455,596,904,1273,326,565,313,366
674,247,704,593,438,613,470,1657,376,548,281,367
674,230,721,499,493,652,469,1456,334,553,230,364
675,230,595,607,338,825,469,1398,392,543,235,262
687,230,502,619,402,842,469,1334,456,544,241,329
691,230,386,666,471,842,469,1285,505,550,266,322
762,224,336,671,522,842,468,1286,505,554,266,321
822,224,314,668,547,842,468,1252,493,560,263,321
832,225,314,668,547,842,409,1297,507,560,228,316
817,246,278,699,552,842,409,1045,759,573,168,317
805,258,278,699,552,842,354,1055,772,594,255,317
793,270,278,689,561,843,326,1007,848,529,251,317
