Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1443,66,706,1328,914,627,946,977,184,1666,124,782,1468,772,669,1005
1419,90,621,1412,836,705,947,961,118,1748,124,782,1470,749,710,1022
1417,92,621,1412,738,803,924,928,174,1748,122,681,1456,740,709,1046
1417,92,604,1429,709,832,906,927,193,1748,122,656,1456,758,640,1046
1311,198,534,1499,697,757,993,739,381,1736,134,642,1456,660,433,1046
1261,279,510,1523,628,714,1105,490,630,1682,188,591,1346,649,224,1131
1204,370,510,1519,622,707,1122,489,609,1670,222,591,1341,649,222,1123
1278,370,475,1509,591,777,1128,485,613,1391,501,591,1341,649,295,1161
1250,398,475,1499,601,709,1196,421,677,1391,482,608,1341,649,208,1161
1235,413,475,1315,707,704,1279,416,682,1391,465,624,1213,649,299,1120
1220,433,475,1308,706,706,1278,423,682,1390,465,625,1191,556,291,1108
1237,444,475,1281,704,735,1278,422,683,1390,461,629,1288,468,291,1240
1290,479,475,1146,801,731,1320,422,683,1376,475,629,1338,468,291,1240
1175,638,475,1031,914,698,1292,485,683,1320,531,629,941,468,291,1234
1213,724,475,1008,930,704,1293,485,683,1239,612,629,941,468,291,1230
1267,724,469,870,1066,712,1213,565,683,1234,617,629,1017,468,305,983
1230,762,419,920,1066,712,1198,580,683,1138,713,629,1114,468,326,713
1122,902,384,955,1066,668,1242,580,683,1020,831,629,929,343,326,713
1173,903,347,992,988,746,1194,628,680,1022,832,532,898,339,327,683
1266,903,347,992,830,904,1186,636,680,1020,834,482,879,338,423,645
1383,903,132,1207,775,959,1127,695,655,867,1012,482,866,323,423,645
1425,903,128,1211,720,1014,1045,697,715,878,1021,482,842,323,444,555
1448,951,107,1219,732,1015,947,758,747,860,1044,367,933,325,444,555
1409,1112,102,1224,732,1015,918,782,752,842,1062,219,803,326,444,555
1376,1159,102,1179,777,1015,892,776,784,772,1132,219,782,326,444,555
1399,1177,102,1076,880,1015,633,885,934,771,1113,223,782,376,444,555
1401,1183,83,976,999,1015,606,851,995,771,1113,223,681,334,444,458
1398,1123,136,972,1016,1015,529,927,990,527,1363,223,656,392,431,484
1374,1195,107,954,1042,1036,527,929,977,434,1469,223,642,456,484,523
1320,1443,66,831,1206,1036,527,929,969,358,1553,82,591,505,587,549
1495,1443,66,740,1294,1039,502,947,976,358,1539,88,591,505,568,537
1529,1443,66,706,1328,914,627,946,977,184,1666,124,591,493,606,611
1589,1419,90,621,1412,836,705,947,961,118,1748,124,608,507,548,594
1618,1417,92,621,1412,738,803,924,928,174,1748,122,624,759,548,570
1618,1417,92,604,1429,709,832,906,927,193,1748,122,625,772,623,570
1713,1311,198,534,1499,697,757,993,739,381,1736,134,629,848,671,570
1689,1261,279,510,1523,628,714,1105,490,630,1682,188,629,848,695,481
1656,1204,370,510,1519,622,707,1122,489,609,1670,222,629,848,705,481
1583,1278,370,475,1509,591,777,1128,485,613,1391,501,629,848,634,443
1591,1250,398,475,1499,601,709,1196,421,677,1391,482,629,848,614,443
1593,1235,413,475,1315,707,704,1279,416,682,1391,465,629,848,523,442
1588,1220,433,475,1308,706,706,1278,423,682,1390,465,629,848,523,442
1560,1237,444,475,1281,704,735,1278,422,683,1390,461,532,847,523,274
1472,1290,479,475,1146,801,731,1320,422,683,1376,475,482,847,523,281
1428,1175,638,475,1031,914,698,1292,485,683,1320,531,482,847,525,281
1304,1213,724,475,1008,930,704,1293,485,683,1239,612,482,957,661,217
1307,1267,724,469,870,1066,712,1213,565,683,1234,617,367,957,715,217
1382,1230,762,419,920,1066,712,1198,580,683,1138,713,219,1024,724,232
1417,1122,902,384,955,1066,668,1242,580,683,1020,831,219,1024,776,392
1369,1173,903,347,992,988,746,1194,628,680,1022,832,223,1024,775,392
1313,1266,903,347,992,830,904,1186,636,680,1020,834,223,1027,679,392
1197,1383,903,132,1207,775,959,1127,695,655,867,1012,223,1076,679,396
1155,1425,903,128,1211,720,1014,1045,697,715,878,1021,223,1093,681,398
1084,1448,951,107,1219,732,1015,947,758,747,860,1044,82,1091,689,471
962,1409,1112,102,1224,732,1015,918,782,752,842,1062,88,1134,689,493
992,1376,1159,102,1179,777,1015,892,776,784,772,1132,124,1273,689,493
995,1399,1177,102,1076,880,1015,633,885,934,771,1113,124,1657,689,493
987,1401,1183,83,976,999,1015,606,851,995,771,1113,122,1456,689,532
984,1398,1123,136,972,1016,1015,529,927,990,527,1363,122,1398,689,506
936,1374,1195,107,954,1042,1036,527,929,977,434,1469,134,1334,636,467
834,1320,1443,66,831,1206,1036,527,929,969,358,1553,188,1285,533,441
659,1495,1443,66,740,1294,1039,502,947,976,358,1539,222,1286,525,417
625,1529,1443,66,706,1328,914,627,946,977,184,1666,501,1252,506,322
565,1589,1419,90,621,1412,836,705,947,961,118,1748,482,1297,506,322
840,1618,1417,92,621,1412,738,803,924,928,174,1748,465,1045,506,322
881,1618,1417,92,604,1429,709,832,906,927,193,1748,465,1055,454,322
810,1713,1311,198,534,1499,697,757,993,739,381,1736,461,1007,406,322
899,1689,1261,279,510,1523,628,714,1105,490,630,1682,475,1007,382,322
907,1656,1204,370,510,1519,622,707,1122,489,609,1670,531,1007,499,322
906,1583,1278,370,475,1509,591,777,1128,485,613,1391,612,1019,497,322
903,1591,1250,398,475,1499,601,709,1196,421,677,1391,617,1032,567,322
901,1593,1235,413,475,1315,707,704,1279,416,682,1391,713,1135,654,322
901,1588,1220,433,475,1308,706,706,1278,423,682,1390,831,1249,682,322
952,1560,1237,444,475,1281,704,735,1278,422,683,1390,832,1249,682,322
1009,1472,1290,479,475,1146,801,731,1320,422,683,1376,834,1249,863,315
1035,1428,1175,638,475,1031,914,698,1292,485,683,1320,1012,1249,900,494
1035,1304,1213,724,475,1008,930,704,1293,485,683,1239,1021,1139,995,623
1028,1307,1267,724,469,870,1066,712,1213,565,683,1234,1044,1160,927,623
963,1382,1230,762,419,920,1066,712,1198,580,683,1138,1062,1093,1010,608
974,1417,1122,902,384,955,1066,668,1242,580,683,1020,1132,1093,982,448
1304,1369,1173,903,347,992,988,746,1194,628,680,1022,1113,1093,982,448
1268,1313,1266,903,347,992,830,904,1186,636,680,1020,1113,1092,983,448
1267,1197,1383,903,132,1207,775,959,1127,695,655,867,1363,1044,1022,444
1267,1155,1425,903,128,1211,720,1014,1045,697,715,878,1469,1087,1097,442
1267,1084,1448,951,107,1219,732,1015,947,758,747,860,1553,1087,1112,369
1267,962,1409,1112,102,1224,732,1015,918,782,752,842,1539,1043,1124,347
1223,992,1376,1159,102,1179,777,1015,892,776,784,772,1666,904,1221,356
1179,995,1399,1177,102,1076,880,1015,633,885,934,771,1748,470,1249,506
1179,987,1401,1183,83,976,999,1015,606,851,995,771,1748,469,1278,473
1179,984,1398,1123,136,972,1016,1015,529,927,990,527,1748,469,1278,473
1179,936,1374,1195,107,954,1042,1036,527,929,977,434,1736,469,1278,473
1087,834,1320,1443,66,831,1206,1036,527,929,969,358,1682,469,1278,473
1196,659,1495,1443,66,740,1294,1039,502,947,976,358,1670,468,1271,473
1202,625,1529,1443,66,706,1328,914,627,946,977,184,1391,468,1252,473
1207,565,1589,1419,90,621,1412,836,705,947,961,118,1391,409,1252,473
912,840,1618,1417,92,621,1412,738,803,924,928,174,1391,409,1252,482
871,881,1618,1417,92,604,1429,709,832,906,927,193,1390,354,1229,629
847,810,1713,1311,198,534,1499,697,757,993,739,381,1390,326,1229,629
751,899,1689,1261,279,510,1523,628,714,1105,490,630,1376,327,1229,629
771,907,1656,1204,370,510,1519,622,707,1122,489,609,1320,658,1233,658
772,906,1583,1278,370,475,1509,591,777,1128,485,613,1239,759,1239,658
767,903,1591,1250,398,475,1499,601,709,1196,421,677,1234,776,1167,658
767,901,1593,1235,413,475,1315,707,704,1279,416,682,1138,673,1081,658
767,901,1588,1220,433,475,1308,706,706,1278,423,682,1020,560,1053,658
716,952,1560,1237,444,475,1281,704,735,1278,422,683,1022,610,1056,658
659,1009,1472,1290,479,475,1146,801,731,1320,422,683,1020,652,875,658
710,1035,1428,1175,638,475,1031,914,698,1292,485,683,867,652,836,479
729,1035,1304,1213,724,475,1008,930,704,1293,485,683,878,652,641,350
679,1028,1307,1267,724,469,870,1066,712,1213,565,683,860,631,641,350
668,963,1382,1230,762,419,920,1066,712,1198,580,683,842,631,539,350
590,974,1417,1122,902,384,955,1066,668,1242,580,683,772,631,518,350
256,1304,1369,1173,903,347,992,988,746,1194,628,680,771,631,537,382
255,1268,1313,1266,903,347,992,830,904,1186,636,680,771,629,654,388
312,1267,1197,1383,903,132,1207,775,959,1127,695,655,527,628,620,388
312,1267,1155,1425,903,128,1211,720,1014,1045,697,715,434,575,562,388
312,1267,1084,1448,951,107,1219,732,1015,947,758,747,358,575,539,388
479,1267,962,1409,1112,102,1224,732,1015,918,782,752,358,586,549,390
489,1223,992,1376,1159,102,1179,777,1015,892,776,784,184,596,453,400
530,1179,995,1399,1177,102,1076,880,1015,633,885,934,118,613,427,250
530,1179,987,1401,1183,83,976,999,1015,606,851,995,174,652,456,244
530,1179,984,1398,1123,136,972,1016,1015,529,927,990,193,825,456,285
544,1179,936,1374,1195,107,954,1042,1036,527,929,977,381,842,456,369
549,1087,834,1320,1443,66,831,1206,1036,527,929,969,630,842,456,399
440,1196,659,1495,1443,66,740,1294,1039,502,947,976,609,842,456,399
434,1202,625,1529,1443,66,706,1328,914,627,946,977,613,842,509,410
429,1207,565,1589,1419,90,621,1412,836,705,947,961,677,842,512,481
420,912,840,1618,1417,92,621,1412,738,803,924,928,682,842,518,627
420,871,881,1618,1417,92,604,1429,709,832,906,927,682,842,537,517
425,847,810,1713,1311,198,534,1499,697,757,993,739,683,843,551,517
476,751,899,1689,1261,279,510,1523,628,714,1105,490,683,842,551,518
447,771,907,1656,1204,370,510,1519,622,707,1122,489,683,511,420,491
446,772,906,1583,1278,370,475,1509,591,777,1128,485,683,398,414,491
446,767,903,1591,1250,398,475,1499,601,709,1196,421,683,368,425,491
446,767,901,1593,1235,413,475,1315,707,704,1279,416,683,368,456,491
446,767,901,1588,1220,433,475,1308,706,706,1278,423,683,367,478,491
446,716,952,1560,1237,444,475,1281,704,735,1278,422,680,317,552,491
456,659,1009,1472,1290,479,475,1146,801,731,1320,422,680,275,624,491
379,710,1035,1428,1175,638,475,1031,914,698,1292,485,655,280,645,491
360,729,1035,1304,1213,724,475,1008,930,704,1293,485,715,323,618,491
360,679,1028,1307,1267,724,469,870,1066,712,1213,565,747,383,757,491
374,668,963,1382,1230,762,419,920,1066,712,1198,580,752,424,746,491
375,590,974,1417,1122,902,384,955,1066,668,1242,580,784,477,743,491
375,256,1304,1369,1173,903,347,992,988,746,1194,628,934,481,724,459
375,255,1268,1313,1266,903,347,992,830,904,1186,636,995,481,643,453
