Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
1641,246,667,899,664,561,858,443,661,628
1668,259,667,899,660,354,1022,487,663,665
1615,312,636,933,645,323,1062,488,668,680
1602,291,657,946,635,332,1003,517,693,675
1451,420,677,948,575,392,980,540,626,635
1158,695,691,952,567,400,980,540,626,589
1037,816,691,952,567,400,980,491,675,582
1006,847,691,952,567,190,1190,485,681,588
1001,850,693,952,567,190,1177,492,673,592
1001,850,693,952,492,265,809,822,595,590
982,864,698,873,567,254,824,822,551,607
865,980,700,873,495,326,824,822,332,582
705,1141,700,822,546,326,824,822,319,490
705,1136,705,822,488,384,824,814,327,487
719,1132,696,834,489,384,824,773,368,487
727,1132,696,791,532,384,824,770,369,486
719,1139,614,829,579,373,826,779,367,486
691,1158,614,796,621,373,792,813,343,486
510,1317,470,936,647,373,792,812,311,530
341,1478,469,944,648,373,792,812,286,526
260,1559,469,929,630,406,792,812,260,473
199,1617,481,867,368,730,792,812,260,536
284,1620,481,854,380,731,674,930,260,536
293,1625,481,823,411,731,580,1024,259,536
286,1632,413,748,554,731,579,991,293,536
279,1633,415,618,688,731,554,1016,293,536
295,1622,414,613,705,731,494,1053,316,505
295,1600,221,720,813,731,494,1053,316,458
219,1671,226,696,838,731,494,1053,250,438
219,1671,226,636,898,715,510,1018,285,468
220,1691,200,663,899,702,523,907,396,519
248,1641,246,667,899,664,561,858,443,549
301,1668,259,667,899,660,354,1022,487,514
302,1615,312,636,933,645,323,1062,488,466
389,1602,291,657,946,635,332,1003,517,466
389,1451,420,677,948,575,392,980,540,467
411,1158,695,691,952,567,400,980,540,462
433,1037,816,691,952,567,400,980,491,456
443,1006,847,691,952,567,190,1190,485,437
511,1001,850,693,952,567,190,1177,492,434
582,1001,850,693,952,492,265,809,822,439
584,982,864,698,873,567,254,824,822,426
700,865,980,700,873,495,326,824,822,457
710,705,1141,700,822,546,326,824,822,511
710,705,1136,705,822,488,384,824,814,581
696,719,1132,696,834,489,384,824,773,640
688,727,1132,696,791,532,384,824,770,720
686,719,1139,614,829,579,373,826,779,733
726,691,1158,614,796,621,373,792,813,743
754,510,1317,470,936,647,373,792,812,696
754,341,1478,469,944,648,373,792,812,611
754,260,1559,469,929,630,406,792,812,565
844,199,1617,481,867,368,730,792,812,494
807,284,1620,481,854,380,731,674,930,546
794,293,1625,481,823,411,731,580,1024,604
934,286,1632,413,748,554,731,579,991,683
937,279,1633,415,618,688,731,554,1016,744
921,295,1622,414,613,705,731,494,1053,761
921,295,1600,221,720,813,731,494,1053,761
920,219,1671,226,696,838,731,494,1053,745
938,219,1671,226,636,898,715,510,1018,744
916,220,1691,200,663,899,702,523,907,707
890,248,1641,246,667,899,664,561,858,694
797,301,1668,259,667,899,660,354,1022,692
793,302,1615,312,636,933,645,323,1062,691
706,389,1602,291,657,946,635,332,1003,691
728,389,1451,420,677,948,575,392,980,690
706,411,1158,695,691,952,567,400,980,690
