Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
802,648,482,935,750,543,935,247,592,634,690,628,665,715
955,650,482,935,366,879,983,247,571,634,680,636,680,651
955,650,482,830,471,879,983,247,551,640,680,695,675,742
955,650,482,811,490,874,945,290,548,642,826,697,632,733
955,650,482,793,508,874,743,492,548,648,832,758,572,594
955,556,576,790,511,869,662,578,545,657,856,782,539,607
959,556,573,793,498,882,662,578,477,720,855,776,486,619
1143,558,573,735,508,889,703,578,466,729,873,885,482,629
1155,600,573,538,705,889,703,578,466,737,873,851,520,592
1187,605,573,516,727,889,703,578,462,737,893,927,518,592
1189,605,556,533,727,889,703,505,534,737,937,929,542,616
1349,605,556,533,711,905,703,492,547,573,946,929,569,499
1453,605,556,495,749,893,709,448,571,570,946,947,593,481
1547,605,556,495,749,892,639,471,600,550,716,946,593,440
1547,605,556,490,754,881,648,451,622,527,707,947,593,438
1558,605,556,490,747,888,594,479,648,553,826,924,499,457
1538,639,556,490,747,888,594,473,654,508,1158,906,607,452
1549,684,455,591,747,888,594,473,650,561,1221,993,619,399
1473,761,455,552,786,888,594,473,650,654,1252,1105,666,326
1367,942,381,626,786,888,594,473,631,778,1270,1122,671,317
1388,771,396,816,786,888,594,473,629,848,1373,1128,668,317
1416,740,432,819,786,888,594,473,629,842,1403,1196,668,275
1408,806,458,819,776,898,592,475,507,841,1452,1279,699,275
1425,788,476,800,743,892,650,475,439,854,1500,1278,699,274
1467,845,476,800,704,896,685,475,384,743,1412,1278,689,228
1437,797,568,800,663,933,684,476,388,694,1394,1320,689,218
1438,671,694,631,832,888,661,540,340,644,1362,1292,687,218
1438,628,740,608,855,694,711,683,326,636,1362,1293,677,216
1437,629,740,608,810,655,757,721,258,641,1306,1213,677,216
1427,639,739,389,935,750,702,776,257,641,1296,1198,689,216
1424,642,646,482,935,750,702,776,250,637,1296,1242,680,272
1262,802,648,482,935,750,543,935,247,637,1296,1194,667,356
1107,955,650,482,935,366,879,983,247,643,1296,1186,660,440
1112,955,650,482,830,471,879,983,247,642,1296,1127,680,344
1119,955,650,482,811,490,874,945,290,661,1150,1045,680,344
1143,955,650,482,793,508,874,743,492,657,1144,947,680,344
1316,955,556,576,790,511,869,662,578,630,1106,918,672,346
1323,959,556,573,793,498,882,662,578,567,1106,892,672,365
1214,1143,558,573,735,508,889,703,578,557,1088,633,672,402
1217,1155,600,573,538,705,889,703,578,541,1088,606,634,419
1180,1187,605,573,516,727,889,703,578,541,1090,529,642,419
1209,1189,605,556,533,727,889,703,505,541,1047,527,645,395
1049,1349,605,556,533,711,905,703,492,541,1040,527,629,411
1079,1453,605,556,495,749,893,709,448,541,1108,502,606,411
1040,1547,605,556,495,749,892,639,471,541,1111,627,640,411
1127,1547,605,556,490,754,881,648,451,520,1108,705,704,433
1119,1558,605,556,490,747,888,594,479,444,989,803,721,441
1106,1538,639,556,490,747,888,594,473,436,657,832,595,428
1050,1549,684,455,591,747,888,594,473,383,610,757,502,433
1049,1473,761,455,552,786,888,594,473,290,580,714,386,433
974,1367,942,381,626,786,888,594,473,169,667,707,336,485
919,1388,771,396,816,786,888,594,473,99,588,777,314,485
886,1416,740,432,819,786,888,594,473,98,546,709,314,486
802,1408,806,458,819,776,898,592,475,98,497,704,278,517
798,1425,788,476,800,743,892,650,475,85,389,706,278,517
706,1467,845,476,800,704,896,685,475,84,367,735,278,532
692,1437,797,568,800,663,933,684,476,84,411,731,319,538
691,1438,671,694,631,832,888,661,540,84,430,698,319,578
709,1438,628,740,608,855,694,711,683,84,430,704,319,578
709,1437,629,740,608,810,655,757,721,88,434,712,319,578
709,1427,639,739,389,935,750,702,776,88,448,712,307,578
774,1424,642,646,482,935,750,702,776,88,534,668,247,522
845,1262,802,648,482,935,750,543,935,81,654,746,374,515
845,1107,955,650,482,935,366,879,983,263,683,904,374,513
840,1112,955,650,482,830,471,879,983,365,690,959,354,506
833,1119,955,650,482,811,490,874,945,356,694,1014,380,650
815,1143,955,650,482,793,508,874,743,354,748,1015,387,650
645,1316,955,556,576,790,511,869,662,381,803,1015,387,635
634,1323,959,556,573,793,498,882,662,750,803,1015,387,608
602,1214,1143,558,573,735,508,889,703,750,815,1015,387,562
549,1217,1155,600,573,538,705,889,703,750,815,1015,391,545
549,1180,1187,605,573,516,727,889,703,750,793,1015,384,545
519,1209,1189,605,556,533,727,889,703,750,792,1036,357,545
535,1049,1349,605,556,533,711,905,703,750,790,1036,346,530
468,1079,1453,605,556,495,749,893,709,750,722,1039,345,528
417,1040,1547,605,556,495,749,892,639,750,746,914,311,530
351,1127,1547,605,556,490,754,881,648,736,780,836,247,525
357,1119,1558,605,556,490,747,888,594,736,991,738,230,500
441,1106,1538,639,556,490,747,888,594,764,994,709,230,516
604,1050,1549,684,455,591,747,888,594,771,978,697,230,513
607,1049,1473,761,455,552,786,888,594,778,1049,628,230,513
644,974,1367,942,381,626,786,888,594,775,1086,622,224,461
644,919,1388,771,396,816,786,888,594,775,1304,591,224,461
641,886,1416,740,432,819,786,888,594,786,1243,601,225,460
641,802,1408,806,458,819,776,898,592,786,1240,707,246,429
628,798,1425,788,476,800,743,892,650,888,1200,706,258,429
621,706,1467,845,476,800,704,896,685,1042,1199,704,270,479
622,692,1437,797,568,800,663,933,684,1063,1145,801,229,518
622,691,1438,671,694,631,832,888,661,1083,1126,914,239,593
601,709,1438,628,740,608,855,694,711,1086,1126,930,239,726
620,709,1437,629,740,608,810,655,757,1077,1122,1066,240,745
627,709,1427,639,739,389,935,750,702,1080,1108,1066,431,746
562,774,1424,642,646,482,935,750,702,1148,1022,1066,444,746
517,845,1262,802,648,482,935,750,543,1139,902,988,339,666
556,845,1107,955,650,482,935,366,879,951,873,830,427,605
556,840,1112,955,650,482,830,471,879,848,866,775,433,609
556,833,1119,955,650,482,811,490,874,837,884,720,417,526
570,815,1143,955,650,482,793,508,874,837,830,732,446,558
574,645,1316,955,556,576,790,511,869,835,775,732,446,558
708,634,1323,959,556,573,793,498,882,485,775,777,446,555
708,602,1214,1143,558,573,735,508,889,485,763,880,446,555
749,549,1217,1155,600,573,538,705,889,485,776,999,442,555
778,549,1180,1187,605,573,516,727,889,485,835,1016,441,568
804,519,1209,1189,605,556,533,727,889,489,835,1042,464,568
982,535,1049,1349,605,556,533,711,905,489,914,1206,486,567
935,468,1079,1453,605,556,495,749,893,508,1079,1294,515,567
931,417,1040,1547,605,556,495,749,892,510,1071,1328,522,565
910,351,1127,1547,605,556,490,754,881,510,1087,1412,674,548
901,357,1119,1558,605,556,490,747,888,632,920,1412,674,553
816,441,1106,1538,639,556,490,747,888,672,917,1429,675,543
692,604,1050,1549,684,455,591,747,888,720,917,1499,687,544
689,607,1049,1473,761,455,552,786,888,713,846,1523,691,550
652,644,974,1367,942,381,626,786,888,765,704,1519,762,554
652,644,919,1388,771,396,816,786,888,780,463,1509,822,560
652,641,886,1416,740,432,819,786,888,837,513,1499,832,560
652,641,802,1408,806,458,819,776,898,838,715,1315,817,573
652,628,798,1425,788,476,800,743,892,743,786,1308,805,594
652,621,706,1467,845,476,800,704,896,592,812,1281,793,529
651,622,692,1437,797,568,800,663,933,571,863,1146,793,484
651,622,691,1438,671,694,631,832,888,551,892,1031,783,369
651,601,709,1438,628,740,608,855,694,548,1008,1008,783,236
632,620,709,1437,629,740,608,810,655,548,1018,870,782,217
625,627,709,1427,639,739,389,935,750,545,1018,920,591,216
628,562,774,1424,642,646,482,935,750,477,1022,955,573,216
782,517,845,1262,802,648,482,935,750,466,1055,992,591,216
820,556,845,1107,955,650,482,935,366,466,1231,992,516,187
824,556,840,1112,955,650,482,830,471,462,1254,1207,510,190
824,556,833,1119,955,650,482,811,490,534,1232,1211,500,129
804,570,815,1143,955,650,482,793,508,547,1251,1219,634,106
797,574,645,1316,955,556,576,790,511,571,1251,1224,717,106
790,708,634,1323,959,556,573,793,498,600,1256,1179,721,162
807,708,602,1214,1143,558,573,735,508,622,1327,1076,768,184
784,749,549,1217,1155,600,573,538,705,648,1358,976,805,189
816,778,549,1180,1187,605,573,516,727,654,1299,972,875,227
821,804,519,1209,1189,605,556,533,727,650,1306,954,958,252
645,982,535,1049,1349,605,556,533,711,650,1233,831,950,252
628,935,468,1079,1453,605,556,495,749,631,1068,740,1056,252
