Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
85,854,457,1065,758,864,389,706,278,517,683,1532,472,1222,1615
84,743,569,1065,713,879,367,735,278,532,703,1532,472,1104,1602
84,694,618,1065,713,879,411,731,319,538,901,1532,472,1070,1451
84,644,668,1065,713,874,430,698,319,578,1050,1527,472,1056,1158
84,636,674,1052,707,828,430,704,319,578,1017,1528,472,1020,1037
88,641,674,649,1057,877,434,712,319,578,985,1521,472,898,1006
88,641,674,420,1283,880,448,712,307,578,1026,1493,507,881,1001
88,637,670,428,1283,880,534,668,247,522,1079,1489,517,868,1001
81,637,634,491,1275,888,654,746,374,515,1118,1489,517,871,982
263,643,634,491,1274,869,683,904,374,513,1127,1489,517,851,865
365,642,640,491,1268,865,690,959,354,506,1179,1517,563,863,705
356,661,642,491,1268,864,694,1014,380,650,1086,1506,586,868,705
354,657,648,491,1227,839,748,1015,387,650,1073,1500,573,954,719
381,630,657,510,1209,812,803,1015,387,635,1073,1372,572,1036,727
750,567,720,510,1209,809,803,1015,387,608,1050,1371,650,1124,719
750,557,729,511,1096,922,815,1015,387,562,1072,1332,701,1188,691
750,541,737,515,1100,922,815,1015,391,545,1080,1318,650,1172,510
750,541,737,515,1081,941,793,1015,384,545,1102,1241,767,1200,341
750,541,737,515,1079,943,792,1036,357,545,1026,1213,777,1205,260
750,541,573,679,1079,871,790,1036,346,530,1016,1279,642,1197,199
750,541,570,682,1079,692,722,1039,345,528,1017,1151,487,1182,284
750,541,550,702,1079,639,746,914,311,530,1017,1058,487,1182,293
736,520,527,760,1079,639,780,836,247,525,1049,1020,490,1181,286
736,444,553,734,1155,639,991,738,230,500,1091,782,491,1051,279
764,436,508,689,1253,639,994,709,230,516,1091,550,491,1036,295
771,383,561,637,1302,627,978,697,230,513,1091,564,491,1092,295
778,290,654,611,1264,685,1049,628,230,513,1091,437,495,999,219
775,169,778,609,1190,687,1086,622,224,461,1075,438,541,839,219
775,99,848,542,1257,473,1304,591,224,461,1042,438,546,907,220
786,98,842,505,1091,683,1243,601,225,460,1082,443,592,956,248
786,98,841,506,1033,741,1240,707,246,429,1059,445,607,985,301
