Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
1126,466,465,488,568,953,567,654,586,738,780,877,418
1123,469,449,504,575,953,567,655,586,700,814,816,535
1123,467,436,517,577,963,567,1015,651,678,820,832,546
1123,373,524,523,709,963,567,1042,679,614,863,832,787
1123,359,538,510,711,963,492,1138,679,624,863,953,801
1123,356,541,474,794,966,567,1149,679,624,865,964,996
1123,356,539,476,782,1150,495,1164,679,624,953,968,1001
1123,334,561,476,778,1162,546,1164,678,624,955,965,1001
1123,334,561,476,745,1050,488,1164,657,624,956,1015,1001
1094,363,561,367,1020,917,489,1164,657,624,956,900,1001
1086,371,561,367,1022,800,532,1164,657,569,956,950,1001
1033,424,561,367,1024,800,579,1086,657,526,956,951,1040
1144,427,561,367,1024,802,621,1056,657,525,873,951,1204
1112,464,564,351,1024,802,647,1055,656,521,792,940,1288
1029,542,569,339,1024,805,648,975,656,466,801,1086,1378
1060,544,571,333,1024,805,630,975,656,466,802,1067,1442
1025,663,571,322,1123,723,368,991,598,428,803,1065,1442
742,956,571,311,1123,713,380,1045,570,484,892,1064,1442
731,967,571,311,1123,910,411,1107,432,443,885,1058,1442
492,1206,547,330,1158,912,554,1109,417,395,850,1058,1442
492,1196,557,330,1143,1092,688,1140,347,341,850,1058,1457
492,1155,598,330,1203,1102,705,1140,346,801,902,1058,1509
492,1138,605,340,1372,1062,813,1200,96,801,903,1058,1509
493,1075,600,408,1419,947,838,1041,96,801,1132,1071,1512
474,1055,555,492,1309,946,898,930,96,823,1042,1078,1513
502,1043,593,474,1241,993,899,924,96,838,1079,1078,1933
515,1043,577,415,1272,993,899,968,96,838,1006,1067,1967
515,1024,594,406,1114,805,899,968,276,838,1008,988,1972
515,1024,594,270,1096,979,933,918,355,838,947,915,1958
515,1022,596,270,1069,1110,946,913,372,838,766,789,1923
514,989,622,274,1039,1216,948,958,443,838,764,757,1917
319,1126,466,465,1034,1221,952,976,558,838,726,591,1823
337,1123,469,449,1027,1221,952,981,646,838,692,591,1741
340,1123,467,436,1025,1211,952,621,601,755,685,512,1793
340,1123,373,524,901,1211,952,665,597,744,642,512,1664
370,1123,359,538,904,1259,952,573,684,743,642,391,1588
496,1123,356,541,821,1263,873,562,689,763,640,380,1315
550,1123,356,539,784,1079,873,578,689,807,552,376,1310
581,1123,334,561,819,1160,822,594,689,810,569,362,1310
581,1123,334,561,819,1174,822,594,689,834,568,312,1310
596,1094,363,561,541,1147,834,594,689,926,568,220,1310
703,1086,371,561,553,1108,791,595,689,884,568,169,1349
950,1033,424,561,552,1108,829,651,689,880,568,239,1310
871,1144,427,561,598,1137,796,873,689,880,568,333,1153
