Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
605,573,516,727,889,703,578,462,848,365,642,515,318,990,483,638,453,1257,616
605,556,533,727,889,703,505,534,837,356,661,515,318,977,476,598,453,1400,616
605,556,533,711,905,703,492,547,837,354,657,679,318,969,476,715,453,1421,529
605,556,495,749,893,709,448,571,835,381,630,682,151,976,465,713,473,1411,530
605,556,495,749,892,639,471,600,485,750,567,702,380,977,455,753,471,1412,530
605,556,490,754,881,648,451,622,485,750,557,760,352,961,438,753,517,1413,495
605,556,490,747,888,594,479,648,485,750,541,734,352,928,493,695,703,1416,519
639,556,490,747,888,594,473,654,485,750,541,689,352,927,338,713,671,1465,444
684,455,591,747,888,594,473,650,489,750,541,637,338,739,402,766,647,1651,275
761,455,552,786,888,594,473,650,489,750,541,611,333,490,471,839,640,1702,228
942,381,626,786,888,594,473,631,508,750,541,609,333,489,522,848,640,1720,227
771,396,816,786,888,594,473,629,510,750,541,542,333,485,547,795,629,1666,225
740,432,819,786,888,594,473,629,510,736,520,505,406,421,547,834,558,1716,247
806,458,819,776,898,592,475,507,632,736,444,506,409,416,552,828,403,1739,356
788,476,800,743,892,650,475,439,672,764,436,457,509,423,552,810,366,1857,502
845,476,800,704,896,685,475,384,720,771,383,569,615,422,561,842,366,1886,505
797,568,800,663,933,684,476,388,713,778,290,618,592,422,561,852,365,2073,505
671,694,631,832,888,661,540,340,765,775,169,668,624,485,563,852,363,2089,504
628,740,608,855,694,711,683,326,780,775,99,674,624,485,573,854,381,2072,527
629,740,608,810,655,757,721,258,837,786,98,674,680,565,573,843,381,2111,527
639,739,389,935,750,702,776,257,838,786,98,674,690,580,573,811,418,2138,520
642,646,482,935,750,702,776,250,743,888,85,670,690,580,647,789,418,2154,515
802,648,482,935,750,543,935,247,592,1042,84,634,690,628,665,715,496,2127,515
955,650,482,935,366,879,983,247,571,1063,84,634,680,636,680,651,555,2080,515
955,650,482,830,471,879,983,247,551,1083,84,640,680,695,675,742,561,2049,480
955,650,482,811,490,874,945,290,548,1086,84,642,826,697,632,733,563,2049,480
955,650,482,793,508,874,743,492,548,1077,88,648,832,758,572,594,563,2034,479
955,556,576,790,511,869,662,578,545,1080,88,657,856,782,539,607,563,1984,465
959,556,573,793,498,882,662,578,477,1148,88,720,855,776,486,619,565,1742,535
1143,558,573,735,508,889,703,578,466,1139,81,729,873,885,482,629,592,1731,494
1155,600,573,538,705,889,703,578,466,951,263,737,873,851,520,592,592,1697,512
1187,605,573,516,727,889,703,578,462,848,365,737,893,927,518,592,624,1406,551
1189,605,556,533,727,889,703,505,534,837,356,737,937,929,542,616,673,1228,611
