Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
674,186,297,378,476,1314,821,394,988,1719,536,716,1164,711,658,1278,1341
674,186,297,378,428,1335,722,519,989,1658,597,716,1100,757,658,1250,1341
711,186,297,370,428,1203,754,627,951,1696,597,716,1129,702,746,1235,1213
698,179,317,370,309,1293,702,708,770,1877,597,462,1129,702,746,1220,1191
690,187,297,388,311,1287,612,804,718,1921,605,462,1151,543,824,1237,1288
726,187,292,375,309,1306,559,858,717,1922,605,319,1151,879,841,1290,1338
741,187,292,312,347,1325,410,1013,717,1922,522,340,1151,879,836,1175,941
760,218,287,297,316,1365,388,1046,717,1882,433,378,1151,874,810,1213,941
754,255,295,296,321,1364,306,1134,689,1565,777,344,1151,874,805,1267,1017
864,364,295,215,351,1415,302,1138,689,1565,777,315,1158,869,846,1230,1114
811,425,283,219,359,1384,332,1108,720,1453,885,319,1160,882,848,1122,929
1097,425,283,219,359,1369,347,1034,722,1379,1024,299,1160,889,848,1173,898
1101,433,283,219,339,1359,377,1034,634,1376,1110,304,1160,889,876,1266,879
1102,433,283,219,339,1255,480,1035,634,1261,1225,304,1160,889,876,1383,866
1104,428,288,211,337,1248,495,944,727,1249,1237,238,1160,889,869,1425,842
1104,402,314,211,337,1166,577,909,762,1249,1237,238,1088,905,1109,1448,933
1105,402,314,211,337,1026,717,909,762,1249,1237,231,958,893,1100,1409,803
1105,402,314,211,337,919,809,924,762,1249,1199,267,953,892,1063,1376,782
1164,402,314,181,367,844,883,888,799,1247,1196,272,931,881,1044,1399,782
1164,364,352,181,342,868,884,888,730,1206,1302,276,852,888,977,1401,681
1164,356,360,102,391,898,882,890,526,1386,1326,276,724,888,906,1398,656
1055,435,390,94,399,896,883,891,525,1387,1326,276,716,888,906,1374,642
1055,435,360,124,388,900,887,893,512,1212,1474,317,716,888,1077,1320,591
1055,435,330,154,358,928,889,893,511,858,1829,317,716,888,1153,1495,591
1002,488,287,197,358,928,852,930,507,839,1722,447,716,888,1138,1529,591
1002,488,225,259,358,928,851,915,523,763,1777,468,716,888,1138,1589,608
962,528,154,330,358,878,901,848,531,812,1787,468,716,898,916,1618,624
860,630,154,330,355,770,1010,850,518,825,1784,471,462,892,870,1618,625
857,633,144,297,378,708,1092,849,385,959,1784,471,462,896,895,1713,629
859,648,144,297,378,705,1091,832,406,959,1761,494,319,933,895,1689,629
854,611,186,297,378,705,1086,820,423,959,1761,494,340,888,900,1656,629
812,674,186,297,378,476,1314,821,394,988,1719,536,378,694,967,1583,629
833,674,186,297,378,428,1335,722,519,989,1658,597,344,655,971,1591,629
811,711,186,297,370,428,1203,754,627,951,1696,597,315,750,883,1593,629
811,698,179,317,370,309,1293,702,708,770,1877,597,319,750,883,1588,629
937,690,187,297,388,311,1287,612,804,718,1921,605,299,750,805,1560,532
1032,726,187,292,375,309,1306,559,858,717,1922,605,304,366,808,1472,482
1032,741,187,292,312,347,1325,410,1013,717,1922,522,304,471,765,1428,482
989,760,218,287,297,316,1365,388,1046,717,1882,433,238,490,766,1304,482
946,754,255,295,296,321,1364,306,1134,689,1565,777,238,508,832,1307,367
729,864,364,295,215,351,1415,302,1138,689,1565,777,231,511,820,1382,219
735,811,425,283,219,359,1384,332,1108,720,1453,885,267,498,821,1417,219
451,1097,425,283,219,359,1369,347,1034,722,1379,1024,272,508,821,1369,223
458,1101,433,283,219,339,1359,377,1034,634,1376,1110,276,705,793,1313,223
457,1102,433,283,219,339,1255,480,1035,634,1261,1225,276,727,793,1197,223
467,1104,428,288,211,337,1248,495,944,727,1249,1237,276,727,793,1155,223
552,1104,402,314,211,337,1166,577,909,762,1249,1237,317,711,622,1084,82
590,1105,402,314,211,337,1026,717,909,762,1249,1237,317,749,801,962,88
590,1105,402,314,211,337,919,809,924,762,1249,1199,447,749,854,992,124
531,1164,402,314,181,367,844,883,888,799,1247,1196,468,754,854,995,124
536,1164,364,352,181,342,868,884,888,730,1206,1302,468,747,854,987,122
536,1164,356,360,102,391,898,882,890,526,1386,1326,471,747,854,984,122
536,1055,435,390,94,399,896,883,891,525,1387,1326,471,747,869,936,134
542,1055,435,360,124,388,900,887,893,512,1212,1474,494,786,704,834,188
598,1055,435,330,154,358,928,889,893,511,858,1829,494,786,690,659,222
729,1002,488,287,197,358,928,852,930,507,839,1722,536,786,904,625,501
829,1002,488,225,259,358,928,851,915,523,763,1777,597,786,904,565,482
832,962,528,154,330,358,878,901,848,531,812,1787,597,776,904,840,465
971,860,630,154,330,355,770,1010,850,518,825,1784,597,743,864,881,465
1021,857,633,144,297,378,708,1092,849,385,959,1784,605,704,879,810,461
1004,859,648,144,297,378,705,1091,832,406,959,1761,605,663,879,899,475
1004,854,611,186,297,378,705,1086,820,423,959,1761,522,832,874,907,531
997,812,674,186,297,378,476,1314,821,394,988,1719,433,855,828,906,612
977,833,674,186,297,378,428,1335,722,519,989,1658,777,810,877,903,617
980,811,711,186,297,370,428,1203,754,627,951,1696,777,935,880,901,713
980,811,698,179,317,370,309,1293,702,708,770,1877,885,935,880,901,831
854,937,690,187,297,388,311,1287,612,804,718,1921,1024,935,888,952,832
725,1032,726,187,292,375,309,1306,559,858,717,1922,1110,935,869,1009,834
710,1032,741,187,292,312,347,1325,410,1013,717,1922,1225,830,865,1035,1012
705,989,760,218,287,297,316,1365,388,1046,717,1882,1237,811,864,1035,1021
700,946,754,255,295,296,321,1364,306,1134,689,1565,1237,793,839,1028,1044
728,729,864,364,295,215,351,1415,302,1138,689,1565,1237,790,812,963,1062
714,735,811,425,283,219,359,1384,332,1108,720,1453,1199,793,809,974,1132
712,451,1097,425,283,219,359,1369,347,1034,722,1379,1196,735,922,1304,1113
718,458,1101,433,283,219,339,1359,377,1034,634,1376,1302,538,922,1268,1113
753,457,1102,433,283,219,339,1255,480,1035,634,1261,1326,516,941,1267,1363
805,467,1104,428,288,211,337,1248,495,944,727,1249,1326,533,943,1267,1469
861,552,1104,402,314,211,337,1166,577,909,762,1249,1474,533,871,1267,1553
822,590,1105,402,314,211,337,1026,717,909,762,1249,1829,495,692,1267,1539
822,590,1105,402,314,211,337,919,809,924,762,1249,1722,495,639,1223,1666
822,531,1164,402,314,181,367,844,883,888,799,1247,1777,490,639,1179,1748
817,536,1164,364,352,181,342,868,884,888,730,1206,1787,490,639,1179,1748
817,536,1164,356,360,102,391,898,882,890,526,1386,1784,490,639,1179,1748
817,536,1055,435,390,94,399,896,883,891,525,1387,1784,591,627,1179,1736
811,542,1055,435,360,124,388,900,887,893,512,1212,1761,552,685,1087,1682
770,598,1055,435,330,154,358,928,889,893,511,858,1761,626,687,1196,1670
639,729,1002,488,287,197,358,928,852,930,507,839,1719,816,473,1202,1391
540,829,1002,488,225,259,358,928,851,915,523,763,1658,819,683,1207,1391
579,832,962,528,154,330,358,878,901,848,531,812,1696,819,741,912,1391
