Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
987,267,1683,715,1090,828,948,1255,840,365,690,959,354
1003,256,1687,713,912,799,1015,1248,833,356,694,1014,380
895,328,1719,709,920,678,1006,1166,815,354,748,1015,387
960,328,1538,890,920,661,985,1026,645,381,803,1015,387
935,358,1292,1136,920,661,967,919,634,750,803,1015,387
861,441,1286,1144,920,534,964,844,602,750,815,1015,387
910,440,1218,1214,889,471,973,868,549,750,815,1015,391
943,443,1080,1352,882,248,973,898,549,750,793,1015,384
772,614,951,1470,891,218,968,896,519,750,792,1036,357
760,626,914,1507,891,313,925,900,535,750,790,1036,346
760,612,928,1507,891,338,941,928,468,750,722,1039,345
759,613,928,1507,891,346,904,928,417,750,746,914,311
792,544,997,1507,891,377,903,928,351,736,780,836,247
