Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3
302,594,429,517,274,810,436,282,653
302,529,479,532,228,842,435,282,653
302,484,518,538,218,852,435,282,585
342,369,593,578,218,852,435,282,646
383,236,726,578,216,854,435,282,706
383,217,745,578,216,843,443,282,708
406,216,746,578,216,811,472,282,530
470,216,746,522,272,789,515,282,433
476,216,666,515,356,715,446,282,330
476,187,605,513,440,651,412,283,271
460,190,609,506,344,742,514,284,267
463,129,526,650,344,733,510,284,267
455,106,558,650,344,594,510,284,267
564,106,558,635,346,607,510,202,267
568,162,555,608,365,619,510,287,295
545,184,555,562,402,629,542,299,328
551,189,555,545,419,592,563,326,393
500,227,568,545,419,592,569,370,405
475,252,568,545,395,616,569,518,430
475,252,567,530,411,499,571,525,465
475,252,567,528,411,481,571,432,466
545,252,565,530,411,440,523,403,498
568,252,548,525,433,438,538,402,750
559,263,553,500,441,457,503,402,809
565,265,543,516,428,452,502,401,818
607,318,544,513,433,399,694,401,818
590,340,550,513,433,326,892,405,818
584,342,554,461,485,317,877,413,818
584,336,560,461,485,317,877,413,818
584,336,560,460,486,275,984,410,820
584,323,573,429,517,275,984,452,820
677,302,594,429,517,274,992,464,833
766,302,529,479,532,228,992,500,869
766,302,484,518,538,218,992,500,841
726,342,369,593,578,218,992,506,780
685,383,236,726,578,216,992,574,720
685,383,217,745,578,216,984,821,827
662,406,216,746,578,216,955,1091,771
723,470,216,746,522,272,873,1091,711
721,476,216,666,515,356,870,1121,711
722,476,187,605,513,440,870,1158,727
737,460,190,609,506,344,721,1157,739
734,463,129,526,650,344,721,1247,745
733,455,106,558,650,344,721,1247,756
624,564,106,558,635,346,721,1244,767
563,568,162,555,608,365,721,1123,739
563,545,184,555,562,402,689,1111,711
796,551,189,555,545,419,668,1179,646
796,500,227,568,545,419,675,1135,634
796,475,252,568,545,395,675,956,609
796,475,252,567,530,411,673,949,574
796,475,252,567,528,411,707,984,573
772,545,252,565,530,411,669,1005,559
749,568,252,548,525,433,710,1022,382
740,559,263,553,500,441,709,1046,334
758,565,265,543,516,428,640,1046,461
660,607,318,544,513,433,433,1046,461
649,590,340,550,513,433,224,1131,465
649,584,342,554,461,485,222,1123,488
649,584,336,560,461,485,295,1161,504
649,584,336,560,460,486,208,1161,517
649,584,323,573,429,517,299,1120,523
556,677,302,594,429,517,291,1108,510
468,766,302,529,479,532,291,1240,474
468,766,302,484,518,538,291,1240,476
468,726,342,369,593,578,291,1234,476
468,685,383,236,726,578,291,1230,476
468,685,383,217,745,578,305,983,367
468,662,406,216,746,578,326,713,367
343,723,470,216,746,522,326,713,367
339,721,476,216,666,515,327,683,367
338,722,476,187,605,513,423,645,351
323,737,460,190,609,506,423,645,339
323,734,463,129,526,650,444,555,333
325,733,455,106,558,650,444,555,322
326,624,564,106,558,635,444,555,311
326,563,568,162,555,608,444,555,311
376,563,545,184,555,562,444,555,330
334,796,551,189,555,545,444,458,330
392,796,500,227,568,545,431,484,330
456,796,475,252,568,545,484,523,340
505,796,475,252,567,530,587,549,408
505,796,475,252,567,528,568,537,492
493,772,545,252,565,530,606,611,474
507,749,568,252,548,525,548,594,415
759,740,559,263,553,500,548,570,406
772,758,565,265,543,516,623,570,270
848,660,607,318,544,513,671,570,270
848,649,590,340,550,513,695,481,274
848,649,584,342,554,461,705,481,465
848,649,584,336,560,461,634,443,449
848,649,584,336,560,460,614,443,436
848,649,584,323,573,429,523,442,524
848,556,677,302,594,429,523,442,538
847,468,766,302,529,479,523,274,541
847,468,766,302,484,518,523,281,539
847,468,726,342,369,593,525,281,561
957,468,685,383,236,726,661,217,561
957,468,685,383,217,745,715,217,561
1024,468,662,406,216,746,724,232,561
1024,343,723,470,216,746,776,392,561
1024,339,721,476,216,666,775,392,561
