Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
952,1070,389,467,320,259,124,1992,681
1144,1056,411,462,320,380,297,1991,626
1147,1020,433,456,313,538,304,2022,586
1147,898,443,437,308,627,308,2019,531
1147,881,511,434,281,636,308,2226,531
1157,868,582,439,208,636,353,2271,531
1154,871,584,426,204,643,378,2320,531
1141,851,700,457,114,790,534,2221,531
1128,863,710,511,18,709,569,2298,507
1123,868,710,581,11,717,723,2325,501
1051,954,696,640,20,731,723,2312,501
980,1036,688,720,44,692,723,1778,528
924,1124,686,733,44,703,724,1715,513
859,1188,726,743,40,847,719,1732,532
817,1172,754,696,38,1129,719,1464,482
744,1200,754,611,38,1244,733,1356,423
707,1205,754,565,38,1244,733,1320,320
729,1197,844,494,59,1244,735,1080,351
769,1182,807,546,60,1245,751,874,350
769,1182,794,604,61,1245,751,935,390
820,1181,934,683,80,1299,751,978,441
897,1051,937,744,281,1321,751,963,434
874,1036,921,761,322,1334,691,970,362
823,1092,921,761,364,1334,690,994,266
753,999,920,745,496,1328,697,981,253
727,839,938,744,625,1268,697,1003,283
670,907,916,707,625,1268,697,998,266
668,956,890,694,620,1268,697,998,266
708,985,797,692,625,1268,692,979,263
758,987,793,691,626,1268,692,974,269
780,952,706,691,628,1250,666,934,298
851,952,728,690,629,1253,663,878,298
717,1144,706,690,631,1133,489,888,360
723,1147,684,690,631,975,482,884,366
794,1147,675,690,631,886,478,1047,383
819,1147,610,710,631,882,478,952,426
815,1157,539,710,631,925,433,1012,526
923,1154,537,708,632,926,423,969,526
1135,1141,420,705,635,753,339,967,582
1167,1128,409,692,635,748,345,890,594
1219,1123,410,648,655,759,205,840,599
1280,1051,485,589,646,745,205,823,620
1305,980,563,525,622,757,205,854,638
1272,924,572,539,627,744,239,806,626
1285,859,555,543,629,596,240,834,601
1404,817,527,636,629,347,240,834,614
1400,744,655,636,629,232,224,859,615
1400,707,719,636,629,229,236,859,613
1378,729,645,636,608,229,234,918,644
1338,769,598,584,607,228,218,910,743
1355,769,597,533,650,228,218,835,734
1322,820,493,473,895,177,218,792,683
1341,897,503,413,809,158,229,792,763
1375,874,525,396,800,155,229,734,785
1426,823,525,402,892,174,229,711,787
1424,753,525,462,856,174,222,711,788
1374,727,507,433,729,174,222,689,786
1441,670,506,419,782,174,222,689,921
1452,668,504,381,813,174,222,731,931
1384,708,565,395,813,174,228,731,996
1331,758,595,511,815,174,240,731,992
1309,780,651,555,813,174,240,731,983
1336,851,673,774,815,159,240,731,983
1330,717,710,787,926,158,240,724,921
1334,723,780,787,927,158,240,700,914
