Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2
1143,558,573,735,508,889,703,578,466,1139,81,729,873
1155,600,573,538,705,889,703,578,466,951,263,737,873
1187,605,573,516,727,889,703,578,462,848,365,737,893
1189,605,556,533,727,889,703,505,534,837,356,737,937
1349,605,556,533,711,905,703,492,547,837,354,573,946
1453,605,556,495,749,893,709,448,571,835,381,570,946
1547,605,556,495,749,892,639,471,600,485,750,550,716
1547,605,556,490,754,881,648,451,622,485,750,527,707
1558,605,556,490,747,888,594,479,648,485,750,553,826
1538,639,556,490,747,888,594,473,654,485,750,508,1158
1549,684,455,591,747,888,594,473,650,489,750,561,1221
1473,761,455,552,786,888,594,473,650,489,750,654,1252
1367,942,381,626,786,888,594,473,631,508,750,778,1270
1388,771,396,816,786,888,594,473,629,510,750,848,1373
1416,740,432,819,786,888,594,473,629,510,736,842,1403
1408,806,458,819,776,898,592,475,507,632,736,841,1452
1425,788,476,800,743,892,650,475,439,672,764,854,1500
1467,845,476,800,704,896,685,475,384,720,771,743,1412
1437,797,568,800,663,933,684,476,388,713,778,694,1394
1438,671,694,631,832,888,661,540,340,765,775,644,1362
1438,628,740,608,855,694,711,683,326,780,775,636,1362
1437,629,740,608,810,655,757,721,258,837,786,641,1306
1427,639,739,389,935,750,702,776,257,838,786,641,1296
1424,642,646,482,935,750,702,776,250,743,888,637,1296
1262,802,648,482,935,750,543,935,247,592,1042,637,1296
1107,955,650,482,935,366,879,983,247,571,1063,643,1296
1112,955,650,482,830,471,879,983,247,551,1083,642,1296
1119,955,650,482,811,490,874,945,290,548,1086,661,1150
1143,955,650,482,793,508,874,743,492,548,1077,657,1144
1316,955,556,576,790,511,869,662,578,545,1080,630,1106
1323,959,556,573,793,498,882,662,578,477,1148,567,1106
1214,1143,558,573,735,508,889,703,578,466,1139,557,1088
1217,1155,600,573,538,705,889,703,578,466,951,541,1088
1180,1187,605,573,516,727,889,703,578,462,848,541,1090
