Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
106,558,650,344,594,447,317,1130,1280,485
106,558,635,346,607,427,402,1080,1305,563
162,555,608,365,619,427,438,986,1272,572
184,555,562,402,629,425,438,960,1285,555
189,555,545,419,592,394,440,857,1404,527
227,568,545,419,592,393,440,718,1400,655
252,568,545,395,616,385,471,694,1400,719
252,567,530,411,499,329,469,693,1378,645
252,567,528,411,481,329,422,693,1338,598
252,565,530,411,440,415,409,693,1355,597
252,548,525,433,438,417,409,693,1322,493
263,553,500,441,457,453,409,693,1341,503
265,543,516,428,452,517,410,693,1375,525
318,544,513,433,399,526,282,668,1426,525
340,550,513,433,326,512,282,654,1424,525
342,554,461,485,317,529,282,654,1374,507
336,560,461,485,317,527,282,654,1441,506
336,560,460,486,275,523,285,654,1452,504
323,573,429,517,275,523,282,654,1384,565
302,594,429,517,274,436,282,653,1331,595
302,529,479,532,228,435,282,653,1309,651
302,484,518,538,218,435,282,585,1336,673
342,369,593,578,218,435,282,646,1330,710
383,236,726,578,216,435,282,706,1334,780
383,217,745,578,216,443,282,708,1263,781
406,216,746,578,216,472,282,530,1263,778
470,216,746,522,272,515,282,433,1267,781
476,216,666,515,356,446,282,330,1161,781
476,187,605,513,440,412,283,271,952,782
460,190,609,506,344,514,284,267,920,782
463,129,526,650,344,510,284,267,868,860
455,106,558,650,344,510,284,267,1064,785
564,106,558,635,346,510,202,267,1087,707
568,162,555,608,365,510,287,295,1117,698
545,184,555,562,402,542,299,328,1123,675
551,189,555,545,419,563,326,393,1057,675
500,227,568,545,419,569,370,405,1209,561
475,252,568,545,395,569,518,430,1209,497
475,252,567,530,411,571,525,465,1209,472
475,252,567,528,411,571,432,466,1288,468
545,252,565,530,411,523,403,498,1271,518
568,252,548,525,433,538,402,750,1253,482
559,263,553,500,441,503,402,809,1157,506
565,265,543,516,428,502,401,818,1123,542
607,318,544,513,433,694,401,818,1058,546
590,340,550,513,433,892,405,818,1021,551
584,342,554,461,485,877,413,818,1013,551
584,336,560,461,485,877,413,818,929,551
584,336,560,460,486,984,410,820,871,554
584,323,573,429,517,984,452,820,870,579
677,302,594,429,517,992,464,833,870,550
766,302,529,479,532,992,500,869,881,494
766,302,484,518,538,992,500,841,787,450
726,342,369,593,578,992,506,780,779,438
685,383,236,726,578,992,574,720,769,389
685,383,217,745,578,984,821,827,785,409
662,406,216,746,578,955,1091,771,760,473
723,470,216,746,522,873,1091,711,750,470
721,476,216,666,515,870,1121,711,748,591
722,476,187,605,513,870,1158,727,745,594
737,460,190,609,506,721,1157,739,745,594
734,463,129,526,650,721,1247,745,745,523
733,455,106,558,650,721,1247,756,474,557
624,564,106,558,635,721,1244,767,415,590
563,568,162,555,608,721,1123,739,385,591
563,545,184,555,562,689,1111,711,366,607
796,551,189,555,545,668,1179,646,312,624
796,500,227,568,545,675,1135,634,157,756
796,475,252,568,545,675,956,609,157,756
796,475,252,567,530,673,949,574,159,756
796,475,252,567,528,707,984,573,90,756
772,545,252,565,530,669,1005,559,117,769
749,568,252,548,525,710,1022,382,117,809
740,559,263,553,500,709,1046,334,117,997
758,565,265,543,516,640,1046,461,117,940
660,607,318,544,513,433,1046,461,208,936
649,590,340,550,513,224,1131,465,222,931
649,584,342,554,461,222,1123,488,222,938
649,584,336,560,461,295,1161,504,356,947
649,584,336,560,460,208,1161,517,364,944
649,584,323,573,429,299,1120,523,364,858
556,677,302,594,429,291,1108,510,364,857
468,766,302,529,479,291,1240,474,353,857
468,766,302,484,518,291,1240,476,666,857
468,726,342,369,593,291,1234,476,678,832
468,685,383,236,726,291,1230,476,748,811
468,685,383,217,745,305,983,367,733,789
468,662,406,216,746,326,713,367,733,725
343,723,470,216,746,326,713,367,733,725
339,721,476,216,666,327,683,367,733,607
338,722,476,187,605,423,645,351,733,603
323,737,460,190,609,423,645,339,733,609
323,734,463,129,526,444,555,333,733,610
325,733,455,106,558,444,555,322,733,618
326,624,564,106,558,444,555,311,757,585
326,563,568,162,555,444,555,311,791,584
376,563,545,184,555,444,555,330,791,568
334,796,551,189,555,444,458,330,791,551
392,796,500,227,568,431,484,330,793,405
456,796,475,252,568,484,523,340,793,486
505,796,475,252,567,587,549,408,791,717
505,796,475,252,567,568,537,492,781,717
493,772,545,252,565,606,611,474,754,896
507,749,568,252,548,548,594,415,772,883
759,740,559,263,553,548,570,406,929,667
772,758,565,265,543,623,570,270,937,887
848,660,607,318,544,671,570,270,846,920
848,649,590,340,550,695,481,274,832,1176
848,649,584,342,554,705,481,465,854,1208
848,649,584,336,560,634,443,449,721,1211
848,649,584,336,560,614,443,436,759,1219
848,649,584,323,573,523,442,524,1039,1328
848,556,677,302,594,523,442,538,1156,1364
847,468,766,302,529,523,274,541,1165,1402
847,468,766,302,484,523,281,539,848,1415
847,468,726,342,369,525,281,561,834,1415
957,468,685,383,236,661,217,561,820,1415
957,468,685,383,217,715,217,561,890,1415
1024,468,662,406,216,724,232,561,893,1415
1024,343,723,470,216,776,392,561,893,1415
1024,339,721,476,216,775,392,561,893,1412
1027,338,722,476,187,679,392,564,909,1562
1076,323,737,460,190,679,396,569,909,1588
1093,323,734,463,129,681,398,571,909,1596
1091,325,733,455,106,689,471,571,909,1758
1134,326,624,564,106,689,493,571,885,1816
1273,326,563,568,162,689,493,571,851,1837
1657,376,563,545,184,689,493,547,851,1971
1456,334,796,551,189,689,532,557,851,1971
1398,392,796,500,227,689,506,598,849,1971
1334,456,796,475,252,636,467,605,849,1934
1285,505,796,475,252,533,441,600,853,1703
1286,505,796,475,252,525,417,555,902,1703
1252,493,772,545,252,506,322,593,930,1461
1297,507,749,568,252,506,322,577,947,1434
1045,759,740,559,263,506,322,594,856,1425
1055,772,758,565,265,454,322,594,1001,1209
1007,848,660,607,318,406,322,596,1002,1205
1007,848,649,590,340,382,322,622,1003,949
1007,848,649,584,342,499,322,466,993,910
1019,848,649,584,336,497,322,469,992,898
1032,848,649,584,336,567,322,467,946,890
1135,848,649,584,323,654,322,373,666,781
1249,848,556,677,302,682,322,359,549,745
1249,847,468,766,302,682,322,356,540,707
1249,847,468,766,302,863,315,356,589,694
1249,847,468,726,342,900,494,334,551,694
1139,957,468,685,383,995,623,334,525,807
1160,957,468,685,383,927,623,363,458,967
1093,1024,468,662,406,1010,608,371,455,1123
1093,1024,343,723,470,982,448,424,455,1123
1093,1024,339,721,476,982,448,427,455,1123
1092,1027,338,722,476,983,448,464,439,973
1044,1076,323,737,460,1022,444,542,439,941
1087,1093,323,734,463,1097,442,544,439,924
1087,1091,325,733,455,1112,369,663,439,820
1043,1134,326,624,564,1124,347,956,439,774
904,1273,326,563,568,1221,356,967,439,754
470,1657,376,563,545,1249,506,1206,439,620
469,1456,334,796,551,1278,473,1196,454,620
469,1398,392,796,500,1278,473,1155,469,620
469,1334,456,796,475,1278,473,1138,469,678
469,1285,505,796,475,1278,473,1075,465,793
468,1286,505,796,475,1271,473,1055,527,794
468,1252,493,772,545,1252,473,1043,569,799
409,1297,507,749,568,1252,473,1043,535,799
409,1045,759,740,559,1252,482,1024,647,987
354,1055,772,758,565,1229,629,1024,519,982
326,1007,848,660,607,1229,629,1022,545,953
327,1007,848,649,590,1229,629,989,574,953
658,1007,848,649,584,1233,658,1126,568,953
759,1019,848,649,584,1239,658,1123,575,953
776,1032,848,649,584,1167,658,1123,577,963
673,1135,848,649,584,1081,658,1123,709,963
560,1249,848,556,677,1053,658,1123,711,963
610,1249,847,468,766,1056,658,1123,794,966
652,1249,847,468,766,875,658,1123,782,1150
652,1249,847,468,726,836,479,1123,778,1162
652,1139,957,468,685,641,350,1123,745,1050
631,1160,957,468,685,641,350,1094,1020,917
631,1093,1024,468,662,539,350,1086,1022,800
631,1093,1024,343,723,518,350,1033,1024,800
631,1093,1024,339,721,537,382,1144,1024,802
629,1092,1027,338,722,654,388,1112,1024,802
628,1044,1076,323,737,620,388,1029,1024,805
