Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1
1146,544,1336,446,445,1462,970,1238,252,272,341,1737
1162,545,1336,315,551,1281,1165,1182,318,271,343,1758
1162,545,1316,335,551,1247,1083,1258,358,270,344,1776
1289,545,1275,323,604,1246,1084,1214,402,253,357,1779
1352,545,1275,322,605,1246,1084,1193,423,208,357,1779
1460,668,1248,349,608,1178,1152,1099,517,208,283,1778
1491,670,1180,418,608,1178,1152,1004,612,208,187,1783
1493,670,931,667,426,1360,1152,926,690,208,178,1826
1533,658,882,728,394,1392,1152,770,846,205,181,1841
1533,608,896,763,395,1390,1154,701,915,200,186,1872
1452,690,896,763,357,1375,1206,700,917,194,192,1883
