Accum_y-0,T-1,Accum_y-1
756,561,316
756,497,316
756,472,250
756,468,285
769,518,396
809,482,443
997,506,487
940,542,488
936,546,517
931,551,540
938,551,540
947,551,491
944,554,485
858,579,492
857,550,822
857,494,822
857,450,822
832,438,822
811,389,814
789,409,773
725,473,770
725,470,779
607,591,813
603,594,812
609,594,812
610,523,812
618,557,812
585,590,930
584,591,1024
568,607,991
551,624,1016
405,756,1053
486,756,1053
717,756,1053
717,756,1018
896,769,907
883,809,858
667,997,1022
887,940,1062
920,936,1003
1176,931,980
1208,938,980
1211,947,980
1219,944,1190
1328,858,1177
1364,857,809
1402,857,824
1415,857,824
1415,832,824
1415,811,824
1415,789,824
1415,725,824
1415,725,826
1412,607,792
1562,603,792
1588,609,792
1596,610,792
1758,618,792
1816,585,674
1837,584,580
1971,568,579
1971,551,554
1971,405,494
1934,486,494
1703,717,494
1703,717,510
1461,896,523
1434,883,561
1425,667,354
1209,887,323
1205,920,332
949,1176,392
910,1208,400
898,1211,400
890,1219,190
781,1328,190
745,1364,265
707,1402,254
694,1415,326
694,1415,326
807,1415,384
967,1415,384
1123,1415,384
1123,1415,373
1123,1412,373
973,1562,373
941,1588,373
924,1596,406
820,1758,730
774,1816,731
754,1837,731
620,1971,731
620,1971,731
620,1971,731
678,1934,731
793,1703,731
794,1703,715
799,1461,702
799,1434,664
987,1425,660
982,1209,645
953,1205,635
953,949,575
953,910,567
953,898,567
963,890,567
963,781,567
963,745,492
966,707,567
1150,694,495
1162,694,546
1050,807,488
917,967,489
800,1123,532
800,1123,579
802,1123,621
802,973,647
805,941,648
805,924,630
723,820,368
713,774,380
910,754,411
912,620,554
1092,620,688
1102,620,705
1062,678,813
947,793,838
946,794,898
993,799,899
993,799,899
805,987,899
979,982,933
1110,953,946
1216,953,948
1221,953,952
1221,953,952
1211,963,952
1211,963,952
1259,963,952
1263,966,873
1079,1150,873
1160,1162,822
1174,1050,822
1147,917,834
1108,800,791
1108,800,829
1137,802,796
1137,802,936
1147,805,944
1147,805,929
1133,723,867
1138,713,854
941,910,823
1098,912,748
952,1092,618
1081,1102,613
1073,1062,720
1128,947,696
1134,946,636
1205,993,663
1292,993,667
1391,805,667
1271,979,636
1161,1110,657
1055,1216,677
1050,1221,691
1195,1221,691
1247,1211,691
1252,1211,693
1231,1259,693
1226,1263,698
1235,1079,700
1142,1160,700
1159,1174,705
1172,1147,696
1242,1108,696
1354,1108,614
1467,1137,614
1467,1137,470
1550,1147,469
1616,1147,469
1650,1133,481
1643,1138,481
1642,941,481
1483,1098,413
1503,952,415
1409,1081,414
1355,1073,221
1303,1128,226
1297,1134,226
1228,1205,200
1244,1292,246
1164,1391,259
1110,1271,312
1242,1161,291
1276,1055,420
1290,1050,695
1181,1195,816
1251,1247,847
1263,1252,850
1249,1231,850
1247,1226,864
1271,1235,980
1272,1142,1141
1240,1159,1136
1227,1172,1132
1157,1242,1132
1046,1354,1139
903,1467,1158
962,1467,1317
918,1550,1478
884,1616,1559
854,1650,1617
869,1643,1620
869,1642,1625
870,1483,1632
946,1503,1633
939,1409,1622
948,1355,1600
1147,1303,1671
1391,1297,1671
1343,1228,1691
1240,1244,1641
1221,1164,1668
1222,1110,1615
1104,1242,1602
1070,1276,1451
1056,1290,1158
1020,1181,1037
898,1251,1006
881,1263,1001
868,1249,1001
871,1247,982
851,1271,865
863,1272,705
868,1240,705
954,1227,719
1036,1157,727
1124,1046,719
1188,903,691
1172,962,510
1200,918,341
1205,884,260
1197,854,199
1182,869,284
1182,869,293
1181,870,286
1051,946,279
1036,939,295
1092,948,295
999,1147,219
839,1391,219
907,1343,220
956,1240,248
985,1221,301
987,1222,302
952,1104,389
952,1070,389
1144,1056,411
1147,1020,433
1147,898,443
1147,881,511
1157,868,582
1154,871,584
1141,851,700
1128,863,710
1123,868,710
1051,954,696
980,1036,688
924,1124,686
859,1188,726
817,1172,754
744,1200,754
707,1205,754
729,1197,844
769,1182,807
769,1182,794
820,1181,934
897,1051,937
874,1036,921
823,1092,921
753,999,920
727,839,938
670,907,916
668,956,890
708,985,797
758,987,793
780,952,706
851,952,728
717,1144,706
723,1147,684
794,1147,675
819,1147,610
815,1157,539
923,1154,537
1135,1141,420
1167,1128,409
1219,1123,410
1280,1051,485
1305,980,563
1272,924,572
1285,859,555
1404,817,527
1400,744,655
1400,707,719
1378,729,645
1338,769,598
1355,769,597
1322,820,493
1341,897,503
1375,874,525
1426,823,525
1424,753,525
1374,727,507
1441,670,506
1452,668,504
1384,708,565
1331,758,595
1309,780,651
1336,851,673
1330,717,710
1334,723,780
1263,794,781
1263,819,778
1267,815,781
1161,923,781
952,1135,782
920,1167,782
868,1219,860
1064,1280,785
1087,1305,707
1117,1272,698
1123,1285,675
1057,1404,675
1209,1400,561
1209,1400,497
1209,1378,472
1288,1338,468
1271,1355,518
1253,1322,482
1157,1341,506
1123,1375,542
1058,1426,546
1021,1424,551
1013,1374,551
929,1441,551
871,1452,554
870,1384,579
870,1331,550
881,1309,494
787,1336,450
779,1330,438
769,1334,389
785,1263,409
760,1263,473
750,1267,470
748,1161,591
745,952,594
745,920,594
745,868,523
474,1064,557
415,1087,590
385,1117,591
366,1123,607
312,1057,624
157,1209,756
157,1209,756
159,1209,756
90,1288,756
117,1271,769
117,1253,809
117,1157,997
117,1123,940
208,1058,936
222,1021,931
222,1013,938
356,929,947
364,871,944
364,870,858
364,870,857
353,881,857
666,787,857
678,779,832
748,769,811
733,785,789
733,760,725
733,750,725
733,748,607
733,745,603
733,745,609
733,745,610
733,474,618
757,415,585
791,385,584
791,366,568
791,312,551
793,157,405
793,157,486
791,159,717
781,90,717
754,117,896
772,117,883
929,117,667
937,117,887
846,208,920
832,222,1176
854,222,1208
721,356,1211
759,364,1219
1039,364,1328
1156,364,1364
1165,353,1402
848,666,1415
834,678,1415
820,748,1415
890,733,1415
893,733,1415
893,733,1415
893,733,1412
909,733,1562
909,733,1588
909,733,1596
909,733,1758
885,757,1816
851,791,1837
851,791,1971
851,791,1971
849,793,1971
849,793,1934
853,791,1703
902,781,1703
930,754,1461
947,772,1434
856,929,1425
1001,937,1209
1002,846,1205
1003,832,949
993,854,910
992,721,898
946,759,890
666,1039,781
549,1156,745
540,1165,707
589,848,694
551,834,694
525,820,807
458,890,967
455,893,1123
455,893,1123
455,893,1123
439,909,973
439,909,941
439,909,924
439,909,820
439,885,774
439,851,754
439,851,620
454,851,620
469,849,620
469,849,678
465,853,793
527,902,794
569,930,799
535,947,799
647,856,987
519,1001,982
545,1002,953
574,1003,953
568,993,953
575,992,953
577,946,963
709,666,963
711,549,963
794,540,966
782,589,1150
778,551,1162
745,525,1050
1020,458,917
1022,455,800
1024,455,800
1024,455,802
1024,439,802
1024,439,805
1024,439,805
1123,439,723
1123,439,713
1123,439,910
1158,439,912
1143,454,1092
1203,469,1102
1372,469,1062
1419,465,947
1309,527,946
1241,569,993
1272,535,993
1114,647,805
1096,519,979
1069,545,1110
1039,574,1216
1034,568,1221
1027,575,1221
1025,577,1211
