Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3
482,830,471,1268,710,867
482,811,490,1268,729,878
482,793,508,1227,679,860
576,790,511,1209,668,842
573,793,498,1209,590,772
573,735,508,1096,256,771
573,538,705,1100,255,771
573,516,727,1081,312,527
556,533,727,1079,312,434
556,533,711,1079,312,358
556,495,749,1079,479,358
556,495,749,1079,489,184
556,490,754,1079,530,118
556,490,747,1155,530,174
556,490,747,1253,530,193
455,591,747,1302,544,381
455,552,786,1264,549,630
381,626,786,1190,440,609
396,816,786,1257,434,613
432,819,786,1091,429,677
458,819,776,1033,420,682
476,800,743,1065,420,682
476,800,704,1065,425,683
568,800,663,1065,476,683
694,631,832,1065,447,683
740,608,855,1052,446,683
740,608,810,649,446,683
739,389,935,420,446,683
646,482,935,428,446,683
648,482,935,491,446,680
650,482,935,491,456,680
650,482,830,491,379,655
650,482,811,491,360,715
650,482,793,491,360,747
556,576,790,510,374,752
556,573,793,510,375,784
558,573,735,511,375,934
600,573,538,515,375,995
605,573,516,515,318,990
605,556,533,515,318,977
605,556,533,679,318,969
605,556,495,682,151,976
605,556,495,702,380,977
605,556,490,760,352,961
605,556,490,734,352,928
639,556,490,689,352,927
684,455,591,637,338,739
761,455,552,611,333,490
942,381,626,609,333,489
771,396,816,542,333,485
740,432,819,505,406,421
806,458,819,506,409,416
788,476,800,457,509,423
845,476,800,569,615,422
797,568,800,618,592,422
671,694,631,668,624,485
628,740,608,674,624,485
629,740,608,674,680,565
639,739,389,674,690,580
642,646,482,670,690,580
802,648,482,634,690,628
955,650,482,634,680,636
955,650,482,640,680,695
955,650,482,642,826,697
955,650,482,648,832,758
955,556,576,657,856,782
959,556,573,720,855,776
1143,558,573,729,873,885
1155,600,573,737,873,851
1187,605,573,737,893,927
1189,605,556,737,937,929
1349,605,556,573,946,929
1453,605,556,570,946,947
1547,605,556,550,716,946
1547,605,556,527,707,947
1558,605,556,553,826,924
1538,639,556,508,1158,906
1549,684,455,561,1221,993
1473,761,455,654,1252,1105
1367,942,381,778,1270,1122
1388,771,396,848,1373,1128
1416,740,432,842,1403,1196
1408,806,458,841,1452,1279
1425,788,476,854,1500,1278
1467,845,476,743,1412,1278
1437,797,568,694,1394,1320
1438,671,694,644,1362,1292
1438,628,740,636,1362,1293
1437,629,740,641,1306,1213
1427,639,739,641,1296,1198
1424,642,646,637,1296,1242
1262,802,648,637,1296,1194
1107,955,650,643,1296,1186
1112,955,650,642,1296,1127
1119,955,650,661,1150,1045
1143,955,650,657,1144,947
1316,955,556,630,1106,918
1323,959,556,567,1106,892
1214,1143,558,557,1088,633
1217,1155,600,541,1088,606
1180,1187,605,541,1090,529
1209,1189,605,541,1047,527
1049,1349,605,541,1040,527
1079,1453,605,541,1108,502
1040,1547,605,541,1111,627
1127,1547,605,520,1108,705
1119,1558,605,444,989,803
1106,1538,639,436,657,832
1050,1549,684,383,610,757
1049,1473,761,290,580,714
974,1367,942,169,667,707
919,1388,771,99,588,777
886,1416,740,98,546,709
802,1408,806,98,497,704
798,1425,788,85,389,706
706,1467,845,84,367,735
692,1437,797,84,411,731
691,1438,671,84,430,698
709,1438,628,84,430,704
709,1437,629,88,434,712
709,1427,639,88,448,712
774,1424,642,88,534,668
845,1262,802,81,654,746
845,1107,955,263,683,904
840,1112,955,365,690,959
833,1119,955,356,694,1014
815,1143,955,354,748,1015
645,1316,955,381,803,1015
634,1323,959,750,803,1015
602,1214,1143,750,815,1015
549,1217,1155,750,815,1015
549,1180,1187,750,793,1015
519,1209,1189,750,792,1036
535,1049,1349,750,790,1036
468,1079,1453,750,722,1039
417,1040,1547,750,746,914
351,1127,1547,736,780,836
357,1119,1558,736,991,738
441,1106,1538,764,994,709
604,1050,1549,771,978,697
607,1049,1473,778,1049,628
644,974,1367,775,1086,622
644,919,1388,775,1304,591
641,886,1416,786,1243,601
641,802,1408,786,1240,707
628,798,1425,888,1200,706
621,706,1467,1042,1199,704
622,692,1437,1063,1145,801
622,691,1438,1083,1126,914
601,709,1438,1086,1126,930
620,709,1437,1077,1122,1066
627,709,1427,1080,1108,1066
562,774,1424,1148,1022,1066
517,845,1262,1139,902,988
556,845,1107,951,873,830
556,840,1112,848,866,775
556,833,1119,837,884,720
570,815,1143,837,830,732
574,645,1316,835,775,732
708,634,1323,485,775,777
708,602,1214,485,763,880
749,549,1217,485,776,999
778,549,1180,485,835,1016
804,519,1209,489,835,1042
982,535,1049,489,914,1206
935,468,1079,508,1079,1294
931,417,1040,510,1071,1328
910,351,1127,510,1087,1412
901,357,1119,632,920,1412
816,441,1106,672,917,1429
692,604,1050,720,917,1499
689,607,1049,713,846,1523
652,644,974,765,704,1519
652,644,919,780,463,1509
652,641,886,837,513,1499
652,641,802,838,715,1315
652,628,798,743,786,1308
652,621,706,592,812,1281
651,622,692,571,863,1146
651,622,691,551,892,1031
651,601,709,548,1008,1008
632,620,709,548,1018,870
625,627,709,545,1018,920
628,562,774,477,1022,955
782,517,845,466,1055,992
820,556,845,466,1231,992
824,556,840,462,1254,1207
824,556,833,534,1232,1211
804,570,815,547,1251,1219
797,574,645,571,1251,1224
790,708,634,600,1256,1179
807,708,602,622,1327,1076
784,749,549,648,1358,976
816,778,549,654,1299,972
821,804,519,650,1306,954
645,982,535,650,1233,831
628,935,468,631,1068,740
688,931,417,629,1040,706
697,910,351,629,989,621
736,901,357,507,945,621
739,816,441,439,977,604
700,692,604,384,1094,534
700,689,607,388,1112,510
725,652,644,340,1112,510
725,652,644,326,1158,475
725,652,641,258,1108,475
725,652,641,257,917,475
731,652,628,250,852,475
735,652,621,247,888,475
735,651,622,247,930,475
735,651,622,247,927,475
735,651,601,290,811,475
735,632,620,492,801,469
735,625,627,578,803,419
732,628,562,578,857,384
552,782,517,578,825,347
475,820,556,578,696,347
471,824,556,578,673,132
471,824,556,505,685,128
471,804,570,492,674,107
500,797,574,448,674,102
373,790,708,471,669,102
311,807,708,451,598,102
289,784,749,479,716,83
228,816,778,473,724,136
198,821,804,473,730,107
190,645,982,473,747,66
275,628,935,473,747,66
276,688,931,473,747,66
267,697,910,473,747,90
228,736,901,475,747,92
486,739,816,475,715,92
507,700,692,475,598,198
507,700,689,476,579,279
533,725,652,540,579,370
533,725,652,683,532,370
632,725,652,721,532,398
632,725,652,776,521,413
626,731,652,776,515,433
627,735,652,935,453,444
627,735,651,983,360,479
627,735,651,983,392,638
693,735,651,945,418,724
693,735,632,743,423,724
693,735,625,662,437,762
693,732,628,662,379,902
693,552,782,703,378,903
693,475,820,703,331,903
693,471,824,703,331,903
693,471,824,703,326,903
765,471,804,703,321,951
866,500,797,709,330,1112
871,373,790,639,367,1159
893,311,807,648,386,1177
972,289,784,594,291,1183
1100,228,816,594,354,1123
1106,198,821,594,341,1195
1096,190,645,594,318,1443
1008,275,628,594,330,1443
947,276,688,594,345,1443
947,267,697,594,345,1419
947,228,736,592,567,1417
940,486,739,650,653,1417
919,507,700,685,658,1311
1062,507,700,684,658,1261
1073,533,725,661,658,1204
1164,533,725,711,658,1278
1100,632,725,757,658,1250
1129,632,725,702,746,1235
1129,626,731,702,746,1220
1151,627,735,543,824,1237
1151,627,735,879,841,1290
1151,627,735,879,836,1175
1151,693,735,874,810,1213
1151,693,735,874,805,1267
1158,693,735,869,846,1230
1160,693,732,882,848,1122
1160,693,552,889,848,1173
1160,693,475,889,876,1266
1160,693,471,889,876,1383
1160,693,471,889,869,1425
1088,765,471,905,1109,1448
958,866,500,893,1100,1409
953,871,373,892,1063,1376
931,893,311,881,1044,1399
852,972,289,888,977,1401
724,1100,228,888,906,1398
716,1106,198,888,906,1374
716,1096,190,888,1077,1320
716,1008,275,888,1153,1495
716,947,276,888,1138,1529
716,947,267,888,1138,1589
716,947,228,898,916,1618
462,940,486,892,870,1618
462,919,507,896,895,1713
319,1062,507,933,895,1689
340,1073,533,888,900,1656
378,1164,533,694,967,1583
344,1100,632,655,971,1591
315,1129,632,750,883,1593
319,1129,626,750,883,1588
299,1151,627,750,805,1560
304,1151,627,366,808,1472
304,1151,627,471,765,1428
238,1151,693,490,766,1304
238,1151,693,508,832,1307
231,1158,693,511,820,1382
267,1160,693,498,821,1417
272,1160,693,508,821,1369
276,1160,693,705,793,1313
276,1160,693,727,793,1197
276,1160,693,727,793,1155
317,1088,765,711,622,1084
317,958,866,749,801,962
447,953,871,749,854,992
468,931,893,754,854,995
468,852,972,747,854,987
471,724,1100,747,854,984
471,716,1106,747,869,936
494,716,1096,786,704,834
494,716,1008,786,690,659
536,716,947,786,904,625
597,716,947,786,904,565
597,716,947,776,904,840
597,462,940,743,864,881
605,462,919,704,879,810
605,319,1062,663,879,899
522,340,1073,832,874,907
433,378,1164,855,828,906
777,344,1100,810,877,903
777,315,1129,935,880,901
885,319,1129,935,880,901
1024,299,1151,935,888,952
1110,304,1151,935,869,1009
1225,304,1151,830,865,1035
1237,238,1151,811,864,1035
1237,238,1151,793,839,1028
1237,231,1158,790,812,963
1199,267,1160,793,809,974
1196,272,1160,735,922,1304
1302,276,1160,538,922,1268
1326,276,1160,516,941,1267
1326,276,1160,533,943,1267
1474,317,1088,533,871,1267
1829,317,958,495,692,1267
1722,447,953,495,639,1223
1777,468,931,490,639,1179
1787,468,852,490,639,1179
1784,471,724,490,639,1179
1784,471,716,591,627,1179
1761,494,716,552,685,1087
1761,494,716,626,687,1196
1719,536,716,816,473,1202
1658,597,716,819,683,1207
1696,597,716,819,741,912
1877,597,462,800,758,871
1921,605,462,800,713,847
1922,605,319,800,713,751
1922,522,340,631,713,771
1882,433,378,608,707,772
1565,777,344,608,1057,767
1565,777,315,389,1283,767
1453,885,319,482,1283,767
1379,1024,299,482,1275,716
1376,1110,304,482,1274,659
1261,1225,304,482,1268,710
1249,1237,238,482,1268,729
1249,1237,238,482,1227,679
1249,1237,231,576,1209,668
1249,1199,267,573,1209,590
1247,1196,272,573,1096,256
1206,1302,276,573,1100,255
1386,1326,276,573,1081,312
1387,1326,276,556,1079,312
1212,1474,317,556,1079,312
858,1829,317,556,1079,479
839,1722,447,556,1079,489
763,1777,468,556,1079,530
812,1787,468,556,1155,530
825,1784,471,556,1253,530
959,1784,471,455,1302,544
959,1761,494,455,1264,549
959,1761,494,381,1190,440
988,1719,536,396,1257,434
989,1658,597,432,1091,429
951,1696,597,458,1033,420
770,1877,597,476,1065,420
718,1921,605,476,1065,425
717,1922,605,568,1065,476
717,1922,522,694,1065,447
717,1882,433,740,1052,446
689,1565,777,740,649,446
689,1565,777,739,420,446
720,1453,885,646,428,446
722,1379,1024,648,491,446
634,1376,1110,650,491,456
634,1261,1225,650,491,379
727,1249,1237,650,491,360
762,1249,1237,650,491,360
762,1249,1237,556,510,374
762,1249,1199,556,510,375
799,1247,1196,558,511,375
730,1206,1302,600,515,375
526,1386,1326,605,515,318
525,1387,1326,605,515,318
512,1212,1474,605,679,318
511,858,1829,605,682,151
507,839,1722,605,702,380
523,763,1777,605,760,352
531,812,1787,605,734,352
518,825,1784,639,689,352
385,959,1784,684,637,338
