Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
7.128496e+00,7.177019e+00,6.769642e+00,6.371612e+00,5.337538e+00,6.165418e+00,7.182352e+00,7.102499e+00,6.699500e+00
7.127694e+00,7.145984e+00,6.734592e+00,6.459904e+00,5.389072e+00,6.177944e+00,7.182352e+00,7.318540e+00,6.725034e+00
6.983790e+00,7.254178e+00,6.639876e+00,6.487684e+00,5.700444e+00,6.156979e+00,7.175490e+00,7.372746e+00,6.698268e+00
6.983790e+00,7.224025e+00,6.690842e+00,6.483107e+00,5.717028e+00,6.154858e+00,7.163947e+00,7.386471e+00,6.698268e+00
6.983790e+00,7.168580e+00,6.778785e+00,6.472346e+00,5.697093e+00,6.165418e+00,7.170120e+00,7.383368e+00,6.842683e+00
6.983790e+00,7.126891e+00,6.837333e+00,6.472346e+00,5.693732e+00,6.135565e+00,7.181592e+00,7.299797e+00,6.939254e+00
6.983790e+00,7.059618e+00,6.919684e+00,6.470800e+00,5.700444e+00,6.135565e+00,7.180831e+00,7.299797e+00,6.939254e+00
6.983790e+00,7.059618e+00,6.919684e+00,6.335054e+00,5.902633e+00,6.167516e+00,7.061334e+00,7.299121e+00,6.896694e+00
6.859615e+00,6.804615e+00,7.244228e+00,6.263398e+00,6.001415e+00,6.047372e+00,7.003974e+00,7.287561e+00,6.852243e+00
5.755742e+00,7.207119e+00,7.371489e+00,6.212606e+00,6.063785e+00,6.047372e+00,6.923629e+00,7.155396e+00,6.591674e+00
6.408529e+00,7.172425e+00,7.406103e+00,5.913503e+00,6.326149e+00,6.047372e+00,6.754604e+00,7.128496e+00,6.599870e+00
6.403574e+00,7.173958e+00,7.406711e+00,5.913503e+00,6.326149e+00,6.047372e+00,6.753438e+00,7.127694e+00,6.111467e+00
6.470800e+00,7.097549e+00,7.464510e+00,5.913503e+00,6.326149e+00,6.042633e+00,6.754604e+00,7.127694e+00,6.126869e+00
6.476972e+00,7.085064e+00,7.475339e+00,5.855072e+00,6.363028e+00,5.958425e+00,6.719013e+00,7.071573e+00,6.124683e+00
6.553933e+00,7.082549e+00,7.477038e+00,5.703782e+00,6.444131e+00,5.921578e+00,6.683361e+00,7.071573e+00,6.146329e+00
6.553933e+00,7.051856e+00,7.497207e+00,5.703782e+00,6.444131e+00,5.897154e+00,6.519147e+00,7.215240e+00,6.313548e+00
6.606650e+00,7.054450e+00,7.379632e+00,6.214608e+00,6.439350e+00,5.905362e+00,6.493754e+00,7.238497e+00,6.380123e+00
6.584791e+00,7.064759e+00,7.369601e+00,6.259581e+00,6.421622e+00,5.934894e+00,6.493754e+00,7.237059e+00,6.380123e+00
6.469250e+00,7.080868e+00,7.413367e+00,6.267201e+00,6.329721e+00,6.068426e+00,6.280396e+00,7.226209e+00,6.274762e+00
6.470800e+00,7.071573e+00,7.419980e+00,6.267201e+00,6.329721e+00,6.068426e+00,6.154858e+00,7.225481e+00,6.284134e+00
6.470800e+00,7.030857e+00,7.407924e+00,6.386879e+00,6.329721e+00,6.042633e+00,5.513429e+00,7.242798e+00,6.284134e+00
6.448889e+00,7.043160e+00,7.407924e+00,6.386879e+00,6.329721e+00,6.033086e+00,5.384495e+00,7.243513e+00,6.284134e+00
6.232448e+00,7.179308e+00,7.407924e+00,6.386879e+00,6.159095e+00,6.011267e+00,5.746203e+00,7.243513e+00,6.295266e+00
6.232448e+00,7.179308e+00,7.406711e+00,6.390241e+00,6.159095e+00,5.837730e+00,5.823046e+00,7.245655e+00,6.393591e+00
6.232448e+00,7.179308e+00,7.406711e+00,6.390241e+00,6.159095e+00,5.814131e+00,5.846439e+00,7.238497e+00,6.591674e+00
6.300786e+00,7.179308e+00,7.406711e+00,6.390241e+00,6.159095e+00,5.713733e+00,5.932245e+00,7.199678e+00,6.720220e+00
6.450470e+00,7.179308e+00,7.400621e+00,6.406880e+00,6.159095e+00,5.645447e+00,5.983936e+00,7.200425e+00,6.723832e+00
6.450470e+00,7.179308e+00,7.169350e+00,6.850126e+00,6.159095e+00,5.645447e+00,5.963579e+00,7.087574e+00,6.878326e+00
6.450470e+00,7.156177e+00,7.167038e+00,6.884487e+00,6.159095e+00,5.616771e+00,5.978886e+00,7.085064e+00,6.928538e+00
6.450470e+00,7.128496e+00,7.189922e+00,6.887553e+00,6.129050e+00,5.493061e+00,6.089045e+00,7.082549e+00,6.911747e+00
