Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
439,358,487,829,457,846,364,704,716,411
474,358,470,829,457,916,364,531,716,426
474,358,438,786,245,921,137,574,686,426
474,358,408,695,218,1049,137,1216,686,426
474,358,389,619,218,952,141,1219,649,469
475,324,400,619,218,1108,141,1219,646,463
581,300,384,619,242,1121,141,1219,646,768
581,285,359,619,242,1159,141,1224,646,771
656,285,312,630,245,1159,141,1224,646,828
656,285,301,709,245,1159,141,1229,566,828
620,382,301,689,269,1161,133,1309,503,828
740,443,266,793,376,1161,21,1329,341,808
742,443,266,825,330,1159,21,1329,341,808
780,443,266,877,418,1099,21,1339,316,808
814,436,272,816,535,887,47,1339,308,808
820,436,273,832,546,871,47,1339,298,853
863,436,261,832,787,806,47,1336,343,856
863,436,230,953,801,695,47,1176,373,964
865,398,268,964,996,707,47,1176,466,994
953,398,252,968,1001,707,52,964,286,1189
955,386,252,965,1001,707,52,939,284,1189
956,386,217,1015,1001,701,52,889,284,1189
956,386,158,900,1001,641,52,889,302,1139
956,386,158,950,1001,611,52,861,302,1136
956,386,158,951,1040,611,52,862,302,1116
873,391,209,951,1204,605,58,1245,302,1116
792,472,209,940,1288,565,58,1250,615,1241
801,539,209,1086,1378,561,70,1300,615,1098
802,539,209,1067,1442,561,190,1305,560,1094
803,455,293,1065,1442,561,263,1305,550,1063
892,440,350,1064,1442,561,291,1282,532,1018
885,439,358,1058,1442,568,338,1282,532,1151
850,474,358,1058,1442,498,480,1312,532,1136
850,474,358,1058,1457,493,507,1317,532,1136
902,474,358,1058,1509,369,520,695,532,1136
903,474,358,1058,1509,311,516,692,524,1078
1132,475,324,1071,1512,161,516,740,524,1041
1042,581,300,1078,1513,148,516,785,524,736
1079,581,285,1078,1933,110,615,780,524,858
1006,656,285,1067,1967,207,712,780,562,1094
1008,656,285,988,1972,214,712,778,592,1159
947,620,382,915,1958,212,712,698,614,1201
766,740,443,789,1923,212,712,678,627,1258
764,742,443,757,1917,212,712,678,627,1273
726,780,443,591,1823,216,712,668,630,1283
692,814,436,591,1741,201,778,668,630,1283
685,820,436,512,1793,201,778,668,630,1238
642,863,436,512,1664,201,778,668,600,1235
642,863,436,391,1588,218,778,668,570,1127
640,865,398,380,1315,206,780,698,477,1097
552,953,398,376,1310,206,868,718,467,902
569,955,386,362,1310,206,947,718,467,902
568,956,386,312,1310,205,953,718,467,910
568,956,386,220,1310,235,961,718,479,1192
568,956,386,169,1349,288,961,718,479,1192
568,956,386,239,1310,289,961,695,479,1192
568,873,391,333,1153,332,938,312,479,1192
568,792,472,416,1069,483,938,307,166,1075
494,801,539,310,979,598,926,275,166,1075
493,802,539,320,915,621,806,305,151,1042
500,803,455,377,915,657,733,415,151,1043
414,892,440,387,915,768,705,975,234,1086
457,885,439,452,915,774,658,1200,287,951
457,850,474,580,915,774,530,1185,339,951
457,850,474,637,900,774,503,1197,359,951
469,902,474,637,848,760,490,1212,537,951
468,903,474,637,848,822,585,1332,687,951
296,1132,475,624,845,855,614,1284,710,951
280,1042,581,617,820,855,660,1250,747,951
243,1079,581,617,400,855,583,1250,792,826
241,1006,656,622,364,758,486,1250,756,533
239,1008,656,681,384,751,558,1247,726,468
251,947,620,681,383,769,625,1247,737,426
251,766,740,716,311,770,630,1247,724,369
251,764,742,790,319,861,630,1260,724,359
251,726,780,790,328,989,717,1450,721,349
251,692,814,790,294,1016,635,1450,721,349
251,685,820,803,231,1020,792,1463,721,354
266,642,863,815,186,1020,869,1579,706,354
336,642,863,885,219,1049,914,1624,706,354
369,640,865,889,219,1116,912,1601,706,354
404,552,953,892,219,1135,819,1609,706,354
385,569,955,931,219,1166,806,1694,706,401
398,568,956,958,219,1183,906,1719,706,403
411,568,956,963,219,1158,904,1976,676,311
411,568,956,963,181,1138,904,1976,676,311
411,568,956,1002,183,1174,904,1976,679,311
411,568,873,908,176,1123,904,1976,679,311
411,568,792,825,175,972,904,2036,679,313
409,494,801,785,175,968,904,2026,679,313
411,493,802,788,175,971,904,2008,679,313
425,500,803,731,176,948,904,1898,679,310
380,414,892,721,176,876,904,1338,596,267
337,457,885,656,176,1000,904,1161,543,340
337,457,850,528,176,1003,890,1146,491,560
337,457,850,471,191,1016,890,1094,471,583
295,469,902,471,197,1226,890,1067,293,583
296,468,903,492,201,1238,795,947,143,583
238,296,1132,553,243,1330,766,947,120,1196
238,280,1042,587,243,1330,720,941,83,1301
238,243,1079,631,243,1331,698,941,38,1304
247,241,1006,651,299,1381,698,941,36,1304
247,239,1008,622,406,1381,626,941,36,1304
235,251,947,681,456,1363,559,941,3,1357
