Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
401,282,329,564,1398,1005,1651,492,1138,605,340,609,818,1058,546,693,937,516,207,665,477,276
405,282,322,437,1532,953,1702,493,1075,600,408,574,818,1021,551,626,841,517,207,665,534,298
413,282,321,438,1532,935,1720,474,1055,555,492,573,818,1013,551,626,839,587,207,665,506,323
413,282,321,438,1532,935,1666,502,1043,593,474,559,818,929,551,675,786,617,207,665,371,321
410,285,316,443,1532,872,1716,515,1043,577,415,382,820,871,554,681,755,638,207,623,361,335
452,282,317,445,1532,849,1739,515,1024,594,406,334,820,870,579,673,750,653,201,623,297,601
464,282,317,445,1532,731,1857,515,1024,594,270,461,833,870,550,595,747,653,189,623,297,910
500,282,317,445,1532,702,1886,515,1022,596,270,461,869,881,494,551,747,653,189,623,329,921
500,282,317,445,1532,515,2073,514,989,622,274,465,841,787,450,332,744,678,190,623,329,917
506,282,317,445,1527,504,2089,319,1126,466,465,488,780,779,438,319,631,710,212,653,329,917
574,282,317,443,1528,504,2072,337,1123,469,449,504,720,769,389,327,630,710,329,757,329,917
821,282,317,443,1521,469,2111,340,1123,467,436,517,827,785,409,368,582,849,430,806,362,957
1091,282,317,434,1493,479,2138,340,1123,373,524,523,771,760,473,369,515,851,495,621,369,955
1091,282,317,434,1489,437,2154,370,1123,359,538,510,711,750,470,367,515,927,495,520,464,1044
1121,282,317,434,1489,338,2127,496,1123,356,541,474,711,748,591,343,437,1054,498,474,577,1046
1158,283,317,434,1489,331,2080,550,1123,356,539,476,727,745,594,311,430,1054,528,473,583,1046
1157,284,317,406,1517,331,2049,581,1123,334,561,476,739,745,594,286,430,1054,531,473,698,1041
1247,284,317,361,1506,387,2049,581,1123,334,561,476,745,745,523,260,430,1054,523,473,718,1041
1247,284,317,342,1500,412,2034,596,1094,363,561,367,756,474,557,260,448,1054,568,509,655,1041
1244,202,402,314,1372,511,1984,703,1086,371,561,367,767,415,590,260,454,1027,641,449,672,1130
1123,287,438,312,1371,509,1742,950,1033,424,561,367,739,385,591,259,369,930,713,421,674,1193
1111,299,438,312,1332,524,1731,871,1144,427,561,367,711,366,607,293,460,883,713,438,660,1256
1179,326,440,312,1318,530,1697,905,1112,464,564,351,646,312,624,293,430,872,705,470,660,1256
1135,370,440,286,1241,572,1406,1257,1029,542,569,339,634,157,756,316,431,861,705,448,660,1294
956,518,471,267,1213,619,1228,1400,1060,544,571,333,609,157,756,316,553,861,705,449,660,1280
949,525,469,198,1279,624,1123,1421,1025,663,571,322,574,159,756,250,526,861,840,472,660,1276
984,432,422,324,1151,758,1132,1411,742,956,571,311,573,90,756,285,513,861,749,512,794,1365
1005,403,409,366,1058,841,1141,1412,731,967,571,311,559,117,769,396,513,861,726,552,825,1391
1022,402,409,367,1020,875,1144,1413,492,1206,547,330,382,117,809,443,513,860,726,599,926,1391
1046,402,409,364,782,1048,1209,1416,492,1196,557,330,334,117,997,487,512,657,726,610,938,1391
1046,401,410,262,550,1354,1188,1465,492,1155,598,330,461,117,940,488,512,557,721,610,898,1374
1046,401,282,329,564,1398,1005,1651,492,1138,605,340,461,208,936,517,620,731,691,645,900,1281
1131,405,282,322,437,1532,953,1702,493,1075,600,408,465,222,931,540,620,866,691,645,840,1259
1123,413,282,321,438,1532,935,1720,474,1055,555,492,488,222,938,540,628,796,691,645,840,1234
1161,413,282,321,438,1532,935,1666,502,1043,593,474,504,356,947,491,628,766,691,646,859,1293
1161,410,285,316,443,1532,872,1716,515,1043,577,415,517,364,944,485,644,885,691,646,864,1282
1120,452,282,317,445,1532,849,1739,515,1024,594,406,523,364,858,492,676,870,691,658,863,986
1108,464,282,317,445,1532,731,1857,515,1024,594,270,510,364,857,822,680,1077,691,689,857,620
1240,500,282,317,445,1532,702,1886,515,1022,596,270,474,353,857,822,732,1116,691,689,805,638
1240,500,282,317,445,1532,515,2073,514,989,622,274,476,666,857,822,756,1090,690,705,805,646
1234,506,282,317,445,1527,504,2089,319,1126,466,465,476,678,832,822,771,1092,668,649,805,662
1230,574,282,317,443,1528,504,2072,337,1123,469,449,476,748,811,814,775,1310,551,577,805,669
983,821,282,317,443,1521,469,2111,340,1123,467,436,367,733,789,773,776,1171,450,508,772,629
713,1091,282,317,434,1493,479,2138,340,1123,373,524,367,733,725,770,776,1178,385,506,765,629
713,1091,282,317,434,1489,437,2154,370,1123,359,538,367,733,725,779,776,1144,480,506,670,540
683,1121,282,317,434,1489,338,2127,496,1123,356,541,367,733,607,813,776,1098,484,533,557,677
645,1158,283,317,434,1489,331,2080,550,1123,356,539,351,733,603,812,776,1180,464,533,551,677
645,1157,284,317,406,1517,331,2049,581,1123,334,561,339,733,609,812,776,1410,461,533,436,677
555,1247,284,317,361,1506,387,2049,581,1123,334,561,333,733,610,812,776,1516,466,533,416,677
555,1247,284,317,342,1500,412,2034,596,1094,363,561,322,733,618,812,764,1606,417,497,416,677
555,1244,202,402,314,1372,511,1984,703,1086,371,561,311,757,585,930,749,1747,344,497,391,588
555,1123,287,438,312,1371,509,1742,950,1033,424,561,311,791,584,1024,716,1843,272,487,388,532
555,1111,299,438,312,1332,524,1731,871,1144,427,561,330,791,568,991,485,1843,273,470,388,469
458,1179,326,440,312,1318,530,1697,905,1112,464,564,330,791,551,1016,477,1871,286,438,388,469
484,1135,370,440,286,1241,572,1406,1257,1029,542,569,330,793,405,1053,514,1911,295,408,388,431
523,956,518,471,267,1213,619,1228,1400,1060,544,571,340,793,486,1053,410,1921,316,389,388,431
549,949,525,469,198,1279,624,1123,1421,1025,663,571,408,791,717,1053,410,1989,251,400,388,431
537,984,432,422,324,1151,758,1132,1411,742,956,571,492,781,717,1018,354,2059,250,384,254,342
