Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
927,1014,290,1339,1038,695,1264,161,174,306,519,740,505,406,421,547,834,558
907,1034,287,1340,961,708,1330,133,202,293,627,806,506,409,416,552,828,403
901,1040,287,1197,1062,750,1330,133,202,271,708,788,457,509,423,552,810,366
990,1040,281,1194,1071,748,1327,119,221,270,804,845,569,615,422,561,842,366
964,1066,281,1191,1074,717,1358,119,221,269,858,797,618,592,422,561,852,365
846,1184,281,1106,1159,717,1303,174,221,268,1013,671,668,624,485,563,852,363
799,1170,342,906,1215,819,1297,218,224,266,1046,628,674,624,485,573,854,381
555,1373,383,610,1508,822,1275,238,226,266,1134,629,674,680,565,573,843,381
526,1402,383,459,1592,889,1196,317,226,266,1138,639,674,690,580,573,811,418
518,1397,390,443,1614,889,1196,317,226,266,1108,642,670,690,580,647,789,418
515,1380,410,438,1609,857,1238,316,227,266,1034,802,634,690,628,665,715,496
528,1336,454,437,1480,963,1262,316,227,207,1034,955,634,680,636,680,651,555
528,1336,454,437,1480,960,1265,316,224,126,1035,955,640,680,695,675,742,561
528,1336,454,437,1479,954,1260,312,221,124,944,955,642,826,697,632,733,563
544,1336,446,445,1462,970,1238,252,272,124,909,955,648,832,758,572,594,563
545,1336,315,551,1281,1165,1182,318,271,124,909,955,657,856,782,539,607,563
545,1316,335,551,1247,1083,1258,358,270,124,924,959,720,855,776,486,619,565
545,1275,323,604,1246,1084,1214,402,253,120,888,1143,729,873,885,482,629,592
545,1275,322,605,1246,1084,1193,423,208,96,888,1155,737,873,851,520,592,592
668,1248,349,608,1178,1152,1099,517,208,97,890,1187,737,893,927,518,592,624
670,1180,418,608,1178,1152,1004,612,208,97,891,1189,737,937,929,542,616,673
670,931,667,426,1360,1152,926,690,208,97,893,1349,573,946,929,569,499,717
658,882,728,394,1392,1152,770,846,205,93,893,1453,570,946,947,593,481,695
608,896,763,395,1390,1154,701,915,200,87,930,1547,550,716,946,593,440,680
690,896,763,357,1375,1206,700,917,194,95,915,1547,527,707,947,593,438,678
693,896,699,421,1374,1207,700,917,194,116,848,1558,553,826,924,499,457,501
562,1043,706,397,1398,1162,701,961,194,167,850,1538,508,1158,906,607,452,492
504,1121,767,396,1399,1159,704,961,194,579,849,1549,561,1221,993,619,399,432
511,947,962,396,1399,1159,472,1193,194,589,832,1473,654,1252,1105,666,326,409
