Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
534,1296,690,446,668,247,522,1079,1489,517,868
654,1296,690,446,746,374,515,1118,1489,517,871
683,1296,680,456,904,374,513,1127,1489,517,851
690,1296,680,379,959,354,506,1179,1517,563,863
694,1150,826,360,1014,380,650,1086,1506,586,868
748,1144,832,360,1015,387,650,1073,1500,573,954
803,1106,856,374,1015,387,635,1073,1372,572,1036
803,1106,855,375,1015,387,608,1050,1371,650,1124
815,1088,873,375,1015,387,562,1072,1332,701,1188
815,1088,873,375,1015,391,545,1080,1318,650,1172
793,1090,893,318,1015,384,545,1102,1241,767,1200
792,1047,937,318,1036,357,545,1026,1213,777,1205
790,1040,946,318,1036,346,530,1016,1279,642,1197
722,1108,946,151,1039,345,528,1017,1151,487,1182
746,1111,716,380,914,311,530,1017,1058,487,1182
780,1108,707,352,836,247,525,1049,1020,490,1181
991,989,826,352,738,230,500,1091,782,491,1051
994,657,1158,352,709,230,516,1091,550,491,1036
978,610,1221,338,697,230,513,1091,564,491,1092
1049,580,1252,333,628,230,513,1091,437,495,999
1086,667,1270,333,622,224,461,1075,438,541,839
1304,588,1373,333,591,224,461,1042,438,546,907
1243,546,1403,406,601,225,460,1082,443,592,956
1240,497,1452,409,707,246,429,1059,445,607,985
1200,389,1500,509,706,258,429,1036,445,870,987
1199,367,1412,615,704,270,479,1021,445,925,952
1145,411,1394,592,801,229,518,817,445,980,952
1126,430,1362,624,914,239,593,650,445,1012,1144
1126,430,1362,624,930,239,726,549,443,1212,1147
1122,434,1306,680,1066,240,745,482,443,1216,1147
1108,448,1296,690,1066,431,746,440,434,1181,1147
1022,534,1296,690,1066,444,746,387,434,1171,1157
902,654,1296,690,988,339,666,348,434,1171,1154
873,683,1296,680,830,427,605,339,434,1211,1141
866,690,1296,680,775,433,609,279,406,1275,1128
884,694,1150,826,720,417,526,273,361,1382,1123
830,748,1144,832,732,446,558,273,342,1380,1051
775,803,1106,856,732,446,558,293,314,1419,980
775,803,1106,855,777,446,555,293,312,1435,924
763,815,1088,873,880,446,555,273,312,1402,859
776,815,1088,873,999,442,555,292,312,1469,817
835,793,1090,893,1016,441,568,271,286,1491,744
835,792,1047,937,1042,464,568,271,267,1457,707
914,790,1040,946,1206,486,567,314,198,1448,729
1079,722,1108,946,1294,515,567,313,324,1448,769
1071,746,1111,716,1328,522,565,313,366,1448,769
1087,780,1108,707,1412,674,548,281,367,1445,820
920,991,989,826,1412,674,553,230,364,1444,897
917,994,657,1158,1429,675,543,235,262,1444,874
917,978,610,1221,1499,687,544,241,329,1469,823
846,1049,580,1252,1523,691,550,266,322,1479,753
704,1086,667,1270,1519,762,554,266,321,1433,727
463,1304,588,1373,1509,822,560,263,321,1428,670
513,1243,546,1403,1499,832,560,228,316,1382,668
715,1240,497,1452,1315,817,573,168,317,1367,708
786,1200,389,1500,1308,805,594,255,317,1105,758
812,1199,367,1412,1281,793,529,251,317,1050,780
863,1145,411,1394,1146,793,484,251,317,1091,851
892,1126,430,1362,1031,783,369,251,317,1059,717
1008,1126,430,1362,1008,783,236,251,317,859,723
1018,1122,434,1306,870,782,217,251,317,855,794
1018,1108,448,1296,920,591,216,251,317,1089,819
1022,1022,534,1296,955,573,216,290,317,1246,815
1055,902,654,1296,992,591,216,362,317,1349,923
1231,873,683,1296,992,516,187,396,317,1368,1135
1254,866,690,1296,1207,510,190,443,317,1260,1167
1232,884,694,1150,1211,500,129,447,317,1130,1219
1251,830,748,1144,1219,634,106,447,317,1130,1280
1251,775,803,1106,1224,717,106,427,402,1080,1305
1256,775,803,1106,1179,721,162,427,438,986,1272
1327,763,815,1088,1076,768,184,425,438,960,1285
1358,776,815,1088,976,805,189,394,440,857,1404
1299,835,793,1090,972,875,227,393,440,718,1400
1306,835,792,1047,954,958,252,385,471,694,1400
1233,914,790,1040,831,950,252,329,469,693,1378
1068,1079,722,1108,740,1056,252,329,422,693,1338
1040,1071,746,1111,706,1104,252,415,409,693,1355
989,1087,780,1108,621,977,252,417,409,693,1322
945,920,991,989,621,977,263,453,409,693,1341
977,917,994,657,604,976,265,517,410,693,1375
1094,917,978,610,534,964,318,526,282,668,1426
1112,846,1049,580,510,960,340,512,282,654,1424
1112,704,1086,667,510,889,342,529,282,654,1374
1158,463,1304,588,475,829,336,527,282,654,1441
1108,513,1243,546,475,818,336,523,285,654,1452
917,715,1240,497,475,815,323,523,282,654,1384
852,786,1200,389,475,823,302,436,282,653,1331
888,812,1199,367,475,846,302,435,282,653,1309
930,863,1145,411,475,856,302,435,282,585,1336
927,892,1126,430,475,915,342,435,282,646,1330
811,1008,1126,430,475,922,383,435,282,706,1334
801,1018,1122,434,469,922,383,443,282,708,1263
803,1018,1108,448,419,922,406,472,282,530,1263
857,1022,1022,534,384,922,470,515,282,433,1267
825,1055,902,654,347,877,476,446,282,330,1161
696,1231,873,683,347,906,476,412,283,271,952
673,1254,866,690,132,906,460,514,284,267,920
685,1232,884,694,128,906,463,510,284,267,868
674,1251,830,748,107,736,455,510,284,267,1064
674,1251,775,803,102,653,564,510,202,267,1087
669,1256,775,803,102,682,568,510,287,295,1117
598,1327,763,815,102,635,545,542,299,328,1123
716,1358,776,815,83,598,551,563,326,393,1057
724,1299,835,793,136,528,500,569,370,405,1209
730,1306,835,792,107,520,475,569,518,430,1209
747,1233,914,790,66,517,475,571,525,465,1209
747,1068,1079,722,66,382,475,571,432,466,1288
747,1040,1071,746,66,327,545,523,403,498,1271
747,989,1087,780,90,302,568,538,402,750,1253
747,945,920,991,92,317,559,503,402,809,1157
715,977,917,994,92,317,565,502,401,818,1123
598,1094,917,978,198,317,607,694,401,818,1058
579,1112,846,1049,279,427,590,892,405,818,1021
579,1112,704,1086,370,432,584,877,413,818,1013
532,1158,463,1304,370,432,584,877,413,818,929
532,1108,513,1243,398,432,584,984,410,820,871
521,917,715,1240,413,557,584,984,452,820,870
515,852,786,1200,433,571,677,992,464,833,870
453,888,812,1199,444,548,766,992,500,869,881
360,930,863,1145,479,538,766,992,500,841,787
392,927,892,1126,638,876,726,992,506,780,779
418,811,1008,1126,724,869,685,992,574,720,769
423,801,1018,1122,724,908,685,984,821,827,785
437,803,1018,1108,762,959,662,955,1091,771,760
379,857,1022,1022,902,1144,723,873,1091,711,750
378,825,1055,902,903,1191,721,870,1121,711,748
331,696,1231,873,903,1160,722,870,1158,727,745
331,673,1254,866,903,1173,737,721,1157,739,745
326,685,1232,884,903,1197,734,721,1247,745,745
321,674,1251,830,951,1247,733,721,1247,756,474
330,674,1251,775,1112,1385,624,721,1244,767,415
367,669,1256,775,1159,1384,563,721,1123,739,385
386,598,1327,763,1177,1384,563,689,1111,711,366
291,716,1358,776,1183,1487,796,668,1179,646,312
354,724,1299,835,1123,1512,796,675,1135,634,157
341,730,1306,835,1195,1428,796,675,956,609,157
318,747,1233,914,1443,1468,796,673,949,574,159
330,747,1068,1079,1443,1468,796,707,984,573,90
345,747,1040,1071,1443,1468,772,669,1005,559,117
345,747,989,1087,1419,1470,749,710,1022,382,117
567,747,945,920,1417,1456,740,709,1046,334,117
653,715,977,917,1417,1456,758,640,1046,461,117
658,598,1094,917,1311,1456,660,433,1046,461,208
658,579,1112,846,1261,1346,649,224,1131,465,222
658,579,1112,704,1204,1341,649,222,1123,488,222
658,532,1158,463,1278,1341,649,295,1161,504,356
658,532,1108,513,1250,1341,649,208,1161,517,364
746,521,917,715,1235,1213,649,299,1120,523,364
746,515,852,786,1220,1191,556,291,1108,510,364
824,453,888,812,1237,1288,468,291,1240,474,353
841,360,930,863,1290,1338,468,291,1240,476,666
836,392,927,892,1175,941,468,291,1234,476,678
810,418,811,1008,1213,941,468,291,1230,476,748
805,423,801,1018,1267,1017,468,305,983,367,733
846,437,803,1018,1230,1114,468,326,713,367,733
848,379,857,1022,1122,929,343,326,713,367,733
848,378,825,1055,1173,898,339,327,683,367,733
876,331,696,1231,1266,879,338,423,645,351,733
876,331,673,1254,1383,866,323,423,645,339,733
869,326,685,1232,1425,842,323,444,555,333,733
1109,321,674,1251,1448,933,325,444,555,322,733
1100,330,674,1251,1409,803,326,444,555,311,757
1063,367,669,1256,1376,782,326,444,555,311,791
1044,386,598,1327,1399,782,376,444,555,330,791
977,291,716,1358,1401,681,334,444,458,330,791
