Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
528,1336,124,944,955,642,826,697,632,733,563,2049
544,1336,124,909,955,648,832,758,572,594,563,2034
545,1336,124,909,955,657,856,782,539,607,563,1984
545,1316,124,924,959,720,855,776,486,619,565,1742
545,1275,120,888,1143,729,873,885,482,629,592,1731
545,1275,96,888,1155,737,873,851,520,592,592,1697
668,1248,97,890,1187,737,893,927,518,592,624,1406
670,1180,97,891,1189,737,937,929,542,616,673,1228
670,931,97,893,1349,573,946,929,569,499,717,1123
658,882,93,893,1453,570,946,947,593,481,695,1132
608,896,87,930,1547,550,716,946,593,440,680,1141
690,896,95,915,1547,527,707,947,593,438,678,1144
693,896,116,848,1558,553,826,924,499,457,501,1209
562,1043,167,850,1538,508,1158,906,607,452,492,1188
504,1121,579,849,1549,561,1221,993,619,399,432,1005
511,947,589,832,1473,654,1252,1105,666,326,409,953
478,977,564,820,1367,778,1270,1122,671,317,409,935
491,942,698,821,1388,848,1373,1128,668,317,409,935
478,927,708,722,1416,842,1403,1196,668,275,409,872
497,907,784,754,1408,841,1452,1279,699,275,409,849
513,901,784,702,1425,854,1500,1278,699,274,409,731
424,990,788,612,1467,743,1412,1278,689,228,409,702
424,964,860,559,1437,694,1394,1320,689,218,415,515
425,846,1055,410,1438,644,1362,1292,687,218,433,504
573,799,1208,388,1438,636,1362,1293,677,216,549,504
693,555,1302,306,1437,641,1306,1213,677,216,648,469
778,526,1608,302,1427,641,1296,1198,689,216,612,479
936,518,1659,332,1424,637,1296,1242,680,272,612,437
937,515,1671,347,1262,637,1296,1194,667,356,534,338
925,528,1669,377,1107,643,1296,1186,660,440,475,331
989,528,1690,480,1112,642,1296,1127,680,344,477,331
1032,528,1719,495,1119,661,1150,1045,680,344,574,387
1146,544,1737,577,1143,657,1144,947,680,344,587,412
1162,545,1758,717,1316,630,1106,918,672,346,587,511
1162,545,1776,809,1323,567,1106,892,672,365,608,509
1289,545,1779,883,1214,557,1088,633,672,402,581,524
1352,545,1779,884,1217,541,1088,606,634,419,585,530
1460,668,1778,882,1180,541,1090,529,642,419,553,572
1491,670,1783,883,1209,541,1047,527,645,395,588,619
1493,670,1826,887,1049,541,1040,527,629,411,567,624
1533,658,1841,889,1079,541,1108,502,606,411,567,758
1533,608,1872,852,1040,541,1111,627,640,411,565,841
1452,690,1883,851,1127,520,1108,705,704,433,521,875
