Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1003,832,222,1021,1424,753,949,392,531,529
993,854,222,1013,1374,727,910,400,498,529
992,721,356,929,1441,670,898,400,481,529
946,759,364,871,1452,668,890,190,461,524
666,1039,364,870,1384,708,781,190,365,524
549,1156,364,870,1331,758,745,265,364,419
540,1165,353,881,1309,780,707,254,342,419
589,848,666,787,1336,851,694,326,255,419
551,834,678,779,1330,717,694,326,151,292
525,820,748,769,1334,723,807,384,150,288
458,890,733,785,1263,794,967,384,150,237
455,893,733,760,1263,819,1123,384,150,206
455,893,733,750,1267,815,1123,373,228,206
455,893,733,748,1161,923,1123,373,258,206
439,909,733,745,952,1135,973,373,246,207
439,909,733,745,920,1167,941,373,326,190
439,909,733,745,868,1219,924,406,326,178
439,909,733,474,1064,1280,820,730,326,236
439,885,757,415,1087,1305,774,731,326,263
