Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2
1194,1764,349,580,387,828,989,528,1336,454,437,1480,1152,1102
1191,1767,300,629,373,799,1032,528,1336,454,437,1479,1152,1104
1155,1803,300,629,364,678,1146,544,1336,446,445,1462,1152,1104
1158,1603,500,626,367,661,1162,545,1336,315,551,1281,1152,1105
1170,1587,523,615,378,661,1162,545,1316,335,551,1247,1154,1105
1189,1658,527,561,432,534,1289,545,1275,323,604,1246,1206,1164
1178,1669,527,561,432,471,1352,545,1275,322,605,1246,1207,1164
1131,1649,594,561,421,248,1460,668,1248,349,608,1178,1162,1164
1145,1649,594,561,417,218,1491,670,1180,418,608,1178,1159,1055
1312,1649,594,473,408,313,1493,670,931,667,426,1360,1159,1055
1312,1647,596,473,343,338,1533,658,882,728,394,1392,877,1055
1312,1647,596,473,335,346,1533,608,896,763,395,1390,980,1002
1312,1647,596,473,303,377,1452,690,896,763,357,1375,1038,1002
1312,1637,606,473,283,397,1449,693,896,699,421,1374,961,962
1312,1299,944,473,283,389,1434,562,1043,706,397,1398,1062,860
1282,1296,977,473,275,395,1355,504,1121,767,396,1399,1071,857
1247,1326,980,459,243,441,1329,511,947,962,396,1399,1074,859
1247,1326,900,539,208,476,1329,478,977,951,407,1402,1159,854
1247,1309,871,585,208,476,1316,491,942,986,296,1392,1215,812
1246,1269,841,639,219,482,1316,478,927,1014,290,1339,1508,833
1079,1414,765,657,299,472,1307,497,907,1034,287,1340,1592,811
1079,1372,805,654,304,471,1292,513,901,1040,287,1197,1614,811
1079,1298,879,647,298,476,1300,424,990,1040,281,1194,1609,937
1079,1245,932,647,297,462,1315,424,964,1066,281,1191,1480,1032
1079,1164,1012,646,299,462,1314,425,846,1184,281,1106,1480,1032
1079,1164,1012,564,366,477,1166,573,799,1170,342,906,1479,989
953,902,1400,525,404,423,1101,693,555,1373,383,610,1462,946
316,1349,1590,499,430,423,1016,778,526,1402,383,459,1281,729
607,1303,1646,370,559,423,858,936,518,1397,390,443,1247,735
604,1305,1647,370,559,423,857,937,515,1380,410,438,1246,451
646,1209,1745,370,559,421,858,925,528,1336,454,437,1246,458
650,1194,1764,349,580,387,828,989,528,1336,454,437,1178,457
702,1191,1767,300,629,373,799,1032,528,1336,454,437,1178,467
702,1155,1803,300,629,364,678,1146,544,1336,446,445,1360,552
740,1158,1603,500,626,367,661,1162,545,1336,315,551,1392,590
724,1170,1587,523,615,378,661,1162,545,1316,335,551,1390,590
645,1189,1658,527,561,432,534,1289,545,1275,323,604,1375,531
646,1178,1669,527,561,432,471,1352,545,1275,322,605,1374,536
646,1131,1649,594,561,421,248,1460,668,1248,349,608,1398,536
632,1145,1649,594,561,417,218,1491,670,1180,418,608,1399,536
509,1312,1649,594,473,408,313,1493,670,931,667,426,1399,542
509,1312,1647,596,473,343,338,1533,658,882,728,394,1402,598
509,1312,1647,596,473,335,346,1533,608,896,763,395,1392,729
545,1312,1647,596,473,303,377,1452,690,896,763,357,1339,829
633,1312,1637,606,473,283,397,1449,693,896,699,421,1340,832
633,1312,1299,944,473,283,389,1434,562,1043,706,397,1197,971
633,1282,1296,977,473,275,395,1355,504,1121,767,396,1194,1021
633,1247,1326,980,459,243,441,1329,511,947,962,396,1191,1004
633,1247,1326,900,539,208,476,1329,478,977,951,407,1106,1004
675,1247,1309,871,585,208,476,1316,491,942,986,296,906,997
675,1246,1269,841,639,219,482,1316,478,927,1014,290,610,977
675,1079,1414,765,657,299,472,1307,497,907,1034,287,459,980
675,1079,1372,805,654,304,471,1292,513,901,1040,287,443,980
675,1079,1298,879,647,298,476,1300,424,990,1040,281,438,854
675,1079,1245,932,647,297,462,1315,424,964,1066,281,437,725
701,1079,1164,1012,646,299,462,1314,425,846,1184,281,437,710
888,1079,1164,1012,564,366,477,1166,573,799,1170,342,437,705
888,953,902,1400,525,404,423,1101,693,555,1373,383,445,700
888,316,1349,1590,499,430,423,1016,778,526,1402,383,551,728
587,607,1303,1646,370,559,423,858,936,518,1397,390,551,714
587,604,1305,1647,370,559,423,857,937,515,1380,410,604,712
574,646,1209,1745,370,559,421,858,925,528,1336,454,605,718
573,650,1194,1764,349,580,387,828,989,528,1336,454,608,753
523,702,1191,1767,300,629,373,799,1032,528,1336,454,608,805
523,702,1155,1803,300,629,364,678,1146,544,1336,446,426,861
482,740,1158,1603,500,626,367,661,1162,545,1336,315,394,822
479,724,1170,1587,523,615,378,661,1162,545,1316,335,395,822
464,645,1189,1658,527,561,432,534,1289,545,1275,323,357,822
465,646,1178,1669,527,561,432,471,1352,545,1275,322,421,817
465,646,1131,1649,594,561,421,248,1460,668,1248,349,397,817
465,632,1145,1649,594,561,417,218,1491,670,1180,418,396,817
421,509,1312,1649,594,473,408,313,1493,670,931,667,396,811
421,509,1312,1647,596,473,343,338,1533,658,882,728,407,770
421,509,1312,1647,596,473,335,346,1533,608,896,763,296,639
385,545,1312,1647,596,473,303,377,1452,690,896,763,290,540
345,633,1312,1637,606,473,283,397,1449,693,896,699,287,579
612,633,1312,1299,944,473,283,389,1434,562,1043,706,287,440
722,633,1282,1296,977,473,275,395,1355,504,1121,767,281,401
731,633,1247,1326,980,459,243,441,1329,511,947,962,281,402
908,633,1247,1326,900,539,208,476,1329,478,977,951,281,656
868,675,1247,1309,871,585,208,476,1316,491,942,986,342,642
873,675,1246,1269,841,639,219,482,1316,478,927,1014,383,651
896,675,1079,1414,765,657,299,472,1307,497,907,1034,383,633
905,675,1079,1372,805,654,304,471,1292,513,901,1040,390,633
962,675,1079,1298,879,647,298,476,1300,424,990,1040,410,633
1078,675,1079,1245,932,647,297,462,1315,424,964,1066,454,676
1090,701,1079,1164,1012,646,299,462,1314,425,846,1184,454,734
912,888,1079,1164,1012,564,366,477,1166,573,799,1170,454,753
920,888,953,902,1400,525,404,423,1101,693,555,1373,446,753
920,888,316,1349,1590,499,430,423,1016,778,526,1402,315,723
920,587,607,1303,1646,370,559,423,858,936,518,1397,335,723
920,587,604,1305,1647,370,559,423,857,937,515,1380,323,723
889,574,646,1209,1745,370,559,421,858,925,528,1336,322,698
882,573,650,1194,1764,349,580,387,828,989,528,1336,349,663
891,523,702,1191,1767,300,629,373,799,1032,528,1336,418,599
891,523,702,1155,1803,300,629,364,678,1146,544,1336,667,458
891,482,740,1158,1603,500,626,367,661,1162,545,1336,728,458
891,479,724,1170,1587,523,615,378,661,1162,545,1316,763,458
891,464,645,1189,1658,527,561,432,534,1289,545,1275,763,458
889,465,646,1178,1669,527,561,432,471,1352,545,1275,699,458
889,465,646,1131,1649,594,561,421,248,1460,668,1248,706,458
