Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1092,849,385,959,1784,471,716,1106,198,821,804,1050,383,610,757
1091,832,406,959,1761,494,716,1096,190,645,982,1049,290,580,714
1086,820,423,959,1761,494,716,1008,275,628,935,974,169,667,707
1314,821,394,988,1719,536,716,947,276,688,931,919,99,588,777
1335,722,519,989,1658,597,716,947,267,697,910,886,98,546,709
1203,754,627,951,1696,597,716,947,228,736,901,802,98,497,704
1293,702,708,770,1877,597,462,940,486,739,816,798,85,389,706
1287,612,804,718,1921,605,462,919,507,700,692,706,84,367,735
1306,559,858,717,1922,605,319,1062,507,700,689,692,84,411,731
1325,410,1013,717,1922,522,340,1073,533,725,652,691,84,430,698
1365,388,1046,717,1882,433,378,1164,533,725,652,709,84,430,704
1364,306,1134,689,1565,777,344,1100,632,725,652,709,88,434,712
1415,302,1138,689,1565,777,315,1129,632,725,652,709,88,448,712
1384,332,1108,720,1453,885,319,1129,626,731,652,774,88,534,668
1369,347,1034,722,1379,1024,299,1151,627,735,652,845,81,654,746
1359,377,1034,634,1376,1110,304,1151,627,735,651,845,263,683,904
1255,480,1035,634,1261,1225,304,1151,627,735,651,840,365,690,959
1248,495,944,727,1249,1237,238,1151,693,735,651,833,356,694,1014
1166,577,909,762,1249,1237,238,1151,693,735,632,815,354,748,1015
1026,717,909,762,1249,1237,231,1158,693,735,625,645,381,803,1015
919,809,924,762,1249,1199,267,1160,693,732,628,634,750,803,1015
844,883,888,799,1247,1196,272,1160,693,552,782,602,750,815,1015
868,884,888,730,1206,1302,276,1160,693,475,820,549,750,815,1015
898,882,890,526,1386,1326,276,1160,693,471,824,549,750,793,1015
896,883,891,525,1387,1326,276,1160,693,471,824,519,750,792,1036
900,887,893,512,1212,1474,317,1088,765,471,804,535,750,790,1036
928,889,893,511,858,1829,317,958,866,500,797,468,750,722,1039
928,852,930,507,839,1722,447,953,871,373,790,417,750,746,914
928,851,915,523,763,1777,468,931,893,311,807,351,736,780,836
878,901,848,531,812,1787,468,852,972,289,784,357,736,991,738
770,1010,850,518,825,1784,471,724,1100,228,816,441,764,994,709
708,1092,849,385,959,1784,471,716,1106,198,821,604,771,978,697
705,1091,832,406,959,1761,494,716,1096,190,645,607,778,1049,628
705,1086,820,423,959,1761,494,716,1008,275,628,644,775,1086,622
476,1314,821,394,988,1719,536,716,947,276,688,644,775,1304,591
428,1335,722,519,989,1658,597,716,947,267,697,641,786,1243,601
428,1203,754,627,951,1696,597,716,947,228,736,641,786,1240,707
309,1293,702,708,770,1877,597,462,940,486,739,628,888,1200,706
311,1287,612,804,718,1921,605,462,919,507,700,621,1042,1199,704
309,1306,559,858,717,1922,605,319,1062,507,700,622,1063,1145,801
347,1325,410,1013,717,1922,522,340,1073,533,725,622,1083,1126,914
316,1365,388,1046,717,1882,433,378,1164,533,725,601,1086,1126,930
321,1364,306,1134,689,1565,777,344,1100,632,725,620,1077,1122,1066
351,1415,302,1138,689,1565,777,315,1129,632,725,627,1080,1108,1066
359,1384,332,1108,720,1453,885,319,1129,626,731,562,1148,1022,1066
