Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2
670,1180,418,608,97,891
670,931,667,426,97,893
658,882,728,394,93,893
608,896,763,395,87,930
690,896,763,357,95,915
693,896,699,421,116,848
562,1043,706,397,167,850
504,1121,767,396,579,849
511,947,962,396,589,832
478,977,951,407,564,820
491,942,986,296,698,821
478,927,1014,290,708,722
497,907,1034,287,784,754
513,901,1040,287,784,702
424,990,1040,281,788,612
424,964,1066,281,860,559
425,846,1184,281,1055,410
573,799,1170,342,1208,388
693,555,1373,383,1302,306
778,526,1402,383,1608,302
936,518,1397,390,1659,332
937,515,1380,410,1671,347
925,528,1336,454,1669,377
989,528,1336,454,1690,480
1032,528,1336,454,1719,495
1146,544,1336,446,1737,577
1162,545,1336,315,1758,717
1162,545,1316,335,1776,809
1289,545,1275,323,1779,883
1352,545,1275,322,1779,884
1460,668,1248,349,1778,882
1491,670,1180,418,1783,883
1493,670,931,667,1826,887
1533,658,882,728,1841,889
1533,608,896,763,1872,852
1452,690,896,763,1883,851
