Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
440,312,857,1404,527,636,629
440,286,718,1400,655,636,629
471,267,694,1400,719,636,629
469,198,693,1378,645,636,608
422,324,693,1338,598,584,607
409,366,693,1355,597,533,650
409,367,693,1322,493,473,895
409,364,693,1341,503,413,809
410,262,693,1375,525,396,800
282,329,668,1426,525,402,892
282,322,654,1424,525,462,856
282,321,654,1374,507,433,729
282,321,654,1441,506,419,782
285,316,654,1452,504,381,813
282,317,654,1384,565,395,813
282,317,653,1331,595,511,815
282,317,653,1309,651,555,813
282,317,585,1336,673,774,815
282,317,646,1330,710,787,926
282,317,706,1334,780,787,927
282,317,708,1263,781,787,975
282,317,530,1263,778,767,1042
282,317,433,1267,781,762,1042
282,317,330,1161,781,784,1119
283,317,271,952,782,789,1123
284,317,267,920,782,773,1123
284,317,267,868,860,773,1103
284,317,267,1064,785,773,1105
202,402,267,1087,707,757,1114
287,438,295,1117,698,731,1245
299,438,328,1123,675,712,1385
326,440,393,1057,675,619,1423
370,440,405,1209,561,619,1423
518,471,430,1209,497,619,1423
525,469,465,1209,472,685,1450
432,422,466,1288,468,685,1519
403,409,498,1271,518,678,1475
402,409,750,1253,482,661,1211
402,409,809,1157,506,663,1097
401,410,818,1123,542,668,1069
401,282,818,1058,546,693,937
405,282,818,1021,551,626,841
413,282,818,1013,551,626,839
413,282,818,929,551,675,786
410,285,820,871,554,681,755
452,282,820,870,579,673,750
464,282,833,870,550,595,747
500,282,869,881,494,551,747
500,282,841,787,450,332,744
506,282,780,779,438,319,631
574,282,720,769,389,327,630
821,282,827,785,409,368,582
1091,282,771,760,473,369,515
1091,282,711,750,470,367,515
1121,282,711,748,591,343,437
1158,283,727,745,594,311,430
1157,284,739,745,594,286,430
1247,284,745,745,523,260,430
1247,284,756,474,557,260,448
1244,202,767,415,590,260,454
1123,287,739,385,591,259,369
1111,299,711,366,607,293,460
1179,326,646,312,624,293,430
1135,370,634,157,756,316,431
956,518,609,157,756,316,553
949,525,574,159,756,250,526
984,432,573,90,756,285,513
1005,403,559,117,769,396,513
1022,402,382,117,809,443,513
1046,402,334,117,997,487,512
1046,401,461,117,940,488,512
1046,401,461,208,936,517,620
1131,405,465,222,931,540,620
1123,413,488,222,938,540,628
1161,413,504,356,947,491,628
1161,410,517,364,944,485,644
1120,452,523,364,858,492,676
1108,464,510,364,857,822,680
1240,500,474,353,857,822,732
1240,500,476,666,857,822,756
1234,506,476,678,832,822,771
1230,574,476,748,811,814,775
983,821,367,733,789,773,776
713,1091,367,733,725,770,776
713,1091,367,733,725,779,776
683,1121,367,733,607,813,776
645,1158,351,733,603,812,776
645,1157,339,733,609,812,776
555,1247,333,733,610,812,776
555,1247,322,733,618,812,764
555,1244,311,757,585,930,749
555,1123,311,791,584,1024,716
555,1111,330,791,568,991,485
458,1179,330,791,551,1016,477
484,1135,330,793,405,1053,514
523,956,340,793,486,1053,410
549,949,408,791,717,1053,410
537,984,492,781,717,1018,354
611,1005,474,754,896,907,354
594,1022,415,772,883,858,354
570,1046,406,929,667,1022,354
570,1046,270,937,887,1062,410
570,1046,270,846,920,1003,301
481,1131,274,832,1176,980,314
481,1123,465,854,1208,980,339
443,1161,449,721,1211,980,356
443,1161,436,759,1219,1190,360
442,1120,524,1039,1328,1177,424
442,1108,538,1156,1364,809,421
274,1240,541,1165,1402,824,391
281,1240,539,848,1415,824,454
281,1234,561,834,1415,824,543
217,1230,561,820,1415,824,540
217,983,561,890,1415,824,539
232,713,561,893,1415,824,539
392,713,561,893,1415,826,539
392,683,561,893,1412,792,539
392,645,564,909,1562,792,552
396,645,569,909,1588,792,552
398,555,571,909,1596,792,552
471,555,571,909,1758,792,544
493,555,571,885,1816,674,544
493,555,571,851,1837,580,526
493,555,547,851,1971,579,587
532,458,557,851,1971,554,587
506,484,598,849,1971,494,549
467,523,605,849,1934,494,560
441,549,600,853,1703,494,603
417,537,555,902,1703,510,604
322,611,593,930,1461,523,605
322,594,577,947,1434,561,605
322,570,594,856,1425,354,605
322,570,594,1001,1209,323,545
322,570,596,1002,1205,332,544
322,481,622,1003,949,392,531
322,481,466,993,910,400,498
322,443,469,992,898,400,481
322,443,467,946,890,190,461
322,442,373,666,781,190,365
322,442,359,549,745,265,364
322,274,356,540,707,254,342
315,281,356,589,694,326,255
494,281,334,551,694,326,151
623,217,334,525,807,384,150
623,217,363,458,967,384,150
608,232,371,455,1123,384,150
448,392,424,455,1123,373,228
448,392,427,455,1123,373,258
448,392,464,439,973,373,246
444,396,542,439,941,373,326
442,398,544,439,924,406,326
369,471,663,439,820,730,326
347,493,956,439,774,731,326
356,493,967,439,754,731,326
506,493,1206,439,620,731,263
473,532,1196,454,620,731,263
473,506,1155,469,620,731,263
473,467,1138,469,678,731,236
473,441,1075,465,793,731,376
473,417,1055,527,794,715,486
473,322,1043,569,799,702,491
473,322,1043,535,799,664,534
482,322,1024,647,987,660,534
629,322,1024,519,982,645,598
629,322,1022,545,953,635,603
629,322,989,574,953,575,626
658,322,1126,568,953,567,654
