Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
828,967,658,532,1158,463,1304,588,1373,333,906,612,1019,497
877,971,658,532,1108,513,1243,546,1403,406,903,617,1032,567
880,883,746,521,917,715,1240,497,1452,409,901,713,1135,654
880,883,746,515,852,786,1200,389,1500,509,901,831,1249,682
888,805,824,453,888,812,1199,367,1412,615,952,832,1249,682
869,808,841,360,930,863,1145,411,1394,592,1009,834,1249,863
865,765,836,392,927,892,1126,430,1362,624,1035,1012,1249,900
864,766,810,418,811,1008,1126,430,1362,624,1035,1021,1139,995
839,832,805,423,801,1018,1122,434,1306,680,1028,1044,1160,927
812,820,846,437,803,1018,1108,448,1296,690,963,1062,1093,1010
809,821,848,379,857,1022,1022,534,1296,690,974,1132,1093,982
922,821,848,378,825,1055,902,654,1296,690,1304,1113,1093,982
922,793,876,331,696,1231,873,683,1296,680,1268,1113,1092,983
941,793,876,331,673,1254,866,690,1296,680,1267,1363,1044,1022
943,793,869,326,685,1232,884,694,1150,826,1267,1469,1087,1097
871,622,1109,321,674,1251,830,748,1144,832,1267,1553,1087,1112
692,801,1100,330,674,1251,775,803,1106,856,1267,1539,1043,1124
639,854,1063,367,669,1256,775,803,1106,855,1223,1666,904,1221
639,854,1044,386,598,1327,763,815,1088,873,1179,1748,470,1249
639,854,977,291,716,1358,776,815,1088,873,1179,1748,469,1278
639,854,906,354,724,1299,835,793,1090,893,1179,1748,469,1278
627,869,906,341,730,1306,835,792,1047,937,1179,1736,469,1278
685,704,1077,318,747,1233,914,790,1040,946,1087,1682,469,1278
687,690,1153,330,747,1068,1079,722,1108,946,1196,1670,468,1271
473,904,1138,345,747,1040,1071,746,1111,716,1202,1391,468,1252
683,904,1138,345,747,989,1087,780,1108,707,1207,1391,409,1252
741,904,916,567,747,945,920,991,989,826,912,1391,409,1252
758,864,870,653,715,977,917,994,657,1158,871,1390,354,1229
713,879,895,658,598,1094,917,978,610,1221,847,1390,326,1229
713,879,895,658,579,1112,846,1049,580,1252,751,1376,327,1229
713,874,900,658,579,1112,704,1086,667,1270,771,1320,658,1233
707,828,967,658,532,1158,463,1304,588,1373,772,1239,759,1239
1057,877,971,658,532,1108,513,1243,546,1403,767,1234,776,1167
1283,880,883,746,521,917,715,1240,497,1452,767,1138,673,1081
1283,880,883,746,515,852,786,1200,389,1500,767,1020,560,1053
1275,888,805,824,453,888,812,1199,367,1412,716,1022,610,1056
1274,869,808,841,360,930,863,1145,411,1394,659,1020,652,875
1268,865,765,836,392,927,892,1126,430,1362,710,867,652,836
1268,864,766,810,418,811,1008,1126,430,1362,729,878,652,641
1227,839,832,805,423,801,1018,1122,434,1306,679,860,631,641
1209,812,820,846,437,803,1018,1108,448,1296,668,842,631,539
1209,809,821,848,379,857,1022,1022,534,1296,590,772,631,518
1096,922,821,848,378,825,1055,902,654,1296,256,771,631,537
1100,922,793,876,331,696,1231,873,683,1296,255,771,629,654
1081,941,793,876,331,673,1254,866,690,1296,312,527,628,620
1079,943,793,869,326,685,1232,884,694,1150,312,434,575,562
1079,871,622,1109,321,674,1251,830,748,1144,312,358,575,539
1079,692,801,1100,330,674,1251,775,803,1106,479,358,586,549
1079,639,854,1063,367,669,1256,775,803,1106,489,184,596,453
1079,639,854,1044,386,598,1327,763,815,1088,530,118,613,427
1155,639,854,977,291,716,1358,776,815,1088,530,174,652,456
1253,639,854,906,354,724,1299,835,793,1090,530,193,825,456
1302,627,869,906,341,730,1306,835,792,1047,544,381,842,456
1264,685,704,1077,318,747,1233,914,790,1040,549,630,842,456
1190,687,690,1153,330,747,1068,1079,722,1108,440,609,842,456
1257,473,904,1138,345,747,1040,1071,746,1111,434,613,842,509
1091,683,904,1138,345,747,989,1087,780,1108,429,677,842,512
1033,741,904,916,567,747,945,920,991,989,420,682,842,518
1065,758,864,870,653,715,977,917,994,657,420,682,842,537
1065,713,879,895,658,598,1094,917,978,610,425,683,843,551
1065,713,879,895,658,579,1112,846,1049,580,476,683,842,551
1065,713,874,900,658,579,1112,704,1086,667,447,683,511,420
1052,707,828,967,658,532,1158,463,1304,588,446,683,398,414
649,1057,877,971,658,532,1108,513,1243,546,446,683,368,425
420,1283,880,883,746,521,917,715,1240,497,446,683,368,456
428,1283,880,883,746,515,852,786,1200,389,446,683,367,478
491,1275,888,805,824,453,888,812,1199,367,446,680,317,552
491,1274,869,808,841,360,930,863,1145,411,456,680,275,624
491,1268,865,765,836,392,927,892,1126,430,379,655,280,645
491,1268,864,766,810,418,811,1008,1126,430,360,715,323,618
491,1227,839,832,805,423,801,1018,1122,434,360,747,383,757
510,1209,812,820,846,437,803,1018,1108,448,374,752,424,746
510,1209,809,821,848,379,857,1022,1022,534,375,784,477,743
511,1096,922,821,848,378,825,1055,902,654,375,934,481,724
515,1100,922,793,876,331,696,1231,873,683,375,995,481,643
515,1081,941,793,876,331,673,1254,866,690,318,990,483,638
515,1079,943,793,869,326,685,1232,884,694,318,977,476,598
679,1079,871,622,1109,321,674,1251,830,748,318,969,476,715
682,1079,692,801,1100,330,674,1251,775,803,151,976,465,713
702,1079,639,854,1063,367,669,1256,775,803,380,977,455,753
760,1079,639,854,1044,386,598,1327,763,815,352,961,438,753
734,1155,639,854,977,291,716,1358,776,815,352,928,493,695
689,1253,639,854,906,354,724,1299,835,793,352,927,338,713
637,1302,627,869,906,341,730,1306,835,792,338,739,402,766
611,1264,685,704,1077,318,747,1233,914,790,333,490,471,839
609,1190,687,690,1153,330,747,1068,1079,722,333,489,522,848
542,1257,473,904,1138,345,747,1040,1071,746,333,485,547,795
505,1091,683,904,1138,345,747,989,1087,780,406,421,547,834
506,1033,741,904,916,567,747,945,920,991,409,416,552,828
457,1065,758,864,870,653,715,977,917,994,509,423,552,810
569,1065,713,879,895,658,598,1094,917,978,615,422,561,842
618,1065,713,879,895,658,579,1112,846,1049,592,422,561,852
668,1065,713,874,900,658,579,1112,704,1086,624,485,563,852
674,1052,707,828,967,658,532,1158,463,1304,624,485,573,854
674,649,1057,877,971,658,532,1108,513,1243,680,565,573,843
674,420,1283,880,883,746,521,917,715,1240,690,580,573,811
670,428,1283,880,883,746,515,852,786,1200,690,580,647,789
634,491,1275,888,805,824,453,888,812,1199,690,628,665,715
634,491,1274,869,808,841,360,930,863,1145,680,636,680,651
