Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
1553,82,933,1247,736,634,446,1087,1112,369,663,439,820,730,326,236,660
1539,88,803,1385,653,717,446,1043,1124,347,956,439,774,731,326,263,763
1666,124,782,1384,682,721,446,904,1221,356,967,439,754,731,326,401,804
1748,124,782,1384,635,768,446,470,1249,506,1206,439,620,731,263,416,846
1748,122,681,1487,598,805,442,469,1278,473,1196,454,620,731,263,473,900
1748,122,656,1512,528,875,441,469,1278,473,1155,469,620,731,263,416,902
1736,134,642,1428,520,958,464,469,1278,473,1138,469,678,731,236,656,902
1682,188,591,1468,517,950,486,469,1278,473,1075,465,793,731,376,584,902
1670,222,591,1468,382,1056,515,468,1271,473,1055,527,794,715,486,583,902
1391,501,591,1468,327,1104,522,468,1252,473,1043,569,799,702,491,583,902
1391,482,608,1470,302,977,674,409,1252,473,1043,535,799,664,534,583,902
1391,465,624,1456,317,977,674,409,1252,482,1024,647,987,660,534,583,870
1390,465,625,1456,317,976,675,354,1229,629,1024,519,982,645,598,586,860
1390,461,629,1456,317,964,687,326,1229,629,1022,545,953,635,603,586,860
1376,475,629,1346,427,960,691,327,1229,629,989,574,953,575,626,586,860
1320,531,629,1341,432,889,762,658,1233,658,1126,568,953,567,654,586,738
1239,612,629,1341,432,829,822,759,1239,658,1123,575,953,567,655,586,700
1234,617,629,1341,432,818,832,776,1167,658,1123,577,963,567,1015,651,678
1138,713,629,1213,557,815,817,673,1081,658,1123,709,963,567,1042,679,614
1020,831,629,1191,571,823,805,560,1053,658,1123,711,963,492,1138,679,624
1022,832,532,1288,548,846,793,610,1056,658,1123,794,966,567,1149,679,624
1020,834,482,1338,538,856,793,652,875,658,1123,782,1150,495,1164,679,624
867,1012,482,941,876,915,783,652,836,479,1123,778,1162,546,1164,678,624
878,1021,482,941,869,922,783,652,641,350,1123,745,1050,488,1164,657,624
860,1044,367,1017,908,922,782,631,641,350,1094,1020,917,489,1164,657,624
842,1062,219,1114,959,922,591,631,539,350,1086,1022,800,532,1164,657,569
772,1132,219,929,1144,922,573,631,518,350,1033,1024,800,579,1086,657,526
771,1113,223,898,1191,877,591,631,537,382,1144,1024,802,621,1056,657,525
771,1113,223,879,1160,906,516,629,654,388,1112,1024,802,647,1055,656,521
527,1363,223,866,1173,906,510,628,620,388,1029,1024,805,648,975,656,466
434,1469,223,842,1197,906,500,575,562,388,1060,1024,805,630,975,656,466
358,1553,82,933,1247,736,634,575,539,388,1025,1123,723,368,991,598,428
358,1539,88,803,1385,653,717,586,549,390,742,1123,713,380,1045,570,484
184,1666,124,782,1384,682,721,596,453,400,731,1123,910,411,1107,432,443
118,1748,124,782,1384,635,768,613,427,250,492,1158,912,554,1109,417,395
174,1748,122,681,1487,598,805,652,456,244,492,1143,1092,688,1140,347,341
193,1748,122,656,1512,528,875,825,456,285,492,1203,1102,705,1140,346,801
381,1736,134,642,1428,520,958,842,456,369,492,1372,1062,813,1200,96,801
630,1682,188,591,1468,517,950,842,456,399,493,1419,947,838,1041,96,801
609,1670,222,591,1468,382,1056,842,456,399,474,1309,946,898,930,96,823
613,1391,501,591,1468,327,1104,842,509,410,502,1241,993,899,924,96,838
677,1391,482,608,1470,302,977,842,512,481,515,1272,993,899,968,96,838
682,1391,465,624,1456,317,977,842,518,627,515,1114,805,899,968,276,838
682,1390,465,625,1456,317,976,842,537,517,515,1096,979,933,918,355,838
683,1390,461,629,1456,317,964,843,551,517,515,1069,1110,946,913,372,838
683,1376,475,629,1346,427,960,842,551,518,514,1039,1216,948,958,443,838
683,1320,531,629,1341,432,889,511,420,491,319,1034,1221,952,976,558,838
683,1239,612,629,1341,432,829,398,414,491,337,1027,1221,952,981,646,838
683,1234,617,629,1341,432,818,368,425,491,340,1025,1211,952,621,601,755
683,1138,713,629,1213,557,815,368,456,491,340,901,1211,952,665,597,744
683,1020,831,629,1191,571,823,367,478,491,370,904,1259,952,573,684,743
680,1022,832,532,1288,548,846,317,552,491,496,821,1263,873,562,689,763
680,1020,834,482,1338,538,856,275,624,491,550,784,1079,873,578,689,807
655,867,1012,482,941,876,915,280,645,491,581,819,1160,822,594,689,810
715,878,1021,482,941,869,922,323,618,491,581,819,1174,822,594,689,834
747,860,1044,367,1017,908,922,383,757,491,596,541,1147,834,594,689,926
752,842,1062,219,1114,959,922,424,746,491,703,553,1108,791,595,689,884
784,772,1132,219,929,1144,922,477,743,491,950,552,1108,829,651,689,880
934,771,1113,223,898,1191,877,481,724,459,871,598,1137,796,873,689,880
995,771,1113,223,879,1160,906,481,643,453,905,616,1137,936,1187,689,874
990,527,1363,223,866,1173,906,483,638,453,1257,616,1147,944,1353,689,874
977,434,1469,223,842,1197,906,476,598,453,1400,616,1147,929,1417,689,876
969,358,1553,82,933,1247,736,476,715,453,1421,529,1133,867,1445,689,884
976,358,1539,88,803,1385,653,465,713,473,1411,530,1138,854,1765,689,744
977,184,1666,124,782,1384,682,455,753,471,1412,530,941,823,1795,689,816
961,118,1748,124,782,1384,635,438,753,517,1413,495,1098,748,1853,689,816
928,174,1748,122,681,1487,598,493,695,703,1416,519,952,618,2031,689,831
927,193,1748,122,656,1512,528,338,713,671,1465,444,1081,613,2130,689,398
739,381,1736,134,642,1428,520,402,766,647,1651,275,1073,720,2088,689,402
490,630,1682,188,591,1468,517,471,839,640,1702,228,1128,696,2086,689,403
489,609,1670,222,591,1468,382,522,848,640,1720,227,1134,636,2089,718,502
485,613,1391,501,591,1468,327,547,795,629,1666,225,1205,663,2089,822,569
