Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
621,1412,836,977,252,417,409,693,1322
621,1412,738,977,263,453,409,693,1341
604,1429,709,976,265,517,410,693,1375
534,1499,697,964,318,526,282,668,1426
510,1523,628,960,340,512,282,654,1424
510,1519,622,889,342,529,282,654,1374
475,1509,591,829,336,527,282,654,1441
475,1499,601,818,336,523,285,654,1452
475,1315,707,815,323,523,282,654,1384
475,1308,706,823,302,436,282,653,1331
475,1281,704,846,302,435,282,653,1309
475,1146,801,856,302,435,282,585,1336
475,1031,914,915,342,435,282,646,1330
475,1008,930,922,383,435,282,706,1334
469,870,1066,922,383,443,282,708,1263
419,920,1066,922,406,472,282,530,1263
384,955,1066,922,470,515,282,433,1267
347,992,988,877,476,446,282,330,1161
347,992,830,906,476,412,283,271,952
132,1207,775,906,460,514,284,267,920
128,1211,720,906,463,510,284,267,868
107,1219,732,736,455,510,284,267,1064
102,1224,732,653,564,510,202,267,1087
102,1179,777,682,568,510,287,295,1117
102,1076,880,635,545,542,299,328,1123
83,976,999,598,551,563,326,393,1057
136,972,1016,528,500,569,370,405,1209
107,954,1042,520,475,569,518,430,1209
66,831,1206,517,475,571,525,465,1209
66,740,1294,382,475,571,432,466,1288
66,706,1328,327,545,523,403,498,1271
90,621,1412,302,568,538,402,750,1253
92,621,1412,317,559,503,402,809,1157
92,604,1429,317,565,502,401,818,1123
198,534,1499,317,607,694,401,818,1058
279,510,1523,427,590,892,405,818,1021
370,510,1519,432,584,877,413,818,1013
370,475,1509,432,584,877,413,818,929
398,475,1499,432,584,984,410,820,871
413,475,1315,557,584,984,452,820,870
433,475,1308,571,677,992,464,833,870
444,475,1281,548,766,992,500,869,881
479,475,1146,538,766,992,500,841,787
638,475,1031,876,726,992,506,780,779
724,475,1008,869,685,992,574,720,769
724,469,870,908,685,984,821,827,785
762,419,920,959,662,955,1091,771,760
902,384,955,1144,723,873,1091,711,750
903,347,992,1191,721,870,1121,711,748
903,347,992,1160,722,870,1158,727,745
903,132,1207,1173,737,721,1157,739,745
903,128,1211,1197,734,721,1247,745,745
951,107,1219,1247,733,721,1247,756,474
1112,102,1224,1385,624,721,1244,767,415
1159,102,1179,1384,563,721,1123,739,385
1177,102,1076,1384,563,689,1111,711,366
1183,83,976,1487,796,668,1179,646,312
1123,136,972,1512,796,675,1135,634,157
1195,107,954,1428,796,675,956,609,157
1443,66,831,1468,796,673,949,574,159
1443,66,740,1468,796,707,984,573,90
1443,66,706,1468,772,669,1005,559,117
1419,90,621,1470,749,710,1022,382,117
1417,92,621,1456,740,709,1046,334,117
1417,92,604,1456,758,640,1046,461,117
1311,198,534,1456,660,433,1046,461,208
1261,279,510,1346,649,224,1131,465,222
1204,370,510,1341,649,222,1123,488,222
1278,370,475,1341,649,295,1161,504,356
1250,398,475,1341,649,208,1161,517,364
1235,413,475,1213,649,299,1120,523,364
