Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
325,2000,1042,345,633,1312,1637,606,497
310,2010,780,612,633,1312,1299,944,513
219,2055,716,722,633,1282,1296,977,424
219,2052,710,731,633,1247,1326,980,424
211,2060,533,908,633,1247,1326,900,425
234,2065,531,868,675,1247,1309,871,573
197,1789,839,873,675,1246,1269,841,693
196,1767,839,896,675,1079,1414,765,778
196,1734,863,905,675,1079,1372,805,936
196,1675,865,962,675,1079,1298,879,937
279,1675,749,1078,675,1079,1245,932,925
267,1683,715,1090,701,1079,1164,1012,989
256,1687,713,912,888,1079,1164,1012,1032
328,1719,709,920,888,953,902,1400,1146
328,1538,890,920,888,316,1349,1590,1162
358,1292,1136,920,587,607,1303,1646,1162
441,1286,1144,920,587,604,1305,1647,1289
440,1218,1214,889,574,646,1209,1745,1352
443,1080,1352,882,573,650,1194,1764,1460
614,951,1470,891,523,702,1191,1767,1491
626,914,1507,891,523,702,1155,1803,1493
612,928,1507,891,482,740,1158,1603,1533
613,928,1507,891,479,724,1170,1587,1533
544,997,1507,891,464,645,1189,1658,1452
624,997,1507,889,465,646,1178,1669,1449
640,845,1659,889,465,646,1131,1649,1434
688,746,1758,889,465,632,1145,1649,1355
702,617,1805,985,421,509,1312,1649,1329
816,557,1768,1082,421,509,1312,1647,1329
821,511,1812,1090,421,509,1312,1647,1316
829,497,1828,1090,385,545,1312,1647,1316
906,325,2000,1042,345,633,1312,1637,1307
917,310,2010,780,612,633,1312,1299,1292
942,219,2055,716,722,633,1282,1296,1300
942,219,2052,710,731,633,1247,1326,1315
945,211,2060,533,908,633,1247,1326,1314
938,234,2065,531,868,675,1247,1309,1166
990,197,1789,839,873,675,1246,1269,1101
1012,196,1767,839,896,675,1079,1414,1016
1013,196,1734,863,905,675,1079,1372,858
1013,196,1675,865,962,675,1079,1298,857
930,279,1675,749,1078,675,1079,1245,858
987,267,1683,715,1090,701,1079,1164,828
1003,256,1687,713,912,888,1079,1164,799
895,328,1719,709,920,888,953,902,678
960,328,1538,890,920,888,316,1349,661
935,358,1292,1136,920,587,607,1303,661
861,441,1286,1144,920,587,604,1305,534
910,440,1218,1214,889,574,646,1209,471
943,443,1080,1352,882,573,650,1194,248
772,614,951,1470,891,523,702,1191,218
760,626,914,1507,891,523,702,1155,313
760,612,928,1507,891,482,740,1158,338
759,613,928,1507,891,479,724,1170,346
