Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
299,984,523,168,1059,660,409,403,1120
291,992,436,255,1036,683,409,366,1108
291,992,435,251,1021,703,409,366,1240
291,992,435,251,817,901,415,365,1240
291,992,435,251,650,1050,433,363,1234
291,992,435,251,549,1017,549,381,1230
305,984,443,251,482,985,648,381,983
326,955,472,251,440,1026,612,418,713
326,873,515,290,387,1079,612,418,713
327,870,446,362,348,1118,534,496,683
423,870,412,396,339,1127,475,555,645
423,721,514,443,279,1179,477,561,645
444,721,510,447,273,1086,574,563,555
444,721,510,447,273,1073,587,563,555
444,721,510,427,293,1073,587,563,555
444,721,510,427,293,1050,608,565,555
444,689,542,425,273,1072,581,592,555
444,668,563,394,292,1080,585,592,458
431,675,569,393,271,1102,553,624,484
484,675,569,385,271,1026,588,673,523
587,673,571,329,314,1016,567,717,549
568,707,571,329,313,1017,567,695,537
606,669,523,415,313,1017,565,680,611
548,710,538,417,281,1049,521,678,594
548,709,503,453,230,1091,521,501,570
623,640,502,517,235,1091,522,492,570
671,433,694,526,241,1091,522,432,570
695,224,892,512,266,1091,522,409,481
705,222,877,529,266,1075,538,409,481
634,295,877,527,263,1042,576,409,443
614,208,984,523,228,1082,577,409,443
523,299,984,523,168,1059,660,409,442
523,291,992,436,255,1036,683,409,442
523,291,992,435,251,1021,703,409,274
523,291,992,435,251,817,901,415,281
525,291,992,435,251,650,1050,433,281
661,291,992,435,251,549,1017,549,217
715,305,984,443,251,482,985,648,217
724,326,955,472,251,440,1026,612,232
776,326,873,515,290,387,1079,612,392
775,327,870,446,362,348,1118,534,392
679,423,870,412,396,339,1127,475,392
679,423,721,514,443,279,1179,477,396
681,444,721,510,447,273,1086,574,398
689,444,721,510,447,273,1073,587,471
689,444,721,510,427,293,1073,587,493
689,444,721,510,427,293,1050,608,493
689,444,689,542,425,273,1072,581,493
689,444,668,563,394,292,1080,585,532
689,431,675,569,393,271,1102,553,506
636,484,675,569,385,271,1026,588,467
533,587,673,571,329,314,1016,567,441
525,568,707,571,329,313,1017,567,417
506,606,669,523,415,313,1017,565,322
506,548,710,538,417,281,1049,521,322
506,548,709,503,453,230,1091,521,322
454,623,640,502,517,235,1091,522,322
406,671,433,694,526,241,1091,522,322
382,695,224,892,512,266,1091,522,322
499,705,222,877,529,266,1075,538,322
497,634,295,877,527,263,1042,576,322
567,614,208,984,523,228,1082,577,322
654,523,299,984,523,168,1059,660,322
682,523,291,992,436,255,1036,683,322
682,523,291,992,435,251,1021,703,322
863,523,291,992,435,251,817,901,315
900,525,291,992,435,251,650,1050,494
995,661,291,992,435,251,549,1017,623
927,715,305,984,443,251,482,985,623
1010,724,326,955,472,251,440,1026,608
982,776,326,873,515,290,387,1079,448
982,775,327,870,446,362,348,1118,448
983,679,423,870,412,396,339,1127,448
1022,679,423,721,514,443,279,1179,444
1097,681,444,721,510,447,273,1086,442
1112,689,444,721,510,447,273,1073,369
1124,689,444,721,510,427,293,1073,347
1221,689,444,721,510,427,293,1050,356
1249,689,444,689,542,425,273,1072,506
1278,689,444,668,563,394,292,1080,473
1278,689,431,675,569,393,271,1102,473
1278,636,484,675,569,385,271,1026,473
1278,533,587,673,571,329,314,1016,473
1271,525,568,707,571,329,313,1017,473
1252,506,606,669,523,415,313,1017,473
1252,506,548,710,538,417,281,1049,473
1252,506,548,709,503,453,230,1091,482
1229,454,623,640,502,517,235,1091,629
1229,406,671,433,694,526,241,1091,629
1229,382,695,224,892,512,266,1091,629
1233,499,705,222,877,529,266,1075,658
1239,497,634,295,877,527,263,1042,658
