Accum_y-0,T-1,T-2,Accum_y-1
330,355,770,739
297,378,708,700
297,378,705,700
297,378,705,725
297,378,476,725
297,378,428,725
297,370,428,725
317,370,309,731
297,388,311,735
292,375,309,735
292,312,347,735
287,297,316,735
295,296,321,735
295,215,351,735
283,219,359,732
283,219,359,552
283,219,339,475
283,219,339,471
288,211,337,471
314,211,337,471
314,211,337,500
314,211,337,373
314,181,367,311
352,181,342,289
360,102,391,228
390,94,399,198
360,124,388,190
330,154,358,275
287,197,358,276
225,259,358,267
154,330,358,228
154,330,355,486
144,297,378,507
144,297,378,507
186,297,378,533
186,297,378,533
186,297,378,632
186,297,370,632
179,317,370,626
187,297,388,627
187,292,375,627
187,292,312,627
218,287,297,693
255,295,296,693
364,295,215,693
425,283,219,693
425,283,219,693
433,283,219,693
433,283,219,693
428,288,211,693
402,314,211,765
402,314,211,866
402,314,211,871
402,314,181,893
364,352,181,972
356,360,102,1100
435,390,94,1106
435,360,124,1096
435,330,154,1008
488,287,197,947
488,225,259,947
528,154,330,947
630,154,330,940
633,144,297,919
648,144,297,1062
611,186,297,1073
674,186,297,1164
674,186,297,1100
711,186,297,1129
698,179,317,1129
690,187,297,1151
726,187,292,1151
741,187,292,1151
760,218,287,1151
754,255,295,1151
864,364,295,1158
811,425,283,1160
1097,425,283,1160
1101,433,283,1160
1102,433,283,1160
1104,428,288,1160
1104,402,314,1088
1105,402,314,958
1105,402,314,953
1164,402,314,931
1164,364,352,852
1164,356,360,724
1055,435,390,716
1055,435,360,716
1055,435,330,716
1002,488,287,716
1002,488,225,716
962,528,154,716
860,630,154,462
857,633,144,462
859,648,144,319
854,611,186,340
812,674,186,378
833,674,186,344
811,711,186,315
811,698,179,319
937,690,187,299
1032,726,187,304
1032,741,187,304
989,760,218,238
946,754,255,238
729,864,364,231
735,811,425,267
451,1097,425,272
458,1101,433,276
457,1102,433,276
467,1104,428,276
552,1104,402,317
590,1105,402,317
590,1105,402,447
531,1164,402,468
536,1164,364,468
536,1164,356,471
536,1055,435,471
542,1055,435,494
598,1055,435,494
729,1002,488,536
829,1002,488,597
832,962,528,597
971,860,630,597
1021,857,633,605
1004,859,648,605
1004,854,611,522
997,812,674,433
977,833,674,777
980,811,711,777
980,811,698,885
854,937,690,1024
725,1032,726,1110
710,1032,741,1225
705,989,760,1237
700,946,754,1237
728,729,864,1237
714,735,811,1199
712,451,1097,1196
718,458,1101,1302
753,457,1102,1326
805,467,1104,1326
861,552,1104,1474
822,590,1105,1829
822,590,1105,1722
822,531,1164,1777
817,536,1164,1787
817,536,1164,1784
817,536,1055,1784
811,542,1055,1761
770,598,1055,1761
639,729,1002,1719
540,829,1002,1658
579,832,962,1696
440,971,860,1877
401,1021,857,1921
402,1004,859,1922
656,1004,854,1922
642,997,812,1882
651,977,833,1565
633,980,811,1565
633,980,811,1453
633,854,937,1379
676,725,1032,1376
734,710,1032,1261
753,705,989,1249
753,700,946,1249
723,728,729,1249
723,714,735,1249
723,712,451,1247
698,718,458,1206
663,753,457,1386
599,805,467,1387
458,861,552,1212
458,822,590,858
458,822,590,839
458,822,531,763
458,817,536,812
458,817,536,825
458,817,536,959
458,811,542,959
443,770,598,959
501,639,729,988
505,540,829,989
478,579,832,951
500,440,971,770
490,401,1021,718
490,402,1004,717
237,656,1004,717
239,642,997,717
229,651,977,689
229,633,980,689
229,633,980,720
229,633,854,722
245,676,725,634
270,734,710,634
251,753,705,727
251,753,700,762
251,723,728,762
251,723,714,762
255,723,712,799
279,698,718,730
279,663,753,526
279,599,805,525
279,458,861,512
283,458,822,511
295,458,822,507
295,458,822,523
295,458,817,531
299,458,817,518
310,458,817,385
336,458,811,406
369,443,770,423
311,501,639,394
306,505,540,519
293,478,579,627
271,500,440,708
270,490,401,804
269,490,402,858
268,237,656,1013
266,239,642,1046
266,229,651,1134
266,229,633,1138
266,229,633,1108
266,229,633,1034
207,245,676,1034
126,270,734,1035
124,251,753,944
124,251,753,909
124,251,723,909
124,251,723,924
120,255,723,888
96,279,698,888
97,279,663,890
97,279,599,891
97,279,458,893
93,283,458,893
87,295,458,930
95,295,458,915
116,295,458,848
167,299,458,850
579,310,458,849
589,336,458,832
564,369,443,820
698,311,501,821
708,306,505,722
784,293,478,754
784,271,500,702
788,270,490,612
860,269,490,559
1055,268,237,410
1208,266,239,388
1302,266,229,306
1608,266,229,302
1659,266,229,332
1671,266,229,347
1669,207,245,377
1690,126,270,480
1719,124,251,495
1737,124,251,577
1758,124,251,717
1776,124,251,809
1779,120,255,883
1779,96,279,884
1778,97,279,882
1783,97,279,883
1826,97,279,887
1841,93,283,889
1872,87,295,852
1883,95,295,851
2057,116,295,901
2057,167,299,1010
1690,579,310,1092
1871,589,336,1091
1902,564,369,1086
1787,698,311,1314
1792,708,306,1335
1719,784,293,1203
1719,784,271,1293
1715,788,270,1287
1654,860,269,1306
1464,1055,268,1325
1311,1208,266,1365
1217,1302,266,1364
911,1608,266,1415
860,1659,266,1384
852,1671,266,1369
897,1669,207,1359
948,1690,126,1255
1015,1719,124,1248
1006,1737,124,1166
985,1758,124,1026
967,1776,124,919
964,1779,120,844
973,1779,96,868
973,1778,97,898
968,1783,97,896
925,1826,97,900
941,1841,93,928
904,1872,87,928
903,1883,95,928
708,2057,116,878
653,2057,167,770
597,1690,579,708
380,1871,589,705
341,1902,564,705
323,1787,698,476
308,1792,708,428
303,1719,784,428
303,1719,784,309
303,1715,788,311
292,1654,860,309
290,1464,1055,347
309,1311,1208,316
341,1217,1302,321
343,911,1608,351
344,860,1659,359
357,852,1671,359
357,897,1669,339
283,948,1690,339
187,1015,1719,337
178,1006,1737,337
181,985,1758,337
186,967,1776,337
192,964,1779,367
183,973,1779,342
183,973,1778,391
183,968,1783,399
183,925,1826,388
154,941,1841,358
155,904,1872,358
174,903,1883,358
202,708,2057,358
202,653,2057,355
221,597,1690,378
221,380,1871,378
221,341,1902,378
224,323,1787,378
226,308,1792,378
226,303,1719,370
226,303,1719,370
227,303,1715,388
227,292,1654,375
224,290,1464,312
221,309,1311,297
272,341,1217,296
271,343,911,215
270,344,860,219
253,357,852,219
208,357,897,219
208,283,948,219
208,187,1015,211
208,178,1006,211
205,181,985,211
200,186,967,211
194,192,964,181
194,183,973,181
194,183,973,102
194,183,968,94
194,183,925,124
192,154,941,154
198,155,904,197
161,174,903,259
133,202,708,330
133,202,653,330
119,221,597,297
119,221,380,297
174,221,341,297
218,224,323,297
238,226,308,297
317,226,303,297
317,226,303,317
316,227,303,297
316,227,292,292
316,224,290,292
312,221,309,287
252,272,341,295
318,271,343,295
358,270,344,283
402,253,357,283
423,208,357,283
517,208,283,283
612,208,187,288
690,208,178,314
846,205,181,314
915,200,186,314
917,194,192,314
917,194,183,352
961,194,183,360
961,194,183,390
1193,194,183,360
1193,192,154,330
1186,198,155,287
1264,161,174,225
1330,133,202,154
1330,133,202,154
1327,119,221,144
1358,119,221,144
1303,174,221,186
1297,218,224,186
1275,238,226,186
1196,317,226,186
1196,317,226,179
1238,316,227,187
1262,316,227,187
1265,316,224,187
1260,312,221,218
1238,252,272,255
1182,318,271,364
1258,358,270,425
1214,402,253,425
1193,423,208,433
1099,517,208,433
1004,612,208,428
926,690,208,402
770,846,205,402
701,915,200,402
700,917,194,402
700,917,194,364
701,961,194,356
704,961,194,435
472,1193,194,435
754,1193,192,435
772,1186,198,488
695,1264,161,488
708,1330,133,528
750,1330,133,630
748,1327,119,633
717,1358,119,648
717,1303,174,611
819,1297,218,674
822,1275,238,674
889,1196,317,711
889,1196,317,698
857,1238,316,690
963,1262,316,726
960,1265,316,741
954,1260,312,760
970,1238,252,754
1165,1182,318,864
1083,1258,358,811
1084,1214,402,1097
1084,1193,423,1101
1152,1099,517,1102
1152,1004,612,1104
1152,926,690,1104
1152,770,846,1105
1154,701,915,1105
1206,700,917,1164
1207,700,917,1164
1162,701,961,1164
1159,704,961,1055
1159,472,1193,1055
877,754,1193,1055
980,772,1186,1002
1038,695,1264,1002
961,708,1330,962
1062,750,1330,860
1071,748,1327,857
1074,717,1358,859
1159,717,1303,854
