Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3
938,234,2065,531,868,675,1247,1166,1311,1365
990,197,1789,839,873,675,1246,1101,1217,1364
1012,196,1767,839,896,675,1079,1016,911,1415
1013,196,1734,863,905,675,1079,858,860,1384
1013,196,1675,865,962,675,1079,857,852,1369
930,279,1675,749,1078,675,1079,858,897,1359
987,267,1683,715,1090,701,1079,828,948,1255
1003,256,1687,713,912,888,1079,799,1015,1248
895,328,1719,709,920,888,953,678,1006,1166
960,328,1538,890,920,888,316,661,985,1026
935,358,1292,1136,920,587,607,661,967,919
861,441,1286,1144,920,587,604,534,964,844
910,440,1218,1214,889,574,646,471,973,868
943,443,1080,1352,882,573,650,248,973,898
772,614,951,1470,891,523,702,218,968,896
760,626,914,1507,891,523,702,313,925,900
760,612,928,1507,891,482,740,338,941,928
759,613,928,1507,891,479,724,346,904,928
792,544,997,1507,891,464,645,377,903,928
