Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3
1402,877,754,1193,192,154,941,598,494,786
1392,980,772,1186,198,155,904,729,536,786
1339,1038,695,1264,161,174,903,829,597,786
1340,961,708,1330,133,202,708,832,597,776
1197,1062,750,1330,133,202,653,971,597,743
1194,1071,748,1327,119,221,597,1021,605,704
1191,1074,717,1358,119,221,380,1004,605,663
1106,1159,717,1303,174,221,341,1004,522,832
906,1215,819,1297,218,224,323,997,433,855
610,1508,822,1275,238,226,308,977,777,810
459,1592,889,1196,317,226,303,980,777,935
443,1614,889,1196,317,226,303,980,885,935
438,1609,857,1238,316,227,303,854,1024,935
437,1480,963,1262,316,227,292,725,1110,935
437,1480,960,1265,316,224,290,710,1225,830
437,1479,954,1260,312,221,309,705,1237,811
445,1462,970,1238,252,272,341,700,1237,793
551,1281,1165,1182,318,271,343,728,1237,790
551,1247,1083,1258,358,270,344,714,1199,793
604,1246,1084,1214,402,253,357,712,1196,735
605,1246,1084,1193,423,208,357,718,1302,538
608,1178,1152,1099,517,208,283,753,1326,516
608,1178,1152,1004,612,208,187,805,1326,533
426,1360,1152,926,690,208,178,861,1474,533
394,1392,1152,770,846,205,181,822,1829,495
395,1390,1154,701,915,200,186,822,1722,495
357,1375,1206,700,917,194,192,822,1777,490
421,1374,1207,700,917,194,183,817,1787,490
397,1398,1162,701,961,194,183,817,1784,490
396,1399,1159,704,961,194,183,817,1784,591
396,1399,1159,472,1193,194,183,811,1761,552
407,1402,877,754,1193,192,154,770,1761,626
296,1392,980,772,1186,198,155,639,1719,816
290,1339,1038,695,1264,161,174,540,1658,819
287,1340,961,708,1330,133,202,579,1696,819
287,1197,1062,750,1330,133,202,440,1877,800
281,1194,1071,748,1327,119,221,401,1921,800
281,1191,1074,717,1358,119,221,402,1922,800
281,1106,1159,717,1303,174,221,656,1922,631
342,906,1215,819,1297,218,224,642,1882,608
383,610,1508,822,1275,238,226,651,1565,608
383,459,1592,889,1196,317,226,633,1565,389
390,443,1614,889,1196,317,226,633,1453,482
410,438,1609,857,1238,316,227,633,1379,482
454,437,1480,963,1262,316,227,676,1376,482
454,437,1480,960,1265,316,224,734,1261,482
454,437,1479,954,1260,312,221,753,1249,482
