Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
502,823,280,617,820
569,838,243,617,400
637,838,241,622,364
671,838,239,681,384
706,838,251,681,383
706,838,251,716,311
713,838,251,790,319
967,838,251,790,328
1073,838,251,790,294
1124,755,251,803,231
1124,744,266,815,186
1115,743,336,885,219
1095,763,369,889,219
1051,807,404,892,219
1176,810,385,931,219
1176,834,398,958,219
1194,926,411,963,219
1170,884,411,963,181
1170,880,411,1002,183
1180,880,411,908,176
1188,874,411,825,175
1291,874,409,785,175
1291,876,411,788,175
1283,884,425,731,176
1264,744,380,721,176
1259,816,337,656,176
1266,816,337,528,176
1254,831,337,471,191
1246,398,295,471,197
1303,402,296,492,201
1349,403,238,553,243
1252,502,238,587,243
1170,569,238,631,243
1102,637,247,651,299
1068,671,247,622,406
1033,706,235,681,456
1033,706,235,648,649
1026,713,235,576,689
772,967,235,576,750
719,1073,235,603,886
668,1124,235,609,916
668,1124,220,597,887
668,1115,150,530,926
723,1095,117,526,989
729,1051,86,529,995
613,1176,86,491,1215
657,1176,191,471,1646
549,1194,249,466,1738
561,1170,331,466,1845
665,1170,530,356,1900
655,1180,561,356,1975
647,1188,561,357,1975
544,1291,561,366,1988
542,1291,559,546,1993
542,1283,537,618,2009
548,1264,537,710,2080
517,1259,542,753,2144
512,1266,547,801,2322
509,1254,547,809,2307
488,1246,525,820,2337
457,1303,524,800,2432
410,1349,524,739,2431
403,1252,524,705,2560
403,1170,525,665,2721
403,1102,522,640,2685
403,1068,522,657,2553
403,1033,531,614,2494
403,1033,549,682,2301
403,1026,549,711,2250
403,772,550,747,2230
350,719,550,720,2134
350,668,550,711,2158
350,668,550,712,2120
350,668,550,709,2038
295,723,550,709,1975
315,729,546,808,1969
389,613,546,807,1773
321,657,428,823,1348
319,549,357,853,1256
346,561,275,1387,1152
244,665,78,1509,1126
248,655,52,1525,1057
248,647,52,1816,1107
250,544,73,1921,1153
253,542,73,1762,1253
253,542,73,1930,1253
247,548,73,2053,1185
211,517,68,2024,1129
209,512,63,1976,951
209,509,63,1983,958
209,488,123,2023,994
179,457,124,2022,994
185,410,124,2035,968
228,403,124,2035,839
228,403,123,2036,695
228,403,117,2036,674
228,403,122,2008,677
228,403,113,1997,681
246,403,121,1967,681
259,403,124,1992,681
380,403,297,1991,626
538,350,304,2022,586
627,350,308,2019,531
636,350,308,2226,531
636,350,353,2271,531
643,295,378,2320,531
790,315,534,2221,531
709,389,569,2298,507
717,321,723,2325,501
731,319,723,2312,501
692,346,723,1778,528
703,244,724,1715,513
847,248,719,1732,532
1129,248,719,1464,482
1244,250,733,1356,423
1244,253,733,1320,320
1244,253,735,1080,351
1245,247,751,874,350
1245,211,751,935,390
1299,209,751,978,441
1321,209,751,963,434
1334,209,691,970,362
1334,179,690,994,266
1328,185,697,981,253
1268,228,697,1003,283
1268,228,697,998,266
1268,228,697,998,266
1268,228,692,979,263
1268,228,692,974,269
1250,246,666,934,298
1253,259,663,878,298
1133,380,489,888,360
975,538,482,884,366
886,627,478,1047,383
882,636,478,952,426
925,636,433,1012,526
926,643,423,969,526
753,790,339,967,582
748,709,345,890,594
759,717,205,840,599
745,731,205,823,620
757,692,205,854,638
744,703,239,806,626
596,847,240,834,601
347,1129,240,834,614
232,1244,224,859,615
229,1244,236,859,613
229,1244,234,918,644
228,1245,218,910,743
228,1245,218,835,734
177,1299,218,792,683
158,1321,229,792,763
155,1334,229,734,785
174,1334,229,711,787
174,1328,222,711,788
174,1268,222,689,786
174,1268,222,689,921
174,1268,222,731,931
174,1268,228,731,996
174,1268,240,731,992
174,1250,240,731,983
159,1253,240,731,983
158,1133,240,724,921
158,975,240,700,914
158,886,240,609,897
153,882,240,683,854
110,925,240,679,754
102,926,225,719,754
102,753,153,716,698
102,748,112,716,686
83,759,106,716,681
83,745,110,716,723
98,757,110,745,682
195,744,73,772,679
242,596,72,711,693
220,347,80,687,680
229,232,61,708,679
229,229,49,726,679
229,229,53,667,600
229,228,160,666,499
229,228,183,666,460
227,177,183,666,523
427,158,172,666,453
517,155,177,666,482
516,174,207,665,477
517,174,207,665,534
587,174,207,665,506
617,174,207,665,371
638,174,207,623,361
653,174,201,623,297
653,174,189,623,297
653,174,189,623,329
678,159,190,623,329
710,158,212,653,329
710,158,329,757,329
849,158,430,806,362
851,153,495,621,369
927,110,495,520,464
1054,102,498,474,577
1054,102,528,473,583
1054,102,531,473,698
1054,83,523,473,718
1054,83,568,509,655
1027,98,641,449,672
930,195,713,421,674
883,242,713,438,660
872,220,705,470,660
861,229,705,448,660
861,229,705,449,660
861,229,840,472,660
861,229,749,512,794
861,229,726,552,825
860,227,726,599,926
657,427,726,610,938
557,517,721,610,898
731,516,691,645,900
866,517,691,645,840
796,587,691,645,840
766,617,691,646,859
885,638,691,646,864
870,653,691,658,863
1077,653,691,689,857
1116,653,691,689,805
1090,678,690,705,805
1092,710,668,649,805
1310,710,551,577,805
1171,849,450,508,772
1178,851,385,506,765
1144,927,480,506,670
1098,1054,484,533,557
1180,1054,464,533,551
1410,1054,461,533,436
1516,1054,466,533,416
1606,1054,417,497,416
1747,1027,344,497,391
1843,930,272,487,388
1843,883,273,470,388
1871,872,286,438,388
1911,861,295,408,388
1921,861,316,389,388
1989,861,251,400,388
