Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
409,420,912,840,1618,1417,416,552,828,403,1739
509,420,871,881,1618,1417,423,552,810,366,1857
615,425,847,810,1713,1311,422,561,842,366,1886
592,476,751,899,1689,1261,422,561,852,365,2073
624,447,771,907,1656,1204,485,563,852,363,2089
624,446,772,906,1583,1278,485,573,854,381,2072
680,446,767,903,1591,1250,565,573,843,381,2111
690,446,767,901,1593,1235,580,573,811,418,2138
690,446,767,901,1588,1220,580,647,789,418,2154
690,446,716,952,1560,1237,628,665,715,496,2127
680,456,659,1009,1472,1290,636,680,651,555,2080
680,379,710,1035,1428,1175,695,675,742,561,2049
826,360,729,1035,1304,1213,697,632,733,563,2049
832,360,679,1028,1307,1267,758,572,594,563,2034
856,374,668,963,1382,1230,782,539,607,563,1984
855,375,590,974,1417,1122,776,486,619,565,1742
873,375,256,1304,1369,1173,885,482,629,592,1731
873,375,255,1268,1313,1266,851,520,592,592,1697
893,318,312,1267,1197,1383,927,518,592,624,1406
937,318,312,1267,1155,1425,929,542,616,673,1228
946,318,312,1267,1084,1448,929,569,499,717,1123
946,151,479,1267,962,1409,947,593,481,695,1132
716,380,489,1223,992,1376,946,593,440,680,1141
707,352,530,1179,995,1399,947,593,438,678,1144
826,352,530,1179,987,1401,924,499,457,501,1209
1158,352,530,1179,984,1398,906,607,452,492,1188
1221,338,544,1179,936,1374,993,619,399,432,1005
1252,333,549,1087,834,1320,1105,666,326,409,953
1270,333,440,1196,659,1495,1122,671,317,409,935
1373,333,434,1202,625,1529,1128,668,317,409,935
1403,406,429,1207,565,1589,1196,668,275,409,872
1452,409,420,912,840,1618,1279,699,275,409,849
1500,509,420,871,881,1618,1278,699,274,409,731
1412,615,425,847,810,1713,1278,689,228,409,702
1394,592,476,751,899,1689,1320,689,218,415,515
1362,624,447,771,907,1656,1292,687,218,433,504
1362,624,446,772,906,1583,1293,677,216,549,504
1306,680,446,767,903,1591,1213,677,216,648,469
1296,690,446,767,901,1593,1198,689,216,612,479
1296,690,446,767,901,1588,1242,680,272,612,437
1296,690,446,716,952,1560,1194,667,356,534,338
1296,680,456,659,1009,1472,1186,660,440,475,331
1296,680,379,710,1035,1428,1127,680,344,477,331
1150,826,360,729,1035,1304,1045,680,344,574,387
1144,832,360,679,1028,1307,947,680,344,587,412
1106,856,374,668,963,1382,918,672,346,587,511
1106,855,375,590,974,1417,892,672,365,608,509
1088,873,375,256,1304,1369,633,672,402,581,524
1088,873,375,255,1268,1313,606,634,419,585,530
1090,893,318,312,1267,1197,529,642,419,553,572
1047,937,318,312,1267,1155,527,645,395,588,619
