Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
550,235,251,685,820,436,711
550,220,266,642,863,436,712
550,150,336,642,863,436,709
550,117,369,640,865,398,709
546,86,404,552,953,398,808
546,86,385,569,955,386,807
428,191,398,568,956,386,823
357,249,411,568,956,386,853
275,331,411,568,956,386,1387
78,530,411,568,956,386,1509
52,561,411,568,873,391,1525
52,561,411,568,792,472,1816
73,561,409,494,801,539,1921
73,559,411,493,802,539,1762
73,537,425,500,803,455,1930
73,537,380,414,892,440,2053
68,542,337,457,885,439,2024
63,547,337,457,850,474,1976
63,547,337,457,850,474,1983
123,525,295,469,902,474,2023
124,524,296,468,903,474,2022
124,524,238,296,1132,475,2035
124,524,238,280,1042,581,2035
123,525,238,243,1079,581,2036
117,522,247,241,1006,656,2036
122,522,247,239,1008,656,2008
113,531,235,251,947,620,1997
121,549,235,251,766,740,1967
124,549,235,251,764,742,1992
297,550,235,251,726,780,1991
304,550,235,251,692,814,2022
308,550,235,251,685,820,2019
308,550,220,266,642,863,2226
353,550,150,336,642,863,2271
378,550,117,369,640,865,2320
534,546,86,404,552,953,2221
569,546,86,385,569,955,2298
723,428,191,398,568,956,2325
723,357,249,411,568,956,2312
723,275,331,411,568,956,1778
724,78,530,411,568,956,1715
719,52,561,411,568,873,1732
719,52,561,411,568,792,1464
733,73,561,409,494,801,1356
733,73,559,411,493,802,1320
735,73,537,425,500,803,1080
751,73,537,380,414,892,874
751,68,542,337,457,885,935
751,63,547,337,457,850,978
751,63,547,337,457,850,963
691,123,525,295,469,902,970
690,124,524,296,468,903,994
697,124,524,238,296,1132,981
697,124,524,238,280,1042,1003
697,123,525,238,243,1079,998
697,117,522,247,241,1006,998
692,122,522,247,239,1008,979
692,113,531,235,251,947,974
666,121,549,235,251,766,934
663,124,549,235,251,764,878
489,297,550,235,251,726,888
482,304,550,235,251,692,884
478,308,550,235,251,685,1047
478,308,550,220,266,642,952
433,353,550,150,336,642,1012
423,378,550,117,369,640,969
339,534,546,86,404,552,967
345,569,546,86,385,569,890
205,723,428,191,398,568,840
205,723,357,249,411,568,823
205,723,275,331,411,568,854
239,724,78,530,411,568,806
240,719,52,561,411,568,834
240,719,52,561,411,568,834
224,733,73,561,409,494,859
236,733,73,559,411,493,859
234,735,73,537,425,500,918
218,751,73,537,380,414,910
218,751,68,542,337,457,835
218,751,63,547,337,457,792
229,751,63,547,337,457,792
229,691,123,525,295,469,734
229,690,124,524,296,468,711
222,697,124,524,238,296,711
222,697,124,524,238,280,689
222,697,123,525,238,243,689
222,697,117,522,247,241,731
228,692,122,522,247,239,731
240,692,113,531,235,251,731
240,666,121,549,235,251,731
240,663,124,549,235,251,731
240,489,297,550,235,251,724
