Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
1034,722,1379,1024,299,1151,627,802,634,690,628,665
1034,634,1376,1110,304,1151,627,955,634,680,636,680
1035,634,1261,1225,304,1151,627,955,640,680,695,675
944,727,1249,1237,238,1151,693,955,642,826,697,632
909,762,1249,1237,238,1151,693,955,648,832,758,572
909,762,1249,1237,231,1158,693,955,657,856,782,539
924,762,1249,1199,267,1160,693,959,720,855,776,486
888,799,1247,1196,272,1160,693,1143,729,873,885,482
888,730,1206,1302,276,1160,693,1155,737,873,851,520
890,526,1386,1326,276,1160,693,1187,737,893,927,518
891,525,1387,1326,276,1160,693,1189,737,937,929,542
893,512,1212,1474,317,1088,765,1349,573,946,929,569
893,511,858,1829,317,958,866,1453,570,946,947,593
930,507,839,1722,447,953,871,1547,550,716,946,593
915,523,763,1777,468,931,893,1547,527,707,947,593
848,531,812,1787,468,852,972,1558,553,826,924,499
850,518,825,1784,471,724,1100,1538,508,1158,906,607
849,385,959,1784,471,716,1106,1549,561,1221,993,619
832,406,959,1761,494,716,1096,1473,654,1252,1105,666
820,423,959,1761,494,716,1008,1367,778,1270,1122,671
821,394,988,1719,536,716,947,1388,848,1373,1128,668
722,519,989,1658,597,716,947,1416,842,1403,1196,668
754,627,951,1696,597,716,947,1408,841,1452,1279,699
702,708,770,1877,597,462,940,1425,854,1500,1278,699
612,804,718,1921,605,462,919,1467,743,1412,1278,689
559,858,717,1922,605,319,1062,1437,694,1394,1320,689
410,1013,717,1922,522,340,1073,1438,644,1362,1292,687
388,1046,717,1882,433,378,1164,1438,636,1362,1293,677
306,1134,689,1565,777,344,1100,1437,641,1306,1213,677
302,1138,689,1565,777,315,1129,1427,641,1296,1198,689
332,1108,720,1453,885,319,1129,1424,637,1296,1242,680
347,1034,722,1379,1024,299,1151,1262,637,1296,1194,667
377,1034,634,1376,1110,304,1151,1107,643,1296,1186,660
480,1035,634,1261,1225,304,1151,1112,642,1296,1127,680
495,944,727,1249,1237,238,1151,1119,661,1150,1045,680
577,909,762,1249,1237,238,1151,1143,657,1144,947,680
717,909,762,1249,1237,231,1158,1316,630,1106,918,672
809,924,762,1249,1199,267,1160,1323,567,1106,892,672
883,888,799,1247,1196,272,1160,1214,557,1088,633,672
884,888,730,1206,1302,276,1160,1217,541,1088,606,634
882,890,526,1386,1326,276,1160,1180,541,1090,529,642
883,891,525,1387,1326,276,1160,1209,541,1047,527,645
887,893,512,1212,1474,317,1088,1049,541,1040,527,629
889,893,511,858,1829,317,958,1079,541,1108,502,606
852,930,507,839,1722,447,953,1040,541,1111,627,640
851,915,523,763,1777,468,931,1127,520,1108,705,704
901,848,531,812,1787,468,852,1119,444,989,803,721
1010,850,518,825,1784,471,724,1106,436,657,832,595
1092,849,385,959,1784,471,716,1050,383,610,757,502
1091,832,406,959,1761,494,716,1049,290,580,714,386
1086,820,423,959,1761,494,716,974,169,667,707,336
1314,821,394,988,1719,536,716,919,99,588,777,314
1335,722,519,989,1658,597,716,886,98,546,709,314
1203,754,627,951,1696,597,716,802,98,497,704,278
1293,702,708,770,1877,597,462,798,85,389,706,278
1287,612,804,718,1921,605,462,706,84,367,735,278
1306,559,858,717,1922,605,319,692,84,411,731,319
1325,410,1013,717,1922,522,340,691,84,430,698,319
1365,388,1046,717,1882,433,378,709,84,430,704,319
1364,306,1134,689,1565,777,344,709,88,434,712,319
1415,302,1138,689,1565,777,315,709,88,448,712,307
1384,332,1108,720,1453,885,319,774,88,534,668,247
1369,347,1034,722,1379,1024,299,845,81,654,746,374
1359,377,1034,634,1376,1110,304,845,263,683,904,374
1255,480,1035,634,1261,1225,304,840,365,690,959,354
1248,495,944,727,1249,1237,238,833,356,694,1014,380
1166,577,909,762,1249,1237,238,815,354,748,1015,387
1026,717,909,762,1249,1237,231,645,381,803,1015,387
919,809,924,762,1249,1199,267,634,750,803,1015,387
844,883,888,799,1247,1196,272,602,750,815,1015,387
868,884,888,730,1206,1302,276,549,750,815,1015,391
898,882,890,526,1386,1326,276,549,750,793,1015,384
896,883,891,525,1387,1326,276,519,750,792,1036,357
900,887,893,512,1212,1474,317,535,750,790,1036,346
928,889,893,511,858,1829,317,468,750,722,1039,345
928,852,930,507,839,1722,447,417,750,746,914,311
928,851,915,523,763,1777,468,351,736,780,836,247
878,901,848,531,812,1787,468,357,736,991,738,230
770,1010,850,518,825,1784,471,441,764,994,709,230
708,1092,849,385,959,1784,471,604,771,978,697,230
705,1091,832,406,959,1761,494,607,778,1049,628,230
705,1086,820,423,959,1761,494,644,775,1086,622,224
476,1314,821,394,988,1719,536,644,775,1304,591,224
428,1335,722,519,989,1658,597,641,786,1243,601,225
428,1203,754,627,951,1696,597,641,786,1240,707,246
309,1293,702,708,770,1877,597,628,888,1200,706,258
311,1287,612,804,718,1921,605,621,1042,1199,704,270
309,1306,559,858,717,1922,605,622,1063,1145,801,229
347,1325,410,1013,717,1922,522,622,1083,1126,914,239
316,1365,388,1046,717,1882,433,601,1086,1126,930,239
321,1364,306,1134,689,1565,777,620,1077,1122,1066,240
351,1415,302,1138,689,1565,777,627,1080,1108,1066,431
359,1384,332,1108,720,1453,885,562,1148,1022,1066,444
359,1369,347,1034,722,1379,1024,517,1139,902,988,339
339,1359,377,1034,634,1376,1110,556,951,873,830,427
339,1255,480,1035,634,1261,1225,556,848,866,775,433
337,1248,495,944,727,1249,1237,556,837,884,720,417
337,1166,577,909,762,1249,1237,570,837,830,732,446
337,1026,717,909,762,1249,1237,574,835,775,732,446
337,919,809,924,762,1249,1199,708,485,775,777,446
367,844,883,888,799,1247,1196,708,485,763,880,446
342,868,884,888,730,1206,1302,749,485,776,999,442
391,898,882,890,526,1386,1326,778,485,835,1016,441
399,896,883,891,525,1387,1326,804,489,835,1042,464
388,900,887,893,512,1212,1474,982,489,914,1206,486
358,928,889,893,511,858,1829,935,508,1079,1294,515
358,928,852,930,507,839,1722,931,510,1071,1328,522
358,928,851,915,523,763,1777,910,510,1087,1412,674
358,878,901,848,531,812,1787,901,632,920,1412,674
355,770,1010,850,518,825,1784,816,672,917,1429,675
378,708,1092,849,385,959,1784,692,720,917,1499,687
378,705,1091,832,406,959,1761,689,713,846,1523,691
378,705,1086,820,423,959,1761,652,765,704,1519,762
378,476,1314,821,394,988,1719,652,780,463,1509,822
378,428,1335,722,519,989,1658,652,837,513,1499,832
370,428,1203,754,627,951,1696,652,838,715,1315,817
370,309,1293,702,708,770,1877,652,743,786,1308,805
388,311,1287,612,804,718,1921,652,592,812,1281,793
375,309,1306,559,858,717,1922,651,571,863,1146,793
312,347,1325,410,1013,717,1922,651,551,892,1031,783
