Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2
690,446,767,901,1593,1235,413,475,1315,707,580,573
690,446,767,901,1588,1220,433,475,1308,706,580,647
690,446,716,952,1560,1237,444,475,1281,704,628,665
680,456,659,1009,1472,1290,479,475,1146,801,636,680
680,379,710,1035,1428,1175,638,475,1031,914,695,675
826,360,729,1035,1304,1213,724,475,1008,930,697,632
832,360,679,1028,1307,1267,724,469,870,1066,758,572
856,374,668,963,1382,1230,762,419,920,1066,782,539
855,375,590,974,1417,1122,902,384,955,1066,776,486
873,375,256,1304,1369,1173,903,347,992,988,885,482
873,375,255,1268,1313,1266,903,347,992,830,851,520
893,318,312,1267,1197,1383,903,132,1207,775,927,518
937,318,312,1267,1155,1425,903,128,1211,720,929,542
946,318,312,1267,1084,1448,951,107,1219,732,929,569
946,151,479,1267,962,1409,1112,102,1224,732,947,593
716,380,489,1223,992,1376,1159,102,1179,777,946,593
707,352,530,1179,995,1399,1177,102,1076,880,947,593
826,352,530,1179,987,1401,1183,83,976,999,924,499
1158,352,530,1179,984,1398,1123,136,972,1016,906,607
1221,338,544,1179,936,1374,1195,107,954,1042,993,619
1252,333,549,1087,834,1320,1443,66,831,1206,1105,666
1270,333,440,1196,659,1495,1443,66,740,1294,1122,671
1373,333,434,1202,625,1529,1443,66,706,1328,1128,668
1403,406,429,1207,565,1589,1419,90,621,1412,1196,668
1452,409,420,912,840,1618,1417,92,621,1412,1279,699
1500,509,420,871,881,1618,1417,92,604,1429,1278,699
1412,615,425,847,810,1713,1311,198,534,1499,1278,689
1394,592,476,751,899,1689,1261,279,510,1523,1320,689
1362,624,447,771,907,1656,1204,370,510,1519,1292,687
1362,624,446,772,906,1583,1278,370,475,1509,1293,677
1306,680,446,767,903,1591,1250,398,475,1499,1213,677
1296,690,446,767,901,1593,1235,413,475,1315,1198,689
1296,690,446,767,901,1588,1220,433,475,1308,1242,680
1296,690,446,716,952,1560,1237,444,475,1281,1194,667
1296,680,456,659,1009,1472,1290,479,475,1146,1186,660
1296,680,379,710,1035,1428,1175,638,475,1031,1127,680
1150,826,360,729,1035,1304,1213,724,475,1008,1045,680
1144,832,360,679,1028,1307,1267,724,469,870,947,680
1106,856,374,668,963,1382,1230,762,419,920,918,672
1106,855,375,590,974,1417,1122,902,384,955,892,672
1088,873,375,256,1304,1369,1173,903,347,992,633,672
1088,873,375,255,1268,1313,1266,903,347,992,606,634
1090,893,318,312,1267,1197,1383,903,132,1207,529,642
1047,937,318,312,1267,1155,1425,903,128,1211,527,645
1040,946,318,312,1267,1084,1448,951,107,1219,527,629
1108,946,151,479,1267,962,1409,1112,102,1224,502,606
1111,716,380,489,1223,992,1376,1159,102,1179,627,640
1108,707,352,530,1179,995,1399,1177,102,1076,705,704
989,826,352,530,1179,987,1401,1183,83,976,803,721
657,1158,352,530,1179,984,1398,1123,136,972,832,595
610,1221,338,544,1179,936,1374,1195,107,954,757,502
580,1252,333,549,1087,834,1320,1443,66,831,714,386
667,1270,333,440,1196,659,1495,1443,66,740,707,336
588,1373,333,434,1202,625,1529,1443,66,706,777,314
546,1403,406,429,1207,565,1589,1419,90,621,709,314
497,1452,409,420,912,840,1618,1417,92,621,704,278
389,1500,509,420,871,881,1618,1417,92,604,706,278
367,1412,615,425,847,810,1713,1311,198,534,735,278
411,1394,592,476,751,899,1689,1261,279,510,731,319
430,1362,624,447,771,907,1656,1204,370,510,698,319
430,1362,624,446,772,906,1583,1278,370,475,704,319
434,1306,680,446,767,903,1591,1250,398,475,712,319
448,1296,690,446,767,901,1593,1235,413,475,712,307
534,1296,690,446,767,901,1588,1220,433,475,668,247
654,1296,690,446,716,952,1560,1237,444,475,746,374
683,1296,680,456,659,1009,1472,1290,479,475,904,374
690,1296,680,379,710,1035,1428,1175,638,475,959,354
694,1150,826,360,729,1035,1304,1213,724,475,1014,380
748,1144,832,360,679,1028,1307,1267,724,469,1015,387
803,1106,856,374,668,963,1382,1230,762,419,1015,387
803,1106,855,375,590,974,1417,1122,902,384,1015,387
815,1088,873,375,256,1304,1369,1173,903,347,1015,387
815,1088,873,375,255,1268,1313,1266,903,347,1015,391
793,1090,893,318,312,1267,1197,1383,903,132,1015,384
792,1047,937,318,312,1267,1155,1425,903,128,1036,357
790,1040,946,318,312,1267,1084,1448,951,107,1036,346
722,1108,946,151,479,1267,962,1409,1112,102,1039,345
746,1111,716,380,489,1223,992,1376,1159,102,914,311
780,1108,707,352,530,1179,995,1399,1177,102,836,247
991,989,826,352,530,1179,987,1401,1183,83,738,230
994,657,1158,352,530,1179,984,1398,1123,136,709,230
978,610,1221,338,544,1179,936,1374,1195,107,697,230
1049,580,1252,333,549,1087,834,1320,1443,66,628,230
1086,667,1270,333,440,1196,659,1495,1443,66,622,224
1304,588,1373,333,434,1202,625,1529,1443,66,591,224
1243,546,1403,406,429,1207,565,1589,1419,90,601,225
1240,497,1452,409,420,912,840,1618,1417,92,707,246
1200,389,1500,509,420,871,881,1618,1417,92,706,258
1199,367,1412,615,425,847,810,1713,1311,198,704,270
1145,411,1394,592,476,751,899,1689,1261,279,801,229
1126,430,1362,624,447,771,907,1656,1204,370,914,239
1126,430,1362,624,446,772,906,1583,1278,370,930,239
1122,434,1306,680,446,767,903,1591,1250,398,1066,240
1108,448,1296,690,446,767,901,1593,1235,413,1066,431
1022,534,1296,690,446,767,901,1588,1220,433,1066,444
902,654,1296,690,446,716,952,1560,1237,444,988,339
873,683,1296,680,456,659,1009,1472,1290,479,830,427
866,690,1296,680,379,710,1035,1428,1175,638,775,433
884,694,1150,826,360,729,1035,1304,1213,724,720,417
830,748,1144,832,360,679,1028,1307,1267,724,732,446
775,803,1106,856,374,668,963,1382,1230,762,732,446
775,803,1106,855,375,590,974,1417,1122,902,777,446
763,815,1088,873,375,256,1304,1369,1173,903,880,446
776,815,1088,873,375,255,1268,1313,1266,903,999,442
835,793,1090,893,318,312,1267,1197,1383,903,1016,441
835,792,1047,937,318,312,1267,1155,1425,903,1042,464
914,790,1040,946,318,312,1267,1084,1448,951,1206,486
1079,722,1108,946,151,479,1267,962,1409,1112,1294,515
1071,746,1111,716,380,489,1223,992,1376,1159,1328,522
1087,780,1108,707,352,530,1179,995,1399,1177,1412,674
920,991,989,826,352,530,1179,987,1401,1183,1412,674
917,994,657,1158,352,530,1179,984,1398,1123,1429,675
917,978,610,1221,338,544,1179,936,1374,1195,1499,687
846,1049,580,1252,333,549,1087,834,1320,1443,1523,691
704,1086,667,1270,333,440,1196,659,1495,1443,1519,762
463,1304,588,1373,333,434,1202,625,1529,1443,1509,822
513,1243,546,1403,406,429,1207,565,1589,1419,1499,832
715,1240,497,1452,409,420,912,840,1618,1417,1315,817
786,1200,389,1500,509,420,871,881,1618,1417,1308,805
812,1199,367,1412,615,425,847,810,1713,1311,1281,793
863,1145,411,1394,592,476,751,899,1689,1261,1146,793
892,1126,430,1362,624,447,771,907,1656,1204,1031,783
1008,1126,430,1362,624,446,772,906,1583,1278,1008,783
1018,1122,434,1306,680,446,767,903,1591,1250,870,782
1018,1108,448,1296,690,446,767,901,1593,1235,920,591
1022,1022,534,1296,690,446,767,901,1588,1220,955,573
1055,902,654,1296,690,446,716,952,1560,1237,992,591
1231,873,683,1296,680,456,659,1009,1472,1290,992,516
1254,866,690,1296,680,379,710,1035,1428,1175,1207,510
1232,884,694,1150,826,360,729,1035,1304,1213,1211,500
1251,830,748,1144,832,360,679,1028,1307,1267,1219,634
1251,775,803,1106,856,374,668,963,1382,1230,1224,717
1256,775,803,1106,855,375,590,974,1417,1122,1179,721
1327,763,815,1088,873,375,256,1304,1369,1173,1076,768
1358,776,815,1088,873,375,255,1268,1313,1266,976,805
1299,835,793,1090,893,318,312,1267,1197,1383,972,875
1306,835,792,1047,937,318,312,1267,1155,1425,954,958
1233,914,790,1040,946,318,312,1267,1084,1448,831,950
1068,1079,722,1108,946,151,479,1267,962,1409,740,1056
1040,1071,746,1111,716,380,489,1223,992,1376,706,1104
989,1087,780,1108,707,352,530,1179,995,1399,621,977
945,920,991,989,826,352,530,1179,987,1401,621,977
977,917,994,657,1158,352,530,1179,984,1398,604,976
1094,917,978,610,1221,338,544,1179,936,1374,534,964
1112,846,1049,580,1252,333,549,1087,834,1320,510,960
1112,704,1086,667,1270,333,440,1196,659,1495,510,889
1158,463,1304,588,1373,333,434,1202,625,1529,475,829
1108,513,1243,546,1403,406,429,1207,565,1589,475,818
917,715,1240,497,1452,409,420,912,840,1618,475,815
852,786,1200,389,1500,509,420,871,881,1618,475,823
888,812,1199,367,1412,615,425,847,810,1713,475,846
930,863,1145,411,1394,592,476,751,899,1689,475,856
927,892,1126,430,1362,624,447,771,907,1656,475,915
811,1008,1126,430,1362,624,446,772,906,1583,475,922
801,1018,1122,434,1306,680,446,767,903,1591,469,922
803,1018,1108,448,1296,690,446,767,901,1593,419,922
857,1022,1022,534,1296,690,446,767,901,1588,384,922
825,1055,902,654,1296,690,446,716,952,1560,347,877
696,1231,873,683,1296,680,456,659,1009,1472,347,906
673,1254,866,690,1296,680,379,710,1035,1428,132,906
685,1232,884,694,1150,826,360,729,1035,1304,128,906
674,1251,830,748,1144,832,360,679,1028,1307,107,736
674,1251,775,803,1106,856,374,668,963,1382,102,653
669,1256,775,803,1106,855,375,590,974,1417,102,682
598,1327,763,815,1088,873,375,256,1304,1369,102,635
716,1358,776,815,1088,873,375,255,1268,1313,83,598
724,1299,835,793,1090,893,318,312,1267,1197,136,528
730,1306,835,792,1047,937,318,312,1267,1155,107,520
747,1233,914,790,1040,946,318,312,1267,1084,66,517
747,1068,1079,722,1108,946,151,479,1267,962,66,382
747,1040,1071,746,1111,716,380,489,1223,992,66,327
747,989,1087,780,1108,707,352,530,1179,995,90,302
747,945,920,991,989,826,352,530,1179,987,92,317
715,977,917,994,657,1158,352,530,1179,984,92,317
