Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
402,1004,1922,800,713,751,1376,327
656,1004,1922,631,713,771,1320,658
642,997,1882,608,707,772,1239,759
651,977,1565,608,1057,767,1234,776
633,980,1565,389,1283,767,1138,673
633,980,1453,482,1283,767,1020,560
633,854,1379,482,1275,716,1022,610
676,725,1376,482,1274,659,1020,652
734,710,1261,482,1268,710,867,652
753,705,1249,482,1268,729,878,652
753,700,1249,482,1227,679,860,631
723,728,1249,576,1209,668,842,631
723,714,1249,573,1209,590,772,631
723,712,1247,573,1096,256,771,631
698,718,1206,573,1100,255,771,629
663,753,1386,573,1081,312,527,628
599,805,1387,556,1079,312,434,575
458,861,1212,556,1079,312,358,575
458,822,858,556,1079,479,358,586
458,822,839,556,1079,489,184,596
458,822,763,556,1079,530,118,613
458,817,812,556,1155,530,174,652
458,817,825,556,1253,530,193,825
458,817,959,455,1302,544,381,842
458,811,959,455,1264,549,630,842
443,770,959,381,1190,440,609,842
501,639,988,396,1257,434,613,842
505,540,989,432,1091,429,677,842
478,579,951,458,1033,420,682,842
500,440,770,476,1065,420,682,842
490,401,718,476,1065,425,683,843
490,402,717,568,1065,476,683,842
237,656,717,694,1065,447,683,511
239,642,717,740,1052,446,683,398
229,651,689,740,649,446,683,368
229,633,689,739,420,446,683,368
229,633,720,646,428,446,683,367
229,633,722,648,491,446,680,317
245,676,634,650,491,456,680,275
270,734,634,650,491,379,655,280
251,753,727,650,491,360,715,323
251,753,762,650,491,360,747,383
251,723,762,556,510,374,752,424
251,723,762,556,510,375,784,477
255,723,799,558,511,375,934,481
279,698,730,600,515,375,995,481
279,663,526,605,515,318,990,483
279,599,525,605,515,318,977,476
279,458,512,605,679,318,969,476
283,458,511,605,682,151,976,465
295,458,507,605,702,380,977,455
295,458,523,605,760,352,961,438
295,458,531,605,734,352,928,493
299,458,518,639,689,352,927,338
310,458,385,684,637,338,739,402
336,458,406,761,611,333,490,471
369,443,423,942,609,333,489,522
311,501,394,771,542,333,485,547
306,505,519,740,505,406,421,547
293,478,627,806,506,409,416,552
271,500,708,788,457,509,423,552
270,490,804,845,569,615,422,561
269,490,858,797,618,592,422,561
268,237,1013,671,668,624,485,563
266,239,1046,628,674,624,485,573
266,229,1134,629,674,680,565,573
266,229,1138,639,674,690,580,573
266,229,1108,642,670,690,580,647
266,229,1034,802,634,690,628,665
207,245,1034,955,634,680,636,680
126,270,1035,955,640,680,695,675
124,251,944,955,642,826,697,632
124,251,909,955,648,832,758,572
124,251,909,955,657,856,782,539
124,251,924,959,720,855,776,486
120,255,888,1143,729,873,885,482
96,279,888,1155,737,873,851,520
97,279,890,1187,737,893,927,518
97,279,891,1189,737,937,929,542
97,279,893,1349,573,946,929,569
93,283,893,1453,570,946,947,593
87,295,930,1547,550,716,946,593
95,295,915,1547,527,707,947,593
116,295,848,1558,553,826,924,499
167,299,850,1538,508,1158,906,607
579,310,849,1549,561,1221,993,619
589,336,832,1473,654,1252,1105,666
564,369,820,1367,778,1270,1122,671
698,311,821,1388,848,1373,1128,668
708,306,722,1416,842,1403,1196,668
784,293,754,1408,841,1452,1279,699
784,271,702,1425,854,1500,1278,699
788,270,612,1467,743,1412,1278,689
860,269,559,1437,694,1394,1320,689
1055,268,410,1438,644,1362,1292,687
1208,266,388,1438,636,1362,1293,677
1302,266,306,1437,641,1306,1213,677
1608,266,302,1427,641,1296,1198,689
1659,266,332,1424,637,1296,1242,680
1671,266,347,1262,637,1296,1194,667
1669,207,377,1107,643,1296,1186,660
1690,126,480,1112,642,1296,1127,680
1719,124,495,1119,661,1150,1045,680
1737,124,577,1143,657,1144,947,680
1758,124,717,1316,630,1106,918,672
1776,124,809,1323,567,1106,892,672
1779,120,883,1214,557,1088,633,672
1779,96,884,1217,541,1088,606,634
1778,97,882,1180,541,1090,529,642
1783,97,883,1209,541,1047,527,645
1826,97,887,1049,541,1040,527,629
1841,93,889,1079,541,1108,502,606
1872,87,852,1040,541,1111,627,640
1883,95,851,1127,520,1108,705,704
2057,116,901,1119,444,989,803,721
2057,167,1010,1106,436,657,832,595
1690,579,1092,1050,383,610,757,502
1871,589,1091,1049,290,580,714,386
1902,564,1086,974,169,667,707,336
1787,698,1314,919,99,588,777,314
1792,708,1335,886,98,546,709,314
1719,784,1203,802,98,497,704,278
1719,784,1293,798,85,389,706,278
1715,788,1287,706,84,367,735,278
1654,860,1306,692,84,411,731,319
1464,1055,1325,691,84,430,698,319
1311,1208,1365,709,84,430,704,319
1217,1302,1364,709,88,434,712,319
911,1608,1415,709,88,448,712,307
860,1659,1384,774,88,534,668,247
852,1671,1369,845,81,654,746,374
897,1669,1359,845,263,683,904,374
948,1690,1255,840,365,690,959,354
1015,1719,1248,833,356,694,1014,380
1006,1737,1166,815,354,748,1015,387
985,1758,1026,645,381,803,1015,387
967,1776,919,634,750,803,1015,387
964,1779,844,602,750,815,1015,387
973,1779,868,549,750,815,1015,391
973,1778,898,549,750,793,1015,384
968,1783,896,519,750,792,1036,357
925,1826,900,535,750,790,1036,346
941,1841,928,468,750,722,1039,345
904,1872,928,417,750,746,914,311
903,1883,928,351,736,780,836,247
708,2057,878,357,736,991,738,230
653,2057,770,441,764,994,709,230
597,1690,708,604,771,978,697,230
380,1871,705,607,778,1049,628,230
341,1902,705,644,775,1086,622,224
323,1787,476,644,775,1304,591,224
308,1792,428,641,786,1243,601,225
303,1719,428,641,786,1240,707,246
303,1719,309,628,888,1200,706,258
303,1715,311,621,1042,1199,704,270
292,1654,309,622,1063,1145,801,229
290,1464,347,622,1083,1126,914,239
309,1311,316,601,1086,1126,930,239
341,1217,321,620,1077,1122,1066,240
343,911,351,627,1080,1108,1066,431
344,860,359,562,1148,1022,1066,444
357,852,359,517,1139,902,988,339
