Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3
956,386,158,506,951,1040,611
873,391,209,533,951,1204,605
792,472,209,533,940,1288,565
801,539,209,533,1086,1378,561
802,539,209,533,1067,1442,561
803,455,293,497,1065,1442,561
892,440,350,497,1064,1442,561
885,439,358,487,1058,1442,568
850,474,358,470,1058,1442,498
850,474,358,438,1058,1457,493
902,474,358,408,1058,1509,369
903,474,358,389,1058,1509,311
1132,475,324,400,1071,1512,161
1042,581,300,384,1078,1513,148
1079,581,285,359,1078,1933,110
1006,656,285,312,1067,1967,207
1008,656,285,301,988,1972,214
947,620,382,301,915,1958,212
766,740,443,266,789,1923,212
764,742,443,266,757,1917,212
726,780,443,266,591,1823,216
692,814,436,272,591,1741,201
685,820,436,273,512,1793,201
642,863,436,261,512,1664,201
642,863,436,230,391,1588,218
640,865,398,268,380,1315,206
552,953,398,252,376,1310,206
569,955,386,252,362,1310,206
568,956,386,217,312,1310,205
568,956,386,158,220,1310,235
568,956,386,158,169,1349,288
568,956,386,158,239,1310,289
568,873,391,209,333,1153,332
568,792,472,209,416,1069,483
494,801,539,209,310,979,598
493,802,539,209,320,915,621
500,803,455,293,377,915,657
414,892,440,350,387,915,768
457,885,439,358,452,915,774
457,850,474,358,580,915,774
457,850,474,358,637,900,774
469,902,474,358,637,848,760
468,903,474,358,637,848,822
296,1132,475,324,624,845,855
280,1042,581,300,617,820,855
243,1079,581,285,617,400,855
241,1006,656,285,622,364,758
239,1008,656,285,681,384,751
251,947,620,382,681,383,769
251,766,740,443,716,311,770
251,764,742,443,790,319,861
251,726,780,443,790,328,989
251,692,814,436,790,294,1016
251,685,820,436,803,231,1020
266,642,863,436,815,186,1020
336,642,863,436,885,219,1049
369,640,865,398,889,219,1116
404,552,953,398,892,219,1135
385,569,955,386,931,219,1166
398,568,956,386,958,219,1183
411,568,956,386,963,219,1158
411,568,956,386,963,181,1138
411,568,956,386,1002,183,1174
411,568,873,391,908,176,1123
411,568,792,472,825,175,972
409,494,801,539,785,175,968
411,493,802,539,788,175,971
425,500,803,455,731,176,948
380,414,892,440,721,176,876
337,457,885,439,656,176,1000
337,457,850,474,528,176,1003
337,457,850,474,471,191,1016
295,469,902,474,471,197,1226
296,468,903,474,492,201,1238
238,296,1132,475,553,243,1330
238,280,1042,581,587,243,1330
238,243,1079,581,631,243,1331
247,241,1006,656,651,299,1381
247,239,1008,656,622,406,1381
235,251,947,620,681,456,1363
235,251,766,740,648,649,1362
235,251,764,742,576,689,1291
235,251,726,780,576,750,1187
235,251,692,814,603,886,1168
235,251,685,820,609,916,1164
220,266,642,863,597,887,1164
150,336,642,863,530,926,1081
117,369,640,865,526,989,1014
86,404,552,953,529,995,995
86,385,569,955,491,1215,990
191,398,568,956,471,1646,989
249,411,568,956,466,1738,1025
331,411,568,956,466,1845,1024
530,411,568,956,356,1900,989
561,411,568,873,356,1975,989
561,411,568,792,357,1975,989
561,409,494,801,366,1988,878
559,411,493,802,546,1993,852
537,425,500,803,618,2009,839
537,380,414,892,710,2080,800
542,337,457,885,753,2144,663
547,337,457,850,801,2322,660
