Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1
1012,196,1767,839,896,675,1079,1414,765,657,1016
1013,196,1734,863,905,675,1079,1372,805,654,858
1013,196,1675,865,962,675,1079,1298,879,647,857
930,279,1675,749,1078,675,1079,1245,932,647,858
987,267,1683,715,1090,701,1079,1164,1012,646,828
1003,256,1687,713,912,888,1079,1164,1012,564,799
895,328,1719,709,920,888,953,902,1400,525,678
960,328,1538,890,920,888,316,1349,1590,499,661
935,358,1292,1136,920,587,607,1303,1646,370,661
861,441,1286,1144,920,587,604,1305,1647,370,534
910,440,1218,1214,889,574,646,1209,1745,370,471
943,443,1080,1352,882,573,650,1194,1764,349,248
772,614,951,1470,891,523,702,1191,1767,300,218
760,626,914,1507,891,523,702,1155,1803,300,313
760,612,928,1507,891,482,740,1158,1603,500,338
759,613,928,1507,891,479,724,1170,1587,523,346
