Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
846,208,1058,920,1003
832,222,1021,1176,980
854,222,1013,1208,980
721,356,929,1211,980
759,364,871,1219,1190
1039,364,870,1328,1177
1156,364,870,1364,809
1165,353,881,1402,824
848,666,787,1415,824
834,678,779,1415,824
820,748,769,1415,824
890,733,785,1415,824
893,733,760,1415,824
893,733,750,1415,826
893,733,748,1412,792
909,733,745,1562,792
909,733,745,1588,792
909,733,745,1596,792
909,733,474,1758,792
885,757,415,1816,674
851,791,385,1837,580
851,791,366,1971,579
851,791,312,1971,554
849,793,157,1971,494
849,793,157,1934,494
853,791,159,1703,494
902,781,90,1703,510
930,754,117,1461,523
947,772,117,1434,561
856,929,117,1425,354
1001,937,117,1209,323
1002,846,208,1205,332
1003,832,222,949,392
993,854,222,910,400
992,721,356,898,400
946,759,364,890,190
666,1039,364,781,190
549,1156,364,745,265
540,1165,353,707,254
589,848,666,694,326
551,834,678,694,326
525,820,748,807,384
458,890,733,967,384
455,893,733,1123,384
455,893,733,1123,373
455,893,733,1123,373
439,909,733,973,373
439,909,733,941,373
439,909,733,924,406
439,909,733,820,730
439,885,757,774,731
439,851,791,754,731
439,851,791,620,731
454,851,791,620,731
469,849,793,620,731
469,849,793,678,731
465,853,791,793,731
527,902,781,794,715
569,930,754,799,702
535,947,772,799,664
647,856,929,987,660
519,1001,937,982,645
545,1002,846,953,635
574,1003,832,953,575
568,993,854,953,567
575,992,721,953,567
577,946,759,963,567
709,666,1039,963,567
711,549,1156,963,492
794,540,1165,966,567
782,589,848,1150,495
778,551,834,1162,546
745,525,820,1050,488
1020,458,890,917,489
1022,455,893,800,532
1024,455,893,800,579
1024,455,893,802,621
1024,439,909,802,647
1024,439,909,805,648
1024,439,909,805,630
1123,439,909,723,368
1123,439,885,713,380
1123,439,851,910,411
1158,439,851,912,554
1143,454,851,1092,688
1203,469,849,1102,705
1372,469,849,1062,813
1419,465,853,947,838
1309,527,902,946,898
1241,569,930,993,899
1272,535,947,993,899
1114,647,856,805,899
1096,519,1001,979,933
1069,545,1002,1110,946
1039,574,1003,1216,948
1034,568,993,1221,952
1027,575,992,1221,952
1025,577,946,1211,952
901,709,666,1211,952
904,711,549,1259,952
821,794,540,1263,873
784,782,589,1079,873
819,778,551,1160,822
819,745,525,1174,822
541,1020,458,1147,834
